 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,C34,O35,O36,H37
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8883030746312102,1.7407237862622387,2.087620168130085,0.02990935953152392,0.0006883457301580798,0.0029297584956597955,0.0011581968805365328,0.024441986076629563,0.01711568015134865,0.0020081887542875015,0.00014750165202326304,0.0004796537732644768,7.058507218526966e-05,6.836168316097513e-05,6.749474110057108e-06,7.908086365526756e-06,2.3028149554724098e-05,1.7633336841793579e-06,2.053456829909095e-06,7.034147792053802e-05,2.6323771488048764e-05,0.00028189511557705216,8.556976426993268e-05,8.551369583983948e-05,1.814703287431052e-05,1.6364798625101429e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021820584883292415,0.02401397324199306,0.001211619340048653,0.0002182338089371516,9.888683656567032e-05,8.141988095000663e-05,0.0005506784277917731,0.0005323616935761777,6.180802466859703e-05,5.870517094663796e-06,1.896312900417918e-05,7.466846843939834e-06,1.55546840319154e-06,2.692241118928962e-08,2.8533144291742474e-08,5.02599868168474e-07,1.6794914592388466e-07,1.406990195462754e-07,1.466770256808303e-06,9.57696535852648e-07,8.107958945569038e-06,2.1657777491412844e-06,7.317343584389846e-07,4.6804222608720636e-07,1.314840787358662e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025115267919344042,0.0008512120014609881,5.9966126241706164e-05,8.637600372418675e-05,0.00018538477638352369,0.0014238978931404578,0.0004854488506369492,0.00013359574169546917,4.028522723631411e-06,1.4216095221009084e-05,3.2938514424873944e-06,1.5593852160655786e-06,1.954058688191651e-07,5.56569211607183e-07,4.105584068048174e-06,2.4385268870830146e-07,3.278639382209292e-07,7.743421284844842e-06,8.334709202806323e-07,4.025197829449212e-05,3.3127272591748635e-06,1.8774496903795068e-06,2.6560224597460547e-07,1.117281089868527e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039545809853197555,7.405840903551564e-05,0.0007350585634160467,0.0001038272343940605,0.01865767527572504,0.016958966116964347,0.0010988479547653363,3.153365398333996e-05,0.00019182151036667427,1.3712134084631344e-05,1.220444847582769e-05,6.374855657576006e-06,4.103140940348027e-07,2.6690143799523725e-06,8.852359874023108e-07,3.3788303599457947e-07,2.976528205911322e-06,1.1402521377101849e-06,1.3887107574661606e-05,5.96973872757367e-05,0.00020382793398310284,1.5180742346521114e-05,4.963006827729544e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1325414192467216,2.1573823503164133,2.0735678474933636,0.0027278128620702724,0.0009389015485435359,0.000739131127849596,6.822710598042292e-05,0.00011229834878419276,1.789067448954018e-05,2.357306044428742e-05,6.469552645826937e-07,3.7070116946091858e-06,1.3726405643593731e-05,6.87660201337259e-07,3.4756049394069066e-07,6.266317797165577e-05,2.815074238936288e-05,0.00023679820784498762,2.601733735274614e-05,8.988773641638304e-06,4.709525650389845e-06,1.54654864470416e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021913368609451922,0.024655205842844863,6.543686597137999e-05,7.265509619447386e-05,1.234567733976455e-05,8.383688418822643e-06,2.5570131305663324e-06,1.0843894093781614e-07,2.930097724451741e-07,1.7149288211726343e-08,5.697005400762123e-08,3.396803198718601e-07,2.2215903561217942e-08,7.671294710576149e-08,8.705943039810649e-07,3.6649028611890344e-07,3.4283460252915177e-06,1.523379319134932e-06,6.066531150761278e-07,2.6928397467429477e-07,2.5084168520095318e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025659998018211283,0.0005109568450873958,5.4049867105110394e-05,0.00010090314220145835,2.0343538205125355e-06,2.7702318228683964e-05,2.803368717163579e-07,5.043982037378214e-06,1.4150294314063672e-07,1.3648421959278068e-06,1.7249556452103576e-06,9.097880382391565e-08,4.174898893261059e-08,6.727672993589451e-06,3.835616351199889e-06,2.325689708237988e-05,2.9599013107173278e-06,1.5178227283918488e-06,6.051451539867969e-07,2.6142862985523152e-08
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015308907343929423,0.0003481926172487215,0.00044865563912876993,1.7941524273590304e-05,5.4346251423087466e-05,2.0034439564886597e-05,5.475991309289441e-06,8.943707352493391e-08,7.644545667595537e-07,5.529977526896879e-06,3.449675818334441e-07,1.2910099300711408e-07,3.658604140621691e-05,2.217496478496006e-05,0.00013355240329560036,1.2015599919923403e-05,1.1460537835406015e-06,1.8141840619767535e-06,1.2576587549162355e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.916261882710513,3.4353563992745317,0.14366331572545366,0.2784561824904702,0.029827018734476685,0.031192652300685575,0.0008530739397314413,0.003577751427329412,0.0030515670589428834,0.0006373418024787636,0.0003406577260751664,0.0036751233971701047,0.0017132458713722543,0.01775602098553125,0.04314747999108651,0.007302034072529329,0.004649093121374986,0.0003971073455347751
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5153362796745223,0.025511945215040743,0.07254010334222147,0.01753230036074971,0.008371086611777684,0.0005780446448966359,0.0006491385644815661,0.0024562701879355248,0.0005033592341701087,0.0006295650815839604,0.0014474439091317903,0.000638051988853236,0.0059784695720143805,0.09281098894588086,0.019153853989910277,0.00852404471190954,0.00032338750865335
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7105654671924508,2.870645715142737,0.09604302249022367,0.16353703014142568,0.003145425522823153,0.023741517066298456,0.0228262522110714,0.0047961785066845675,0.0018229841489021403,0.022899056047449295,0.0076386189107603,0.1381784840758568,0.17918121062954562,0.02822985796753809,0.027610558904672497,0.004998558969802391
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09903218824529025,0.003957878973332329,0.011062796533398367,8.039558162820093e-05,0.0006827794856016922,0.017198859935993904,0.006820362544799785,0.0005272099104127737,0.04717981030467444,0.009818700330391561,0.31923694753475207,0.0201417744877318,0.0016267067930761936,0.0030649857393409974,0.0011931383356935665
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9551526705520368,2.4935554365766928,0.08079650836994223,0.09825726523668443,0.1497624370672117,0.0040601866260534525,0.026202637984300114,0.021282440538524766,0.0035013021137446643,0.01648290756246748,2.5842564833702353,0.2597064599379197,0.21739729229689164,0.05565011691455002
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08173339745391894,0.030124258147400385,0.009022227678536998,0.003288371523852973,0.00020560954260462339,9.741486536518629e-05,0.004573717529690713,0.0010612840471281304,0.0018380119423723196,0.10725057026971507,0.021476231850921956,0.017034803030038348,0.0015725414090457246
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9750566132147642,1.9749594541474917,2.828439109897177,0.08462926012091865,0.10255144308652553,0.1473537407641559,0.03519165306489419,0.030595413864886997,0.21822190168255606,0.047532066161469,0.02497086238205197,0.002252755264627204
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022707563167974953,0.08253536842541354,0.009699667592963035,0.0018289280499097504,0.026026925132342615,0.0046393202610537365,0.0027921625261507765,0.024250114910475684,0.011084717008523315,0.0023057376351947045,5.524592268923989e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07764301730648282,0.02913711796522933,0.009661732075430418,0.003087299907040375,0.002732201959110836,0.0006835267481839491,0.004793044240253286,0.0007193245544865334,0.002363864555592232,3.742127864647671e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7806532475712435,1.6630177661726668,2.5632619876181897,0.2973722291072167,0.2796730961129874,0.03102925691596925,0.007876991471075234,0.004663223218230816,0.0007583995156767998
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024099941786346557,0.0806040253091207,0.027962414853298645,0.017529792836759706,0.0003260922124987964,0.00011531663249741975,0.00012885249922534037,7.084887833297415e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07956249387300107,0.01724776363117564,0.024636619838478202,0.003515098536508221,0.0008530070149959101,0.0005282931166987748,0.00010151013841053214
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91991354632316,4.294543428860049,0.0026421405066929804,0.0012416892851448147,0.0003933684518536984,6.662490706188517e-05
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5793881808258006,0.0008281169357498008,0.0004292709075743306,0.00012293622454104258,1.1032617482253926e-05
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034564066218783773,0.0006525824315145867,0.0005436688504546344,0.00017266146824856943
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17503107761127,3.079157207693579,0.1655669428242652
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508256919494766,0.0812753835193637
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.591622835730201
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
