,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7841021160471044,1.7734780181135814,4.172431175644041,4.015740602014673,5.412958091933177,5.88333615762681,6.508317534610944,6.610732942259227,7.834473987722051,7.9499479509971716,8.648134137040158,8.267997673193506,9.362318929744307,8.127068241749408,7.9666720253099115,7.042161884520634,8.855910216154163,6.694284661158554,6.48722170532831,7.587327749152825,7.867717628779007
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788446119767767,2.8857089253681054,2.569037839804021,4.06186444442097,4.732806433542834,4.982357810781187,5.129384400288477,6.389501617358885,6.525275130877712,7.110747504854112,7.040026645430931,8.116322208342293,6.944048508548528,6.99529169627139,6.138327523766331,8.022982217307614,4.9829492009358445,4.769609519166738,5.848476331926168,6.090816289679635
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.559914743977177,3.8247025622615314,4.521318054948139,4.850700267478071,5.734727555069913,6.120719622873095,6.9071617524271165,6.808102730843966,7.777343756090913,7.448685381673389,8.510377483479896,7.536176339951568,7.056804584119732,5.98131112507684,8.025361671414558,5.865289081652297,5.458928866027113,6.96640282245781,7.211217608514872
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2371633700306968,1.3531431173098487,2.0892199760501446,2.4380197169960844,2.646287127216338,3.7047695685979725,4.003714274596994,4.54424623674728,4.168080374237572,5.253864081278696,4.0898544473977925,4.212157043220516,3.561174426400415,5.274472123129844,3.164005254187138,3.4755983052986594,4.180523273876808,4.799236988675434
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2834016190531248,3.20450578776078,2.8035064896758195,2.650644725757894,4.286475995473288,4.7491482319636695,4.915151472332185,4.866088419615958,5.916475619927752,4.59660385817387,5.181990450311498,4.696784789833927,6.214901962071541,3.190932778792487,3.593530387765409,3.8980138011689625,4.456688781972255
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0502764474557433,1.4422262754856034,2.09901228042635,2.4399265570718005,2.6552594175094297,3.365020624738786,3.051991203089213,4.099745185964196,3.237229757381554,3.2298617303375785,2.6527553598895346,4.409179734310141,2.456269891964149,2.874903801734967,3.605188257691035,4.290996820025618
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0948123797933027,2.8058385166611335,2.425006663085675,2.415346982338581,3.499799983530502,2.6777834593547465,3.6928693713579204,3.0840980075740654,2.4194167749419115,1.6335577847213523,3.598597719727939,3.2327566142396673,3.563063344159342,4.3982536803750145,5.093813021048143
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0987581658789163,1.549697763159236,2.1608270429216434,2.1501857144830843,2.603341218410635,3.49758001313002,2.7314233041935423,3.467031180433771,3.3608977684173955,4.618451664146647,1.5268839878231706,2.458380305392589,2.3853895132194394,3.2065654054995605
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1761704277825134,3.068334065668036,2.5064750019199598,2.8236679701136307,3.6843674805282656,2.50938704756853,3.8379003564936687,3.9549533707626354,4.843973738061765,2.1177898010352525,3.2241054946100407,2.43018165962432,3.365685115778373
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975620931416263,1.0982010249120902,1.5424837229311565,2.1622003529073863,2.173434126194916,2.689135181245638,2.95527347236922,3.7563373094166783,2.513803663635452,3.3050091425539314,3.1347078342775614,3.9165187654810336
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7675040492671021,2.1756369457880402,2.6333866825644625,3.0696731358787233,2.835526217715762,2.803468346275781,3.9390771405850087,2.7638682212499495,3.166079880001754,3.6212773438017565,4.218360354279873
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1684377242707127,2.352559863747135,2.616744866881118,3.571034114037057,4.008184045499597,4.485679152906944,2.64230062962597,3.5276441429421497,2.7907626309594353,3.5292596196872417
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968663668491492,1.1009128327406403,1.5702939177624764,2.4470555701256016,2.3763163853765747,3.918390943608365,4.749673080123678,4.45671108589115,5.32561653810033
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.745907189607419,2.146604143680778,3.212476103879721,2.5137952767424068,4.634927732738917,5.462215436108912,4.998507605887728,5.825425123097798
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1661634490463206,3.0586664377319033,2.7256384700113188,4.133314424988879,5.1226791593757826,4.4835443565102615,5.429229919346899
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2844829422369248,1.2389098288193747,4.846157369790178,5.449127219421411,5.66655865043383,6.4953077738714295
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261381799308684,4.612457587878898,4.973376660894649,5.6737498707159,6.41405808931812
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.026893806756296,6.674958258784384,6.75237402122781,7.6105502753673
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2099689640866829,1.366397740872603,1.8706877501112091
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2492841283179494,2.249637492963628
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755453275412347
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
