 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025026097411623205,0.022968574517717943,0.0011568956850405154,0.0009046725308003989,0.0002831468741704146,7.07848238756803e-06,3.8713785592614514e-05,5.686101246293873e-06,3.5094583619166286e-06,1.434582556525399e-06,8.474907853273095e-07,2.9295839705234528e-06,5.951653792024558e-08,1.1364187686435656e-06,1.6631651168941275e-05,4.5146879135038454e-05,4.169037389978314e-06,7.388937705021803e-06,1.762570903895977e-06,1.831322767875676e-06,5.861369340998124e-07
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025109541085222453,0.009250388890373884,0.0283736108565239,0.0023753127559675846,6.378694067832313e-06,0.0002355944462666404,4.147953937305715e-05,2.4839560332612365e-05,5.164429567328099e-06,5.044515538621397e-08,3.3826235072975663e-06,4.255280037224196e-07,4.546956235973454e-07,5.098042369366951e-06,1.2979918790123612e-05,2.1052200972482282e-06,4.153319062738525e-05,1.3515595551072401e-05,4.736721357923024e-06,1.3110415295614075e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004068606258020857,0.0004234176988051619,0.00011034653689590002,6.94396781719675e-06,2.6833639641177243e-05,8.320325249444593e-06,2.9803481726986547e-06,1.8071212193326858e-07,2.3654689318419742e-07,3.4758346445507016e-07,5.903487454439471e-08,1.0759324764464395e-08,5.88024702263823e-07,8.432802109936688e-07,1.9231966064126027e-07,2.4797542126364647e-06,6.964509422502374e-07,1.9708407483776114e-07,2.4973707990483263e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.998454125291941,3.5501210242080727,0.1350227014292794,0.28837552303422664,0.027659547911143667,0.030859535074660494,0.0013107309019120272,0.004380124879739045,0.0016016038211277284,0.0002853646005405164,0.00012028273493069896,0.0033373515136475296,0.02030340641826442,0.001141627443160459,0.03833006761227736,0.006175769310012791,0.005479443466977318,0.0006498436714762468
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5516204962977267,0.02189247072511491,0.07418592991119671,0.028441695091958152,0.009142456939816801,0.0008475344694268694,0.0009990024916333162,0.0012579970437016363,0.00027396831918435893,8.525971295059165e-05,0.001283828166307427,0.0061320016569923474,0.0003631189086382436,0.028129254820933397,0.004820436058983343,0.0028990980123503735,0.00034083301634080243
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6621373781134072,2.7896221591467025,0.09742560660678057,0.18045783993504982,0.009496654176314845,0.025452470124448734,0.01576413456129068,0.0025417822643329924,0.0008186355233761322,0.023112065625129907,0.167815506074117,0.008020945421842618,0.19929009941156095,0.028202016395294308,0.027953262040108257,0.00479672037243184
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09741452554277985,0.00899857926100478,0.021226302903219363,0.004233664676111637,0.0015056963095938514,0.004870459183717757,0.0001793354770753819,0.00022524838500936895,0.0452221242378279,0.38383813241544695,0.009877329552385739,0.009658568109519261,0.00046854710808241773,0.0020536359687066685,0.0008283733002940608
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.891263019869704,2.6788792484098067,0.08571398468011049,0.09192200366652714,0.1598745706056943,0.024665651880219963,0.016115107310294752,0.008071473100324272,0.012694354156938967,0.003260379428278476,2.7748040861685648,0.2647062164224452,0.21369479277621672,0.05520731946308244
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07910835467412691,0.03434523909775389,0.003487175850633184,0.011340152178420881,0.0004087954864850918,0.006485082102709372,0.0008036206351502706,0.0008232938378545107,0.00027895963381618927,0.11460343359980762,0.026362584329944205,0.015038278009671169,0.0010828409571546072
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9560559332055008,1.8700936734659406,2.858785652602052,0.09697139878388294,0.08190882343337003,0.13435334413842084,0.03076311692009881,0.04480141927324412,0.20474882640999137,0.04325796056738378,0.02591760325759962,0.0019967555923467994
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366390487835912,0.07748122429538307,0.0014729792459564628,0.03242035497253659,0.012082131438372556,0.011305862586579507,0.0023269914596704133,0.008890673721484443,0.0028568748445350067,0.0009855029594189046,6.7549772378106e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08597207794092543,0.009708730639604202,0.0016527959838859019,0.023084267768849642,0.003746248572395139,0.004021600201416398,0.013021976795837942,0.001954479299115519,0.008543846244185027,0.00015399949004013536
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9688479847286604,1.761880057017831,2.334318026792849,0.25230336979812806,0.3184931961473729,0.03409007999589808,0.008848741215656639,0.004031399971284183,0.000601004478788969
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024475964786498716,0.09040448613048957,0.023354782177713918,0.020645650357793865,0.003579105381580572,0.0011790904387229961,0.00041673934858965644,0.0001051556062929837
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09204687987609073,0.01786771745216187,0.02122164265343307,0.0015031153437270461,0.0005374967377123063,0.0001536957714171061,2.6648095591275123e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16578701806505,4.735701942593363,0.002395789776436369,0.0003516397689698747,0.0005679970097809128,4.7743928726973195e-05
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5679342918381016,0.0016581770538198065,0.0002060168500412421,0.000459099335267138,0.00017078716603191602
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017784064280549072,0.0004419496628135927,0.0003706448826601566,1.594307966357178e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007703282472309,3.2298443496628444,0.16391346155067665
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5165645819380958,0.07816006433135214
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8643968526844636
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
