,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1844580680887606,3.2755722425249414,2.577859561379821,2.3210226729074828,3.566424286293793,4.214376621487231,4.77351784922456,5.124839915928797,4.994815267779587,6.466688415790676,6.573170858437358,7.564822522930251,7.724108754676758,8.509119607660645,7.550672969635376,8.121424066946068,8.53456470435902,7.330413043622982,7.143878758809988,8.462891674454417,9.101816574191577,7.701405546529985,7.817838497944925,8.262278416192116,8.897268304613252,9.369078332091052,7.042408617866498,6.785383949934561,8.200338055040385,8.647080677932161
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2234312830771248,1.3705663351941284,2.0882361129800824,2.0480084332228143,5.041452909252376,5.689337291528019,5.629229756012159,5.299893535006494,6.803821699830451,6.942843586866096,8.129599332936714,8.234143669717378,8.952486560639263,8.496917204841832,9.147980334029517,9.37989926608778,8.508905963126985,8.236429722174282,9.754517811072633,10.404832898919347,9.153391637796744,9.395866280088978,9.756539697906463,10.573730556513015,11.024211853392671,6.918657999750905,6.428409218566724,7.98513073463035,8.208145300905294
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270352937810906,3.174525492517566,2.4974745459719276,5.210906794929676,5.861104492297333,5.60023636575651,5.225945417742514,6.60299049125664,6.739196421020754,8.018758899774214,8.122445591518723,8.741271836519232,8.584948281358953,9.249758319394834,9.36688446239007,8.75753841594603,8.479888873141391,10.003010709446874,10.648944905533426,9.546331359311672,9.888504263893608,10.141746999263326,11.068693669475643,11.494292832235187,6.469035629878355,5.906356663290474,7.43495604407949,7.541612109605612
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0088224027687305,1.010943664413168,6.210000398842001,6.78348995819437,6.8991416219694415,6.584284373989784,8.115377372011352,8.224181409497417,9.409141666129472,9.510536436772165,10.259595794908908,9.680051475211599,10.293364831634568,10.56248191030878,9.602524326750208,9.329508785976525,10.79439433307859,11.412576821108106,10.132742911224199,10.289271560360213,10.71699733510759,11.424390000722692,11.87035382136208,8.28329155847196,7.7896595136249145,9.349341621435668,9.573763146248906
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7346876285205537,6.369313681856188,6.889403060446112,7.179722364510295,6.9240728328683065,8.462141607846352,8.551804830552351,9.678712234602807,9.795723651191109,10.577608532417893,9.798445891459446,10.37135001818061,10.710052226673309,9.616940551556587,9.370522647010853,10.747489154730484,11.346435710355774,10.015896405785501,10.097089164551424,10.575743150255665,11.175857072327343,11.623824586962245,8.789079253354823,8.363009657204858,9.892719244147543,10.192764821315949
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02532333177724,7.56247210821418,7.67057228382102,7.339912316865264,8.816622982766264,8.89633642738644,10.168741982253604,10.277731730475148,10.972698667859806,10.517064079272439,11.114030234966895,11.322271985828062,10.505737353053018,10.233832111461743,11.659042134485002,12.253430145409027,11.076277518754752,11.263166083102867,11.640202210821107,12.368707656141686,12.790648261369451,8.866584007287061,8.333228022646136,9.86749808764061,10.022100650940837
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2268550806606582,1.3690843036468583,2.062240242430119,2.464758238310155,2.514844614467349,3.50018158850961,3.957166050363754,4.382239435264514,3.54619816581497,4.108687953590008,4.428404581780159,3.8178919623474683,3.9371786276252676,4.810605093643654,5.54063235741307,4.564023061758855,5.166136710616581,5.012193195447763,6.073137910208673,6.483476115008211,3.555160271343232,3.9069360502928316,4.601751230448949,5.327486433185123
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2829693582499835,3.166393174392901,2.8169707912314665,2.375297754389386,3.7597694468320735,4.484295683699778,4.469920779947791,3.561487507905883,3.683158755228579,3.8581441091380007,4.0506788392062525,4.4716771564566535,4.262563348843039,4.802238880114109,4.587632848671626,5.314964814886078,4.6814119224125195,5.674320576201993,5.91549287187554,4.04651496363565,4.662544812727135,4.81855159869774,5.642496691878803
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133615198003956,1.4493548294794278,2.0618505664130184,2.5106196760851036,2.7773940376454758,3.4208390647230975,3.03607043933063,3.934590084619368,4.224145834182477,3.431156225000588,3.346308381440345,4.916398675836474,5.763806431435545,4.521572400913996,5.168519415078953,5.164529887652835,6.385546080571287,6.863179527951337,2.4121019270021353,2.726047756062582,3.598560614848397,4.27674636258329
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0985542283075334,2.91055175389604,3.032513872419674,2.9429166327789242,3.9383398615706304,3.731445396576718,4.796199672024643,5.125664856935771,3.9234321162946983,3.554911289712965,5.777060257037043,6.679089112314521,5.07094860430966,5.580005845808933,5.894941646829142,7.098658233204165,7.655733526892355,2.5028021156606326,2.3408875657577184,3.8344358003281456,4.323580915473649
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093691565516572,1.5615290379633813,2.1696157036087205,2.161785726965983,2.569296056652229,3.3278903679847947,3.329827590182773,3.4889647773591994,3.6088654858546296,4.575514732894248,5.343472906263751,4.696055161235765,5.536068627899916,5.144069900480843,6.46900270019448,6.83360774589616,1.5222880679004576,2.4271126160571592,2.3834462542371715,3.2159937357647546
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1769534512358857,3.0669013627384376,2.4877597297545155,2.814846487009084,3.095999524263465,2.8457376177699056,3.9189584931077075,4.290630206021727,4.302915460087945,4.892429300106273,4.934030773504416,5.864592985351622,5.092423623125926,6.367082276780031,6.586898396151223,2.1548583912418566,3.194716950648514,2.5709607011350744,3.4911392932809133
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975529077811397,1.0966045950872574,1.5117012119419937,2.5351839180556266,2.7407899831993268,2.537846483626263,2.737926105204144,3.8224937114782187,4.690558800551865,3.8259093057247653,4.7034228510100125,4.330489836867207,5.697699086751829,6.11010081880635,2.5128710548423765,3.367646504861058,3.0173920510553267,3.8372177863520416
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764238896945426,2.1491157061248276,3.406140763727621,3.754993549080664,2.6505354432231703,2.420853682754766,4.566753104810448,5.519252256450089,4.031752206347808,4.730144052792708,4.818526012798318,6.151965157699273,6.687500503591848,2.7021448479610717,3.2108424167639367,3.3747239399324527,3.99986047492931
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157417564290675,2.73420478560709,2.578626348237479,3.356876576266154,3.658177047596897,4.092378301402347,4.803703410896578,4.5367928353582,5.473957117875023,4.8323117852674216,6.1834569425715,6.479386889697776,2.69895253398742,3.7009397105008195,2.677496955127786,3.485580970377407
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4003360720134068,2.157455887810683,1.4019756823981466,2.154749203462297,2.4355975562452987,3.418772563156477,2.439516621462233,3.4277783492132103,2.818881412294895,4.186220727359669,4.6176060265427425,3.881593802967579,4.712126048680012,4.397080563037617,5.279862349589492
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879741273041517,2.4005592030196286,3.3890230484794612,1.393636733614406,2.1561398269583014,2.786687545293978,3.872450834391498,2.4174022415960885,3.6872541088039785,3.8359696076971215,4.6702283116604555,5.672155731056839,4.9122822111601865,5.862201934377462
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.391966794234027,4.295684576387494,2.143551199221794,2.466292664584122,3.874589207125655,4.9602920724652275,3.3971948303901343,4.567612455387205,4.54376938112013,4.502161251440925,5.625917507547656,4.467262829431228,5.421795407256269
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0877446942767786,2.7808525515492892,3.8698273700203396,1.3930386672204684,2.1666423111248716,2.4132760428295548,3.6436504074169047,4.3275579672995175,4.770775049812314,5.355286389135314,5.514453254276941,6.329071427074313
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8685626300422618,4.95754125465031,2.1441090052173775,2.48721119708774,3.3945736004379947,4.508573267566956,5.27903118057244,4.681651380151845,5.034234875635632,5.579156551885949,6.285095927652447
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889822999929242,2.4194339366042863,3.397601722034758,1.3993496929398537,2.4292617868807436,2.453126122544906,5.992202803013105,6.943761901059192,6.292259260567161,7.247494793844394
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4075817373250996,4.296559917039661,2.161017858669518,2.692660607689439,2.297042110678382,6.72518696673772,7.748493042270857,6.881300503766722,7.846351089645404
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858625367934613,1.398645085675629,2.3662268377688047,3.175344521486246,6.0722525654859885,6.685957610625959,6.777114986045373,7.633489441968173
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146526316051067,2.571509121836197,3.519013431756311,6.862902866497438,7.34719913822763,7.666130894717845,8.482858931508023
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3682245403169941,1.9165474466723005,6.594871612700679,7.3847786163628,7.110846213396773,8.035022692908445
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97015436360174,7.939019878353959,8.709435763766884,8.461146080869263,9.392472688518515
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.307696848231238,9.165071431921046,8.714707226536293,9.668737010840363
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2129367459578928,1.3498166236641698,1.8777613780076268
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255473228388309,2.293342739070403
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769036954708221
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
