 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09729857116245322,0.02487735484240694,0.01171376350187081,0.008774446568782901,0.0012125981815418463,0.0019258381636768629,0.0001930527369062851,0.00039657527110859014,0.0001682124067561297,7.515748031061698e-05,2.560142701835133e-06,1.542143595467671e-05,4.081101381281371e-07,4.938088044026401e-06,1.3596488552813923e-06,1.3070303839235464e-07,8.765004499977636e-09,1.3668721039472587e-06,1.3765281581257227e-07,1.2766784174278456e-07,6.072355951403097e-10,3.009527635988718e-07,4.156583299774752e-09,6.190170220854441e-08,1.0149463713915452e-08,9.229972341984194e-11,6.46215805932826e-06,6.594926928782385e-06,1.0044413433218935e-06,2.3903602319741424e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.811011556167392,3.567939832793057,0.13239775223534267,0.14232018031600013,0.005747036882361584,0.001803628969033605,0.0008720774586632452,3.6782491737996637e-05,0.00017181792674964003,1.7009979821125398e-05,1.536900786691664e-05,9.944678103224192e-07,3.869762279506972e-07,5.364962273851637e-06,7.354096175082869e-07,5.514883150148364e-08,2.261528215669051e-06,1.5765549354895825e-07,1.5174600265233096e-07,7.70357555524015e-10,3.4090281661458555e-07,1.0967815544660198e-08,8.68415124255506e-08,1.6761909138462983e-08,1.3138401477874595e-09,4.7832184014773294e-05,4.789328630405709e-06,1.4249734693397298e-05,4.561571853467505e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5614281188404496,0.034299364848661584,0.02954555286989713,0.0006413316184505635,0.0002423237552341001,0.00013306573585569748,2.9562895748402873e-05,2.5768346775964512e-05,2.162104052017e-06,4.04024367688105e-06,1.4995002328710427e-07,1.0821071139144323e-07,8.222353888448497e-07,2.2345784869010066e-07,1.3535655152274728e-08,4.5785780612012106e-07,3.088598099498796e-08,7.011251646621419e-08,1.5721712820493394e-10,1.3841306446826795e-07,5.482975296011716e-09,2.1039739214745445e-08,3.132045407749917e-09,1.771344182444068e-10,7.359244235005669e-06,2.201056321371464e-06,2.3451304277354035e-06,5.812552318351649e-07
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7354432928155306,1.9378874503014956,0.0016287346129715274,0.0005154306357494087,0.00029178124721793153,1.6207803421819378e-05,5.5658910348033164e-05,5.425150395699241e-06,5.965296148671695e-06,2.41673953627064e-07,8.597508038832302e-08,1.6535325320227168e-06,3.3476812233423914e-07,1.6975995720258652e-08,9.49695729959843e-07,1.0060345667639581e-07,6.518113900011446e-08,3.892965949603422e-10,1.4154056966753092e-07,3.810823767658178e-09,3.5553255672837736e-08,6.979343214474909e-09,6.207679925651632e-10,1.572599034729838e-05,1.1328552512734902e-06,5.222512013992875e-06,1.52653932317115e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03735925916240146,6.0344914498466906e-05,1.3544498053463805e-05,1.7537676807899416e-05,1.9277406053674895e-06,2.1776538833284675e-06,1.1283670398043455e-07,5.157002886946316e-07,5.6682827320742035e-09,2.963636069885922e-08,6.693999343720947e-08,1.6792886636807225e-08,7.234144394629993e-10,5.007631653786149e-08,8.447873733885558e-09,1.8783486877005373e-08,2.680522470654978e-12,2.8321860745528227e-08,3.392741643182262e-10,3.160498751597629e-09,1.171753805095932e-10,3.735656228798234e-11,8.427476129169165e-07,8.114011751381156e-08,2.2999951843072353e-07,8.755008895633409e-08
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003829794506505779,0.00013186411039156631,7.87023727479852e-05,3.86101276128592e-06,1.4076414274422078e-05,1.380922748595026e-06,1.8524697200650309e-06,6.886893566537822e-08,8.908552118214175e-09,4.637895982817497e-07,6.431733956535624e-08,5.273922409898546e-09,2.455755837571516e-07,2.2276484878958058e-08,1.2196567311661966e-08,1.8526735701129837e-11,3.466767450888142e-08,1.3213037330928046e-09,3.0285944863095438e-09,4.864104674595637e-10,2.354825223704893e-10,5.133751530217445e-06,1.7062546586732452e-07,1.4256658580347192e-06,5.212936649012789e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.044870341240042,3.404771868431451,0.13816262115929312,0.27043185686013516,0.027944262668438746,0.03354823645384411,0.0007562545413302146,0.0038668681589639764,0.006357883660755265,0.0019960511728882857,5.8343420449080696e-05,0.0050163967117830555,0.00035359475853269373,0.0005467795417486154,5.389327759841578e-06,0.0004863759396648015,8.32447055487684e-06,0.0004664378450852935,9.873084682759936e-05,1.243860140776043e-06,0.02973581805490902,0.005629176271913852,0.0054167106320834185,0.0013067838684639455
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321011286147546,0.0258304506849093,0.06823889064373986,0.05168785079350746,0.010183071268653629,0.0009057968618010337,0.0014793932454502112,0.0037575066278428687,0.004542186958949687,0.0001733329317137322,0.0021086760566048357,0.00022058849334460895,0.0005909099423675734,2.6119150485781617e-06,0.0004199365540906719,1.6564143057173908e-06,0.00024313545831279593,5.092401633699506e-05,9.411979019491312e-07,0.010621308497753584,0.0037694210080433874,0.001507055163325284,0.0003680483429407966
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8204958824011208,2.8631617218140892,0.09937916339195207,0.17950703870659285,0.007237149842008961,0.026148982508658936,0.017860695105521407,0.003068792217798086,0.00014972737264096203,0.011083346189794702,0.00231631780038577,0.0015633105786411333,4.062384223235682e-06,0.00190452185241749,2.3748253640931694e-05,0.0008765245475090555,0.00022190970804585042,3.4753183926206077e-06,0.19333281774469782,0.04889174687526851,0.0275967276115735,0.005341176427799521
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09508137072357326,0.027444783956297236,0.005009896536751546,0.001466803151947138,0.0001274237821180524,0.00030098421565483147,0.00018439411909254577,4.6725704455408135e-05,0.00014833248935053334,0.00013657780197973146,9.564222661251343e-05,2.4904990469920563e-06,3.4886323348248816e-05,8.878236681386653e-07,1.7791649697729284e-05,3.58438640490899e-06,7.216158066647438e-07,0.0253858864676193,0.06130722385197607,0.004250350377701384,0.0001452680673457163
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9639959378697989,2.569819454980697,0.0799974082813526,0.08929302074023382,0.17344526381575934,0.03464987896270985,0.0011520670399027821,0.03624883551100114,0.0007555882179932638,0.004350126263918272,0.00010854349951960884,0.005053900015086807,0.0002165291698794647,0.011459847473813567,0.0029041411194822425,1.975909339502202e-05,2.4091910226225512,0.2715337031165141,0.21550061479379168,0.05372483032626474
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07776218292557457,0.030747658233107877,0.004633757467122024,0.0085402833290108,0.003516496538111924,0.0014650932040953801,0.0007188559405032491,0.00027736035090364375,0.00038757895461982717,2.5411430301991444e-05,0.0004206279338624386,1.2152952002963957e-05,0.0002830410298815256,7.325106274636006e-05,2.761858575617282e-06,0.11086259784607111,0.026695301667405524,0.010772413889546417,0.0008634416043826754
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.052307220900957,2.0092995200483994,2.471862150769798,0.23549373401429918,0.013475166669546734,0.24028791213224598,0.015127415043631798,0.037189023082893555,0.0023351926553205615,0.035462165894479716,0.0024657166780523987,0.020760170092837815,0.005393421709851409,0.0002742367964444492,0.2054700239809745,0.04349845476894233,0.030033525969625205,0.00185486643735977
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024632809043375614,0.09732906632078042,0.024329912882100735,0.000767672851394563,0.018220812437389933,0.007574428286016843,0.0026866990700071813,0.0007000848352078926,0.0015760418099304285,6.370466587801715e-05,0.0015203837179893487,0.00033649652584555323,7.827232682111607e-05,0.011880615793614435,0.0026149153646247703,0.000931926602752764,0.00013079874134569458
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0916513312900592,0.016745859193846413,0.003790401378029884,0.027183690967516716,0.0005014697964382808,0.001824652382732883,4.066921432444026e-05,0.0028757189967243413,0.000507314872158382,0.004017275119258645,0.0009912118423555105,1.2188444416416644e-05,0.009587587411749476,0.001715073405157086,0.011792914834504953,0.00022070986197486597
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6943104411804555,0.12158413859969586,3.7355150324950532,0.12041237697433571,0.3257877887938428,0.025519720918301347,0.32959926377982984,0.0262156507065312,0.2646009896411925,0.05424384465039811,0.0013476842377467824,0.030460944412152136,0.007490627105586553,0.005047142772037064,0.0004305555417248863
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0481525030683385,0.33946626966264204,0.02873718901730027,3.4429390458781097,0.1241181834713525,0.304140281787846,0.003924183728201691,0.34789976486263907,0.04465695693981142,0.0027067969427997385,0.005879947137197611,0.0021229037197725564,0.0006894012527255064,0.00018176123780466735
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028968700043588536,0.0017027234324227258,0.1284695381762202,0.008603950006827787,0.003508097802488619,0.00042986813151779657,0.026572040188983737,0.003289592002270525,0.00020638646536075278,0.00027890727198820464,0.0001635281927215848,4.938040959356904e-05,1.7571798671678351e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962363844351036,0.29150854497274364,0.003945515225159069,3.4613627415266572,0.12712917104113342,0.3427346508233115,0.041407907249961795,0.0037923960949332036,0.006922388586149436,0.0018728509156377138,0.0012531102621196263,0.0002257595559430614
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034802235786035585,0.0004117481674799084,0.12765955877156698,0.008506327595271257,0.02632812362024728,0.0031033900674295456,0.0013016701171442158,0.00018417465761966234,7.403887367363193e-05,4.437437348503437e-05,1.5596259050898453e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9559738264325932,0.32866448778955715,0.028113281503730714,3.711030892620179,0.3122221408506366,0.03115297046222787,0.001171095276636197,0.0004115767851669838,0.0001485368743780885,2.8101174578076815e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027376843363205117,0.0019101587697378797,0.12562937614709568,0.013051462182837925,0.017149296182111584,7.626039514274652e-05,2.617970581098028e-05,9.97682912451392e-06,1.0356306705538998e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04636086539757,3.622588710031018,0.2995117400738644,0.033938441283916654,0.0014498489467379971,0.0003172272119074532,0.0002491089614118369,4.3721580222699785e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13087901554530634,0.012554053569184931,0.001273866400465229,0.00010005018358461015,3.299408514823021e-05,2.9300051367142643e-05,1.6463899821239636e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.856956172013124,0.13536736843535968,0.0020027873365307536,0.0007499224553009914,0.00020906282875143845,0.00010065735424147348
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6829865333261842,0.0005727564356285963,0.00020929465747485804,6.36379574164847e-05,2.8492802716995058e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0330087139909239e-05,4.096343479975673e-06,2.0797774348269016e-06,1.2549597561140047e-07
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7571906711668746,3.3831087119815066,0.16028908812155518
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5007887389289212,0.06499331261858532
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5167837342120023
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
