,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24N,25C,26H,27C,28H,29N,30H,31C,32O,33O,34H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7696207803376254,1.787096880971478,3.5544299301367897,4.584715948135036,3.57317172007354,3.0328723611470663,4.754517054418181,5.506457577965669,5.555338677096438,6.520694696416913,5.871050825590078,5.193543070276811,4.197429469993047,6.116064247629973,7.085268535532305,4.69852699865308,4.563499045276395,5.842269249731961,6.557317912718779,4.843098082583664,4.156575652461939,6.1867113004249585,6.4232548512352245
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777999316550525,4.144628032252907,4.823562958430451,4.486977998659402,4.263547538714234,5.484296190766384,6.093769257708813,6.574994627393247,7.410496168573828,7.033622796521323,6.373106166802318,5.59950849783614,7.227859062590195,8.084418991488183,6.085247801888644,6.015712943928359,7.057830057521987,7.722796234202904,5.19044700518522,4.2539719606139075,6.446826413328164,6.474999925016031
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8919314383322474,3.6399424551167234,2.9212059001169806,2.7879840156008426,3.7545715249238074,4.436799978149188,4.857406117074234,5.65005682573489,5.403399644667898,4.750893107004535,4.188964827079332,5.654198588870087,6.463650865962214,4.8515728890968575,5.0572697975793055,5.699218671975279,6.45957936798757,3.4412903023942487,2.590938156862509,4.734114683362524,4.859306488008624
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2314138529363912,1.3619092116036153,2.081872950506718,2.4453668792585077,2.5525180985315647,3.7039111731584544,4.525222072642528,3.771444735352182,4.391548638683938,4.187357568962862,5.690999185065776,6.432496545939572,5.391719961689075,5.907203282768571,6.205012257185668,7.178016626955168,3.2333922362656806,3.3926138241762995,4.380082147377059,4.987830240783237
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277699954172247,3.1878173606051043,2.7862954218852587,2.4215003941842714,4.186588557228226,4.786968557662106,4.265874008310453,5.146298778044373,5.191765226107449,6.402661638576691,7.005065272436447,6.4166299107776235,7.017212890915214,7.088482597401273,8.060753851358736,3.414751406837229,3.700400624417085,4.310997613143621,4.897981307485654
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0173000315143144,1.445292025486254,2.0584088078894727,2.4710181950227317,3.395889483620054,2.680536676686425,3.030045681049505,2.9150678852993597,4.336318214140731,5.1017898627248,4.154532403673928,4.79314237304212,4.884292809385437,5.8695908952988205,2.463469635446181,2.8152074322477105,3.6435264338163265,4.331890646222224
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1050974059022183,2.9435520707781393,2.638596807680364,3.6809309837531123,2.8432693522556995,2.674798095225445,2.140031222461013,3.9472571598626134,4.856223300882263,3.325855009379208,3.8555837292865522,4.2384890447504535,5.206660517578083,2.9386882510272962,3.0800065543703514,4.166554389672225,4.7875566614366365
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948596525252354,1.5500215910802122,2.1635014963672985,2.1452564765382047,2.5576839215722353,3.111432688187122,3.711648603931069,4.230301299734173,4.284258027558814,5.152912711631531,4.610205002136438,5.570478144478628,1.5333467623917583,2.4545284517377968,2.3796685742852564,3.214447989768986
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1679239001277466,2.4586709123604797,2.4517539434340385,3.4807359496437797,4.121788917375448,4.5921515749869215,4.969828346570293,5.327454165165834,6.206169104242743,5.604051815901028,6.5583143321674,2.1220180866190383,3.127328565218751,2.5707105693089507,3.4580626598588395
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940187325405961,1.0972717491245225,1.5020878752905653,2.5199911380161644,2.59481580742716,3.0640369859989547,3.5902490186458746,4.592842908032802,3.6704394676061143,4.620823052220149,2.542839078306138,3.4953958317706957,2.9380173940688907,3.810466204291748
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7673389941149455,2.1346199283613294,3.408481070129505,2.7313914671736286,2.7919595826843175,4.285175627201026,5.345580573612678,4.031699072803095,4.870034952214516,2.7676685324897354,3.8609514040866313,2.6190700407376455,3.4961214130561173
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1422526791857397,2.8552096963779787,3.2699828542399603,3.767579575236763,3.9964566547667255,4.920150922243149,4.229146337136941,5.185241106705924,3.4662681238308886,4.404358883137773,3.893078148860948,4.81369392292589
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3861000596837632,1.3742778960999023,2.2469752712348776,2.1570317842539657,3.2113463966945957,2.194410004440271,3.1751591506077363,3.0720721233299733,3.639273524538195,3.6129367357823527,4.256082113879194
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2573845160100303,3.319874224531323,1.3155967337390766,2.138724173326478,2.213164470456955,3.180958234884904,3.6718749192315796,3.8877139802060174,4.5592818119885825,5.120134092363398
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0797589909358785,2.211112745566561,3.245110532988158,1.3810717512779627,2.1392461070190363,3.8294228102665673,4.297821806777251,4.050059301207048,4.5044893496832
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2387771502008964,4.22512657752526,2.1592745992576496,2.555404279180381,4.193443087926091,4.766887573971372,4.057487492680736,4.443979683372088
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081762303499538,1.3631409484600228,2.124083474410354,4.552324940653878,4.590867296340035,5.32540627374124,5.732024939855311
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1486847613892306,2.5469408716533217,5.393352976246133,5.256658606024089,6.264446605991724,6.61078863694666
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00989479093493,4.673224547216793,4.8410859462124565,5.116760187120894,5.4522996624224795
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.504602821504335,5.595276335556899,5.8468346735420225,6.07615518742858
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208552488634404,1.3573771158353396,1.8783413283422201
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2525828028030563,2.2809972509457164
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763205488969332
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
