 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,N24,C25,H26,C27,H28,N29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02374324620158741,0.025399180756541462,0.0008840371383069812,0.0003848711008154204,0.000496482458487657,0.0010801490991720897,8.4607924816682e-05,1.795139394689116e-05,9.141851895488884e-06,1.7236470257753211e-06,1.2967277125408572e-06,2.894667342578927e-05,0.0002665420118306283,2.3400898323533426e-05,2.5836095782771906e-06,5.516795383986306e-05,3.919641745619984e-06,1.1445390637465636e-05,4.372105220085132e-07,4.8986796452821224e-05,0.0001979135548828559,1.0189266221649618e-05,4.145852784631643e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026400130402512545,0.0015763996016393556,0.0005467469802498126,0.0008486261980336085,0.0004761484201860622,0.0001094599531350493,3.461403111693073e-05,1.5797401217376716e-05,5.456472742526586e-06,8.942373077580612e-07,7.439159883881885e-06,1.989185627682133e-05,2.7638738124835527e-06,1.6298162819339268e-07,4.275559506439208e-06,8.971486431530451e-07,6.004235197920593e-07,4.874889025785478e-08,8.432128143742723e-05,0.0002239090095199625,1.0949570171225886e-05,7.76849813766134e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006037002035724326,0.00044605167767097775,0.007433753602754667,0.0013876129413892269,0.0006710532158940019,0.00015052973629336996,0.00017317319861476221,9.101541898370868e-06,6.712950993970068e-06,1.8067802248111775e-05,6.83063746227397e-05,8.3309621512484e-06,2.8465260393240044e-07,1.0806245982264429e-05,3.5693506617029414e-07,3.5522041688107464e-06,2.3222857192806146e-08,0.005791424052301375,0.04037344057260295,0.0023610439848570364,9.919176738293345e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.953610859923466,3.5967799089726697,0.13727707430262293,0.2800931982200654,0.023799413874915132,0.03329829881361093,0.003967619777104581,0.0010040790805871946,0.002664925438258303,0.007321758784130689,0.0007429918008830527,2.536904358074743e-05,0.0013646802172451733,1.463457951556002e-05,0.0006272766973529353,6.635101260354936e-05,0.037360997461095,0.007191535618987346,0.006672319482814937,0.0011798364875741374
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5510325462761945,0.023252318460247,0.0748863811521151,0.044699238082571924,0.008908256537871237,0.001202522290257635,0.0005653255586752781,0.002514750373499658,0.0029889790136830713,0.0005283138854091651,1.4488990173977534e-05,0.0005911921186869812,1.338005542794729e-05,0.00044134987588119456,6.087565190515676e-05,0.014274487818481257,0.0021304860581221746,0.0023494691595915412,0.0006435832250974993
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8471095488924307,2.822865421800942,0.10008632607650225,0.17728000796868784,0.024366716032227842,0.010325085299222159,0.01650612108272828,0.056609880072364796,0.0036334446719265556,0.00018839338040654852,0.008182150670660387,0.00013868905501168705,0.003649639687981626,0.0004156837935319624,0.19623388999181,0.029621172940504925,0.028676734147870475,0.004951879771369461
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09892195681646554,0.025551068919412945,0.010027464534123731,0.0006787379423511819,0.0009032372624337981,0.01699086202233968,0.1689191758362315,0.0037549856029104323,6.615847404112252e-05,0.013375263289846062,0.00011922820429388636,0.005617570555517926,0.0004934444578998942,0.004661616762157927,0.0019973707435704258,0.0008643954424836231,0.00023706655703392698
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.073803381309573,2.6677705879382314,0.09208971609874039,0.09228014980425403,0.17460409019943038,0.020432545206514385,0.044375690794447975,0.0002916395392789095,0.005805669167602889,0.00016286657336528343,0.00971090604708108,0.0005105712762005776,2.679237021382808,0.27043327867250533,0.2129917716003032,0.05407286486718055
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0907189396165421,0.005051911835749268,0.005352742091862428,0.02404291714600404,0.002643601156415043,0.0034587362782616538,1.4373122188438003e-05,0.0006169404820166591,8.51964966042118e-06,0.0010683804063215119,4.9849137510715735e-05,0.11186701191528359,0.030286950347618413,0.011091998495693645,0.00038684097287289276
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894513840822863,1.9600373977803422,2.9241017715520696,0.18985806412549597,0.24813604663806046,0.0041998484281848825,0.04893708915262343,0.0024056797299398802,0.0455324521224732,0.0023690525970124776,0.18486345819558916,0.04167101909591821,0.02982897151716954,0.0021783600298106442
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02625032196133814,0.10904798840333196,0.02270984252625252,0.011370600544245768,0.0018878691206152265,0.003382252852026424,0.0008796363140155528,0.0014761919782729782,0.00014723077485623293,0.007114687785336082,0.0012492042994278751,0.014207946257428494,0.0003574624250830549
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09937317427273373,0.01176502499892862,0.041765681243771224,0.00014707434063621072,0.004778239102412485,4.935112825665833e-05,0.007617767444402013,0.00033447890866722396,0.028848384201896726,0.004600694436018848,0.0040641701091129745,0.00034474115267202343
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.434269394655299,4.054013864614286,0.11806954497586597,0.5456989068758255,0.03625880033078266,0.49459325925984376,0.029003593732466082,0.025426443839377005,0.004042547951481262,0.003308018849684055,0.0002931955905677297
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211925100788287,0.026249328725674204,4.335578269273299,0.11107225183975489,0.5301507181678962,0.029183690420186092,0.0027879073595745707,0.0007569753003921209,0.000585116955456183,4.643926061254078e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9971727837683153,0.6173717070224528,0.029426860954875567,3.422747279806272,0.108537574084971,0.00605363447711782,0.0010728510119943635,0.0010227969561542316,0.0001140213638048948
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029913743403663373,0.0008639814528417222,0.09751640958416052,0.004542535738398801,2.706303878330374e-05,6.115315318244718e-06,8.307751384817319e-05,7.736054555396166e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9562363796023523,3.551923916458643,0.11721168314117847,0.0013737995235316713,0.00017572514559144325,0.00029508984233132807,3.308311816796472e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10312373918569873,0.004684756786072608,8.117954643616088e-06,1.6835225906675078e-06,6.078879123516678e-06,2.094158314758232e-06
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8142901462224839,0.0015391848494880345,0.00029256123610452156,0.0001560730509044539,2.1050613212003633e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9445428322348874e-05,1.8389964804854664e-05,4.362069528474066e-06,6.1875227097552e-07
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.287429760528628,3.3931720969458103,0.1694753279916138
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106834384991936,0.07014888797382479
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7491520647995917
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
