 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09301797579629578,0.007387081761106584,0.004147746476282244,0.00029090453566338326,0.0009139634096313465,0.0010309612203356355,0.00038539409526294754,0.0007753179507947738,0.0010362444920180014,9.226563337683125e-05,1.6487175240165186e-05,1.3954650146308367e-05,1.3343823650480147e-06,1.1598423048653217e-06,4.381548219356546e-06,8.809072260529405e-07,6.577266777885171e-07,5.996454421897113e-08,1.810540377622516e-07,3.897578246458977e-05,9.665501225608608e-06,0.00016355155423286583,3.4315402691609265e-05
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8095831197441914,0.09772351441564875,0.09202174192853552,0.09719713287404674,0.005373204083527122,0.0009232640710747295,0.0023379265502610214,0.0006408642228286077,0.0002704219763371568,1.949766191744473e-05,6.779978536956832e-05,1.0324748547452245e-05,7.534858383895227e-07,1.9922911171588176e-05,4.573591099038543e-06,4.9289519937004145e-06,2.3682802929858582e-07,1.4004815872548093e-06,0.0002741101654649136,8.396386729299377e-05,0.0008215128313757564,0.0003930115107579901
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.822246858833026,2.065131124549132,2.0574419083992908,0.00043306052297859,0.0001182585737357078,0.00018948519256307972,1.5009768362106435e-05,3.486129718591191e-05,2.5442609891124235e-06,5.627492531745659e-06,8.524506280860322e-07,5.500154931503687e-08,7.176587667467871e-07,1.8510502945712215e-07,2.4657308096698305e-07,3.718650642969834e-08,4.0818258217889536e-08,4.541132528906866e-05,2.7392643736842692e-05,0.00013636486800960856,0.00020017174030795282
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025130258564935115,0.023258068676813348,2.0044758607840052e-05,1.024131488769342e-05,5.444906127083371e-06,6.764086054378282e-06,1.29566137685444e-06,4.6374319051523116e-08,9.457801841694646e-08,9.612448836904264e-09,2.543149602018957e-08,5.0527516837206576e-08,1.6948901948588002e-08,1.0605584854772587e-08,1.2726080189651157e-09,8.105383031420388e-10,1.4112118846831834e-06,8.853161865829406e-07,5.825218101884744e-06,1.6694960006669035e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025089337572292925,4.008585950021626e-05,1.2866724219184889e-05,6.912153623472861e-06,3.431502056505664e-06,1.338014247176389e-06,1.3226949735489768e-07,1.8012286084889695e-07,4.683459997600892e-08,1.847921815567588e-09,7.305615223884843e-08,1.625978396369021e-08,1.8803158474689496e-08,1.5268575292992637e-09,6.888294601381517e-09,1.3836529835220546e-06,6.35400951964904e-07,6.895479567559093e-06,2.2790957246110466e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.586565588666659e-05,7.997381723190422e-06,5.530278147447554e-05,3.107180250871977e-06,1.8987091779942844e-05,2.1540073547043903e-07,7.0879238933674316e-06,6.736605671076035e-07,5.5684869604277765e-08,5.9936884189149e-07,2.7322222218018055e-07,1.7232495785890478e-07,3.83756688648873e-08,1.998274412606804e-08,4.7676952087183366e-05,3.055267859486399e-05,0.0002569424103984197,0.00022141879056425395
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.831252967389767,3.4762124703288677,0.13483584769879375,0.2630624899492191,0.03042617216899368,0.03282117367717033,0.001565849520672291,0.0006502082339805426,0.00548697127733927,0.0012767823105934162,0.0013118166085537425,3.0263489984361236e-05,0.00024976823799760517,0.03427095842612454,0.008079716351816008,0.007341711458199868,0.0004224405535783182
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5493126710408119,0.02608483385735605,0.0697016296030588,0.0637805815743222,0.01025286323822927,0.0002655989526815228,0.0010051406742946911,0.002417800341728088,0.0004951966791869739,0.0004611093315491713,9.908889469389948e-06,8.573227208730216e-05,0.014835285355733308,0.004722519186343754,0.002565598153701859,0.0002358266790208896
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8831376544657246,2.8118722757550785,0.10380278149241573,0.1857112753683668,0.014092578047893212,0.004511437208394531,0.03072991235840783,0.006177414325354971,0.0050727313807727575,0.00024221509003763408,0.0011491700134143024,0.2115755379142579,0.04330544045862206,0.029954967534125715,0.0021871109618337714
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09634838246318167,0.03229058817745645,0.0076447121353036,0.0005428397406566088,0.0027914226730050284,0.0009610543921013681,0.0006779954136167943,0.0002311276703038656,9.218629238860743e-06,1.7531599698639155e-05,0.006531268364355802,0.0008896169460297365,0.0005295547027044378,1.7782146129352583e-05
