,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24H,25C,26H,27C,28H,29C,30H,31C,32O,33O,34H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2279644675866734,1.3583519538755602,2.0596020047818557,2.4496828882006936,2.5873390187532035,3.2661346771280133,4.145135752295055,2.9646802846826454,4.062482386025761,4.028633890248428,3.360538256818684,5.330538547892348,5.741459317097281,5.260809721694371,5.617145625491078,6.315418820204428,7.301157820689168,6.289385689381463,7.260128608069522,3.6502992457161496,3.9934582928409332,4.743428125933044,5.483795594689106
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279230591462182,3.1736470406147035,2.8027595965251817,2.519724207883197,3.3720870926136755,4.053614273300654,2.7976648417359087,4.466742634004532,4.588648391026154,3.899105939818925,5.753089647442781,6.048598198976939,5.921038399929895,6.321699821770394,6.86454120408836,7.839534897967761,6.939332799542495,7.955392224294558,4.194794435214906,4.798158509493434,5.042669438549538,5.892783700708068
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0128645264527234,1.4474249648275503,2.064690886892534,2.5183802077634714,3.418403613884695,2.6896875154785636,3.1473929613591842,3.3400825016343827,3.012774234478182,4.2569973498630125,4.632869870241792,4.524469603003628,5.057306610936599,5.240374354415965,6.16675112448155,5.3547497086545714,6.338545567192571,2.4006892548924514,2.698303095989741,3.604584379976209,4.272677910436889
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125882631911302,2.92304863374919,3.107018804866649,4.039947870627119,3.4328912506455396,3.302602803816812,3.2902450890608916,3.0628483858748456,4.27279155864963,4.756655500578824,4.241600432108109,4.700602698915523,5.044729488121837,5.948341637003852,5.034330254940373,5.93147397527542,2.525571033920645,2.3629611108522717,3.858091127066635,4.33981441160825
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963452061990424,1.5606062718144968,2.1596966563962527,2.1331435785702166,2.5907067260948975,3.3792836317020907,3.3977933518046792,3.4840877578274587,3.5743958057963674,4.623817021097483,5.40129743405287,4.703389628516286,5.52131633499851,5.1757849421338555,6.228597660979832,1.520666196937289,2.4309484788592974,2.379323469778052,3.2103066875892914
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14996165547469,2.388383398424773,2.4295043808850543,3.48910024384176,4.325767901335518,4.231462624017353,4.344224392731225,4.255892745038299,5.6298507115717955,6.3932137441423365,5.645941495950321,6.417268963388932,6.19243040163256,7.259819951399638,2.1388365727877647,3.130295079510446,2.6159345708338684,3.509628320120303
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953955869668024,1.0947048415627043,1.51406443781437,2.5398751506274793,2.7495264235790504,2.5325208437968367,2.7261565288294047,3.823741876703608,4.6902084503328885,3.8215345679921864,4.6860976754103945,4.330287012378595,5.417483325293745,2.5558323931177687,3.510934165330145,2.94904569989405,3.8142669941749454
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765244391687817,2.1534189479834627,3.4040052930841176,3.7501452384594676,2.654609496954203,2.4268015820592583,4.561242184012675,5.508634046752998,4.035275092228798,4.719518766580746,4.818156008855295,5.884573829675295,2.8249320158977835,3.9394263897981205,2.686768427705046,3.574158963078381
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162706334194131,2.723825938656614,2.5571360626658235,3.3704506040469515,3.6722928434612334,4.089234593222202,4.792293492191012,4.5476904056292655,5.478863096085063,4.838161532552246,5.90554235403765,3.457476924773024,4.371670693588273,3.9256182994261963,4.833742388177629
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4036791904538812,2.1626627763820334,1.403131577221381,2.155613870219033,2.4313258940730043,3.412073554685885,2.4355299796491106,3.416811607729668,2.8162924602261588,3.9034829093035976,3.062507897559525,3.6564081675984412,3.5358712485536397,4.155134073865245
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871509767215155,2.413132933013898,3.39925602313264,1.3967095675460064,2.1516098257621485,2.792330326105238,3.8796907768874918,2.4242628507806936,3.4097711525021928,3.9955086712967356,4.310030368479137,4.747664002198379,5.31614799937346
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.402928828038738,4.303429027317253,2.151533951050929,2.4680159734791185,3.8794254160862085,4.966799379921603,3.4047049594694987,4.301260646075702,4.315647434016063,4.633959473988435,5.217849595114291,5.874057933352071
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879286350619115,2.7839060732100345,3.8712825175065344,1.396180871747464,2.1543461252360214,2.4188230714720924,3.4052216603467147,3.3976607147058853,3.8972673983184847,3.480566788958743,3.8558865847701798
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.871816369403082,4.959180069537105,2.154331125133381,2.476872173147861,3.4030254387584455,4.3017948328223765,3.2739493379946465,3.9293522374135446,2.931702788502537,3.25591926668002
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874179525271233,2.4132786763961436,3.401335371191208,1.396786756722483,2.1595273552395873,4.954815320421639,5.046917407091268,5.656393656457219,6.056089909758225
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400777492087628,4.303161335999565,2.1577560987924245,2.4896424988613086,5.817706053689075,5.807442422714029,6.63126939279941,7.030551164971704
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087399900715914,1.3962949993927778,2.1583938766566364,4.489477250732147,4.702324278151431,4.6467627543031105,4.827825304946385
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158086059375022,2.489289398495329,5.098690601796712,5.2653053651009625,5.041050657496629,5.057518326359384
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087197365324979,5.167450168548384,5.223811956159743,5.6201405892233005,5.8534576340914395
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13653932195938,6.077595365190334,6.574096453727114,6.715482160719136
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211845220394332,1.351755114549865,1.8754007782255047
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2539328858708436,2.285596396151438
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764859656756171
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
