 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,H24,C25,H26,C27,H28,C29,H30,C31,O32,O33,H34
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.779406732094288,3.579004656231124,0.13639772329467237,0.27462686730229635,0.024303399848292218,0.03529081675457904,0.003039912016049362,0.0064073256423335945,0.0024960846463938646,0.002504241511013555,0.0019973756631799233,0.0006993949335444005,3.6921585496063614e-05,0.000530150558116893,1.155278451570041e-05,0.00036233634169560713,9.21016583155243e-06,0.00026598864964474944,1.6091971473120026e-05,0.030423046422450667,0.005733965824577081,0.005753608369185578,0.0012274150501497827
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5643491782130069,0.024413775625717782,0.06875016371724346,0.03520491818884297,0.02006613882288552,0.0011501781281325618,0.01556324614922322,0.0021383874326601215,0.001676506085784013,0.00015141335914836684,0.0005631167060348996,2.2294155220703438e-05,0.0003398463271708785,1.7240466178014557e-06,0.0002727913444161706,7.759336435708697e-06,0.00019331647515932748,1.9333548074706997e-06,0.009034967181605874,0.003861163136640852,0.0013097586388356453,0.00021587147073853785
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.823562084709958,2.7708828312280533,0.10029055956726374,0.17184473780496182,0.02544571634489956,0.008550292321084507,0.01441777886908413,0.015450503722868783,0.004630925356025273,0.0023849712043979565,0.00016024131507319517,0.002023016469308872,3.6013370553922286e-05,0.0014388316720115313,4.783325826540619e-06,0.0011052635779223996,2.282743156389877e-05,0.19757485803320668,0.05061874206158026,0.02695344561687027,0.005073281462419588
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09698968413471731,0.023794327932737058,0.0050018950024671716,0.0003336551588852821,0.0001206287631636549,0.0022206414786404283,0.003622434297521404,0.00045924702325983446,0.0001673217445385955,5.258061221535826e-06,0.0005119872834108419,2.1876185163360873e-06,0.00045737140156831835,1.4696778039002822e-07,0.00024559078978136917,9.76610852854165e-07,0.024771907798142534,0.054100594222453835,0.0039605859417063405,0.00012350392920401632
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9274854961330687,2.685687286809261,0.09292963707976587,0.09843457316420179,0.1602499646915086,0.03571112558849711,0.000660672731445322,0.036756643755272,0.0005515921156273862,0.0035280768101903642,0.00015718273634357516,0.004055459957779811,0.0002077499517094683,0.013708580494601275,2.8648133821418398e-05,2.719504894256534,0.2816403141837019,0.2148364737283071,0.05332196752914953
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08588665251266792,0.005855986724475404,0.005595839405281522,0.022577369343890652,0.004266163494050623,0.00014810112363861094,0.003274365904141874,7.451722586582221e-05,0.0005377704636549963,2.8044919108571875e-05,0.0005000572082043409,3.868356087011193e-05,0.0012642587587319287,3.4215085353839214e-06,0.118055093108135,0.03094732247186338,0.010703526417053744,0.0005486043683498032
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9364313094419359,1.98648189471148,2.720159064225148,0.23747628609458726,0.01342700367994154,0.24692672496981619,0.014994186518096253,0.03603462749755673,0.002609792574531644,0.036332809725458604,0.002714946639860827,0.02283653506195263,0.0005187552317056365,0.18355351266874814,0.045221573266563744,0.02842622248414592,0.0020179393578912963
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026115860236294974,0.09799767510254287,0.02528258429846919,0.0007088360966476248,0.018084506702059966,0.006736841338610189,0.0027636077827563055,0.0007163954062521238,0.0016562950511638252,6.35448395238658e-05,0.0024085135347036157,3.396485130569005e-05,0.005465198532909499,0.0008273522676365275,0.009686823251943366,0.0002959987871309355
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09318947161379176,0.016147063212143653,0.0038605663987871797,0.02726369929707073,0.0006028501241526207,0.0016082139463954315,5.000102428143194e-05,0.002959603601826011,0.00060043550624167,0.003997245543456707,2.070542013288268e-05,0.026342512311292587,0.004458202239549847,0.0038464073522538333,0.0003156912649513455
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6275452337581147,0.12623006810172233,3.8094219017618136,0.12613546009239252,0.3280723715528119,0.026619086594823482,0.32740468927862276,0.026383110509082375,0.3003093343254086,0.0040240611833248785,0.024565760297216604,0.0038796836454830508,0.004075464904754245,0.0004294375998337152
