 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,O22,O23,C24,O25,O26,H27
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010077250396954021,0.0025240608639176265,0.12131630664979173,0.3005495724704369,0.011270570333700505,0.0025092493165328467,0.0005250657901585687,1.0687193009895068e-05,0.00019466934838918704,0.00013121920348158067,0.0001416224360666421,3.0400731973492107e-05,0.0005540065833811031,0.00034586456170405955,9.324993001037785e-05,6.667699885110068e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.535015998965057,3.7259458673274217,0.14281202379235824,0.27697425038486423,0.027077476600565475,0.03567944369718781,0.001142348290919415,0.0006722740208975342,0.005933769172792758,0.0025446345902520873,0.002962669376883692,0.037689307559032936,0.008459746151325512,0.004519266639435776,0.0010359206373030672
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5448291777349659,0.020291147786523855,0.06557461985914488,0.051856410643161155,0.010789587521532265,0.0001661353056177095,0.0008144137280180486,0.0022009228842877204,0.0007134649773780088,0.000965047162407924,0.012696573770750091,0.0035983754891716555,0.0017304515507675922,0.0004635261966546844
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7009129814590598,2.677496463305192,0.09613851384758787,0.17709184137232958,0.007303925440055314,0.005272896764111579,0.029237781188648476,0.0151312825193647,0.009782902571271575,0.21423670512045412,0.03838113089927535,0.023696545553108364,0.0030379475278178303
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08683740886217928,0.025235345588842106,0.005467757966023945,0.00012967435708333142,0.0023778383703536576,0.0006296889086441215,0.0015885360112153357,0.0002623915092571094,0.00623264192935391,0.0035031584499305435,0.0005925842144750559,2.7266207451193125e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894923845918527,2.4929924688590086,0.09393118776835441,0.08963202563694117,0.156870886869998,0.09010251052208026,0.04202084679658398,2.739867886285799,0.2467349532019381,0.20386951918448265,0.05677697148224836
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08343561975509883,0.004544701433138787,0.033673484176627744,0.009705753120959004,0.012456953768860468,0.001901570329460367,0.10577456923303807,0.019354437743830055,0.014573157068016873,0.0015380547739298756
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1334708172987664,1.9256076762435796,2.4575137666913673,0.2906934699810644,0.29709694050704183,0.186755839806713,0.03344651867621401,0.026516643533116363,0.004619262775205635
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023935119437261454,0.08047240589813609,0.02530153445305028,0.015706293298310303,0.03075200076830331,0.003996701195394858,0.0035624332117598634,0.0013661321430322726
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08529674535188003,0.020482720153357725,0.017910821544181,0.012408771683313669,0.01353311116398015,0.0016694365403313594,8.839503225854806e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.389348854776988,3.996712565373088,0.039061339306987186,0.006891995317928765,0.004808761707287917,0.0002782109564497537
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5686724775313711,0.18775534873540578,0.04236276068758617,0.021157949630545014,0.0012059793495721172
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010777676047448476,0.002539569166195994,0.0014764743412687409,0.00022717964743435015
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.621553576894277,3.4136200236855556,0.17146392154853285
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932072890944388,0.09297364612489678
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.797902599607861
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
