,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22O,23O,24C,25O,26O,27H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3276306337548234,4.570717111398202,2.779868425798584,1.7868776531958674,3.969995711881764,4.808407948359899,4.424624556326125,4.559500900566861,3.974506658554663,5.918094869014674,6.364374353413564,6.710206755484322,4.3649611520907765,4.288602383766349,5.267088180384375,5.64578825459631
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2433398669705442,1.3485388843423491,2.028789220676264,2.468970716518682,2.49989566647905,3.5505469316145466,3.4780948220242855,4.009879720491782,4.840718838292222,5.063153133581887,5.790321518939474,3.494600605085276,4.335312379183295,3.8430865586247576,4.662014004874906
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2964957332263825,3.1820200791614255,2.8495413865656363,2.3633747844827506,3.943666106337513,3.789551514727429,4.6617124095418685,4.962341520154404,5.065382566831724,5.8891452258320784,3.91759719637001,4.963683472998651,3.958783283568831,4.8710620185234985
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0411157398874098,1.4705217373307369,2.062095999272783,2.517949998831062,2.742464165511787,2.795925670255071,3.8917755791230384,4.154545323295303,4.891240105212577,2.4323051555512465,3.114114170821322,3.1738939534898902,3.9114614122636624
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.206458724204824,3.0237068506715246,2.903124511281737,3.1466776970685615,2.7775138492091562,4.374967951144591,4.7376528072399795,5.295836276434366,2.8405888145756952,3.13013147810556,3.7595118997901684,4.322606509856786
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894261561484582,1.531611604229162,2.1639058505940483,2.162705918450928,2.5596508229392687,2.688960054808188,3.685566471099278,1.5261775242077047,2.4500367445853475,2.4106162410228267,3.209872497363406
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1602709126472477,2.522558785232261,3.064496377448524,2.7746110936851887,2.707708897080455,3.8684691522867443,2.1299978872247314,3.2667989455503084,2.437784924476571,3.38005849278389
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971421065511486,1.0986229989960343,1.5675135506048667,2.3892127594041437,2.404568614314367,2.5048479995299497,2.9640060091303306,3.62763963633595,4.287874825047612
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7649650726138415,2.2007690937558833,3.202386862401311,2.6242437640897,3.4576857954493967,3.996440088485375,4.4802259627509935,5.23350845176582
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1882901929540988,3.0053579401852217,2.80994966822953,2.7379054129377582,2.7386591419206487,4.053952713263683,4.540350608600421
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2664654962261612,1.2534541108885204,3.0064579171604446,3.4157311614734733,3.869693200100598,4.415817511440566
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.274256777876223,2.606746604514617,3.109737155004952,3.1086036509946995,3.5532361199092524
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.232065260472197,4.51160009531328,5.1181048877861475,5.634461988023226
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215672736166713,1.367952385533085,1.852389391444531
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2436560642916814,2.2105199844904657
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975197685003486
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
