,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25O,26N,27H,28H,29C,30O,31O,32H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2893271795148262,1.239874078425402,3.712282805593685,4.885960536022103,3.3261328361613955,2.3866337408787066,4.489136756723505,5.344249640405685,4.572697990551016,4.254927692829092,4.177022056901671,6.053008667197886,6.539716673402381,7.019902417543543,6.956653665777837,7.949464537464135,5.119415131211526,4.858254727122131,6.4593054389629225,6.909719680340383
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.258101935009951,3.338478289640187,4.558942989746799,2.6069120077941172,1.5286123744660935,3.6870874109265914,4.448973331858547,3.6203368530273865,3.1151355862264136,3.4325373260928598,5.067931275206389,5.526535820949971,6.077083745378499,6.111273420965662,6.995857749965457,4.636033793254705,4.659187118929762,5.911113984849026,6.507284068849657
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.887263044936872,6.054270862644776,4.554815612445545,3.5846204672339237,5.707830622575583,6.5592871754223765,5.666990776404934,5.266448635174514,5.196986511334153,7.097004429587008,7.4557669666282536,8.142434632062876,8.135436266929442,9.042801161647503,6.324672530326708,5.984255623318701,7.6761636920456136,8.095588580173908
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2428239678844066,1.349051644750137,2.082985469221949,2.404870758332357,2.741943547182735,3.698132608905258,3.8445528800512876,4.002573695183424,5.026006707508032,6.0593933358033185,5.295600508196364,4.802626750922585,6.301030087773572,2.889667889500609,3.256685204394942,3.790915757584352,4.361714976765913
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279703443714816,3.2206112797248467,2.7336951551072426,2.7801399260057456,4.243586448110076,4.60018275125585,4.6308610564156485,5.351502952536433,6.498300950202084,5.304085408358855,4.615996990860812,6.2636557806835285,2.7581687420748957,3.229296280606851,3.262243444427928,3.7393814672070627
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0883943463939836,1.4443468574981175,2.09104504595408,2.4269742295099914,2.514953729125224,2.766219833228956,3.8422252831687875,4.793842509108755,4.3427512007516915,4.051852983001911,5.350941314989817,2.449630769115014,2.9425916840171515,3.5365671788086708,4.235175894317636
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2306345588132146,2.980912605380793,2.5887143492083795,2.358379825624459,2.6764834836247435,4.099925491405175,4.837403504298884,4.886091936659967,4.77418242029086,5.862529009301987,3.2517953258676235,3.503539425193804,4.460190619048402,5.1149181255756595
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980812282513523,1.5463740283548613,2.152060656866351,2.1724300408586954,2.660394689294123,3.774241989671038,2.947004522048542,2.6134907301142603,3.9573058791616766,1.5350265117478532,2.456941146702654,2.412164349105795,3.231508517902242
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1845350367954164,2.612324201734106,3.076176285472341,2.835552531976794,3.983417348274233,2.752673345811722,2.344441811532362,3.7202030568274256,2.1308639023335334,3.26556892915333,2.4025829349319427,3.3562793587815136
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095265089861936,1.096691764756717,1.529915943179603,2.3981109851043145,2.4878659077585263,2.6965631490972144,3.3874733770887784,2.536365083837596,3.1730661964240987,3.356865174538981,4.09922575528341
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7402076736268899,2.1140532690294105,2.608413525835242,3.21336621314025,3.560752625768334,4.041810107386745,3.4515220208751676,4.069962660017309,4.304594129779521,5.104072695940001
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1361962282715394,2.7185568473442,3.169959058144375,3.350290589365795,3.970785974364307,2.6925390312786197,2.8941862942120795,3.725027422363936,4.269207208823072
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2255013331663012,1.3714313548428207,2.09677645418311,2.02288956435471,3.309201628833363,4.048086647013393,3.6062550292713755,4.315145979087961
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.266049020153896,3.173395966628294,2.451285555407039,4.457254318949779,5.061613821774183,4.790519046347184,5.437645622162452
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0131642798176883,1.0111624194396198,3.237871493170673,4.150234883314881,2.979997414983475,3.670400281558404
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.735495449851297,2.5715724591366125,3.5612140108995907,2.032371857109662,2.7406434147444783
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.140761333802112,4.98319011973536,3.717852275740431,4.280117347856974
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2074027122853395,1.3744038612369018,1.8811382643556394
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249652459424104,2.253824733759166
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761864419852584
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
