,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32N,33H,34C,35C,36H,37C,38H,39C,40H,41C,42H,43C,44O,45O,46H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971269862551662,1.094113216863274,1.0994754531207869,2.53301376547643,2.7673623367859306,2.8102845584597484,3.495071914932745,3.69865201656175,3.46008637114397,4.958317518790947,5.383318338497846,5.993625069108733,5.707763264909519,6.780065735027178,7.298780333234289,7.638617436133971,6.213217726250782,6.3170416447713515,6.780520792696142,5.947547614995615,6.146470738650349,6.439086962203679,5.917972725361636,6.185635723667411,6.539985727524183,6.135231735465921,6.457191902532759,6.376930933920623,6.864527519323404,6.351839478707317,6.823942039128408,7.14491134394466,7.442057095311896,8.094932089406946,8.835477818550288
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7673933619286366,1.7706650543789055,2.7206665203078915,2.4991192233417765,3.0694907154583917,3.73629416557903,4.5283228232011945,4.078932654176475,5.7699945512213,6.289766260047912,6.66672517355274,6.262175023927966,7.350420410353794,7.95438292299977,8.145080188915832,6.6294400970458796,6.5165615951730675,6.9112673898601935,6.3637581413501225,6.1970258217190715,6.317539458826782,6.095250577785859,6.7394752440652015,7.2271792494864995,6.227445385931372,6.3669615142001845,6.844998046596734,7.40740376458861,6.599383261103332,7.005594100827874,7.8955520064876,8.30364443251153,8.745161646156955,9.53381841829136
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7824164291001592,3.48730543990571,3.7372213647067496,3.843700938120019,4.339727323155281,3.2203629702503815,2.7889623968910557,4.569116841924343,5.079859754960221,5.513681769649964,5.124483289145225,6.4899032854504135,7.080371145496734,7.274821051107349,6.11075707148809,6.212773317269983,6.545230575409701,6.093004890524074,6.266392785145699,6.594271874579417,6.200101979312734,6.440364030987198,6.691681063729876,6.640449063807811,7.027484530012067,6.848129754313487,7.38252189968601,6.941365778115323,7.533896894906744,6.550645391355736,6.85703800506901,7.43756220508874,8.143117933362522
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.856827814171569,3.208743839642382,2.694160513069777,3.8616780459521025,4.334330653494189,4.284699217586226,5.570467107331988,5.835003169999528,6.736592486372673,6.548161644966824,7.577416985428925,7.995399502499053,8.485835323018222,7.0816159155066,7.299012083154429,7.8113812245276995,6.717503450623464,7.113646674717456,7.437822318225699,6.75567450161635,6.76642476036513,7.041093137302194,6.853563022287728,7.191512759578079,6.84869051565471,7.186226343497739,6.89051580645022,7.256696989212865,7.786381047684168,7.935593599833405,8.819854692639728,9.499292582465351
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970257433719774,1.0990448204127217,1.0962661517833219,4.499983891115286,4.647110605216931,5.305846167166912,5.560278243810938,6.3491194302210365,6.331554353919515,6.596624677333846,6.913417946857573,7.554528395434098,5.66833950756792,5.843581012326601,6.608166852950982,4.853541317319611,5.240582274840359,5.5431188597122585,4.571951679722012,4.829372849405017,5.429460009643763,4.27557618869293,4.543660642687421,4.52901641325761,4.951889639256192,4.24308641806018,4.486458342691327,7.691628422391587,8.020597611914948,8.706529439139992,9.51267998614963
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706542206240672,1.7729501174310676,5.161563100924137,5.072323626076266,6.026355032385638,6.406655255218925,6.930672039860193,6.771603949448746,7.123286467643228,7.551561849122595,8.001975522862766,6.064196738448935,5.993307272994471,6.670453355665102,5.312563071114376,5.241480327182813,5.342423163191466,4.756356269683894,5.495890670533707,6.215512555114973,4.385393747198264,4.396831719066985,5.1617461930294,5.687937464562156,4.603931697809717,4.774933795555741,8.336994812318176,8.777164336887095,9.249888635929102,10.10182281273351
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7760417208162431,5.11556239311953,5.371043844579015,5.94976928574803,6.066115072256127,7.118982184026091,7.16712117462683,7.44681394867198,7.673599265161672,8.446553273875875,6.61097606112382,6.886099148987959,7.668525643399992,5.739616212498453,6.303872087152296,6.6229930221838655,5.549448031848076,5.512736707125986,6.00797841885125,5.143067401401556,5.407277522376112,5.085575218358714,5.299116587853408,4.888738163460366,4.9647388786865845,8.372705655257372,8.571214313548289,9.465789079895167,10.221396587227325
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.645039186944929,4.943621377812789,5.186995429754688,5.369450193557555,6.168365502489637,6.27981672595285,6.1792459948983804,6.390492186588477,7.152426528818401,5.164630308238789,5.426580048732492,6.306198932643633,4.1449404778755685,4.729982230329987,5.105541367449852,3.8444523391011787,3.9880329291135883,4.674030205287549,3.378138181205063,3.7395251153433557,3.5136614959253176,3.9424118813784643,3.1799001578521633,3.41038623858019,7.53613498786636,7.878174659989115,8.550634877268626,9.363663611580824
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228942569372095,1.3638854992091127,2.020362734065999,2.455951654213736,2.483626283660484,3.5892391346676646,4.050174654859449,4.442879083440469,3.733124456451347,4.376276126047965,4.807564642671045,4.039980562996087,4.971366678420913,5.7023025477088956,4.814972299410481,4.336855285022704,4.232196584701779,5.700520438538108,6.481202986570395,5.275653922193011,5.831988078128784,5.882971917964898,6.775111931466202,3.469376006280206,3.787409544222572,4.535920233996136,5.233430397342077
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2911500130195335,3.1482725013345534,2.8308472031054572,2.342456470509361,3.9526490230484224,4.67014541422947,4.620826211215718,3.9361661736898186,4.196663718970129,4.410113596094838,4.442615752045506,4.794937886746143,5.3637811728121045,4.9462163160253265,5.0483857311001215,5.126508360603787,5.8995843929096825,6.530509942222271,5.96208978600047,6.651657896495591,6.337052255920767,7.23404801651843,3.905239649297261,4.459035445307206,4.691621435143145,5.460869554008019
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0164900744242367,1.4418348328933586,2.044608987724373,2.5093426909019763,2.7888572181760063,3.415620965476402,3.0394875825629972,4.004037800270775,4.492469790703414,3.4873197764506014,4.803978515312728,5.67619202936784,4.577187045290453,3.696346312907885,3.3615566059628406,5.586764889071101,6.495648164085323,4.8599032024154445,5.388893592757667,5.684302769871794,6.655136290480389,2.428283860096177,2.7621984387239267,3.614505610869498,4.2958289638054685
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.140447799682452,2.961907974063889,2.9749829760457853,2.870427891049752,3.916721023767256,3.609397591813715,4.7474644484359425,5.330696766022736,3.813761510368741,5.473122626373837,6.395891461724897,5.033347182028652,3.6463861162436495,3.0585899686404656,5.909832024924606,6.889543138462401,4.7512285706780695,5.086762669700182,5.769658745776992,6.684140662756261,2.6774668957785273,2.5886897268714266,3.9981639395701443,4.517964764653356
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942970116355948,1.5606865077095773,2.173877202028043,2.159218254149357,2.5663159698979845,3.4203134028363817,3.6620644627356453,3.5570917867799143,4.5435560330679285,5.396312913138508,4.635921033770534,4.112059616639476,3.820071291009384,5.868511487779923,6.738771989635572,5.434785852362863,6.090199487612462,6.182452316287068,7.233474314222699,1.5260466244723567,2.4395540648523277,2.3840298922616907,3.215955876319836
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174343914619335,3.06910529211048,2.488502464462717,2.806802909955646,3.2209549767229086,3.20835484328131,3.9386782029204177,4.377633115864365,5.091804279157806,4.748566307522361,4.746432326253917,4.651985158104174,6.030549270437933,6.77719690968324,6.002899862063834,6.761610629568377,6.549109769555564,7.598560614774438,2.146109183351956,3.1753149461237267,2.578034139658505,3.4882636183882596
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982666480525507,1.0959646770129112,1.5012454900363008,2.5678626894890986,2.979095490329951,2.638363327404936,3.71296455942264,4.63166789586121,3.7717093839093665,3.335961704269163,3.1619865416794792,5.0546645830948815,5.944036951801034,4.705555967256313,5.441400457145858,5.411992949991989,6.491570057096504,2.5196194414458413,3.4178684759724973,2.9749863535286516,3.810587659788706
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7584244536713518,2.1392709966016223,3.3996526278817947,3.9464905347520327,2.797115665671333,4.361518851205948,5.33314784156527,4.120541150545807,3.043699271186796,2.577004895275326,5.248575754884664,6.229240691580469,4.417494698289302,4.987496695102408,5.345673628746644,6.385082110022889,2.726968680954825,3.3012994567143616,3.340871977454303,3.9867123248571845
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1462728846675105,2.780565701736545,2.838799051773385,3.4503350019844747,4.0737036958057145,4.8826383775658835,4.403039717358699,4.267958067799014,4.121533484541848,5.742409396037672,6.548628705257229,5.61083160375566,6.372477363321176,6.228839254973589,7.309791755340045,2.687918392120313,3.7249993862830615,2.60529353488448,3.430323932587146
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3740077463651577,2.2255342992723035,1.443428726695248,2.2584462937682646,3.2242688061875775,2.308955290486348,2.6245044321330497,2.964374025087986,3.6505457267484407,4.479034816622209,3.8219041136610468,4.74770819476656,4.21878663596846,5.303864754721219,3.881468399349522,4.75896042382345,4.344580569411696,5.240221749542341
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821319782679983,2.2544788190337113,1.3814659132292078,2.1283434756281974,2.2518997830953924,3.647907318089625,4.212892861663784,3.625330263458088,4.166212786374237,4.59557431758784,5.628880211159498,4.586817910008941,5.615107444675497,4.7551978329986815,5.777660559675311,4.961085320912881,5.9130150152632375
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.319200313462307,2.1423845446664203,2.5116165900709397,3.268555756378285,4.695959888449193,5.17834879287834,4.596574755436899,5.005207455371667,5.677085862494188,6.706131872852688,5.636776963886204,6.64481950201463,4.845660919953922,5.977245447532009,4.780669086222421,5.733332061584878
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2547423184347837,3.230798641513046,1.4234366151761442,1.4069779876471566,2.171160514240481,2.4740959038285544,3.4613223261576116,2.4125127986393458,3.399191641507211,2.805764587251153,3.8924509291177953,4.883189124466954,5.539911243280255,5.571595038828253,6.413733289901882
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0079777574927753,1.3799787478241718,3.575917227694155,4.4258934360452065,2.524306606883442,2.863743435574976,4.126232002564835,5.212036315893758,3.721176886812961,4.645013880727296,5.9672859487151655,6.904173228081376,6.297392569504281,7.246957004230904
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1299776974252396,4.496542971316376,5.396323632033963,2.885135929214284,2.8391793806697887,4.877873882713941,5.960424565433108,4.230786726758284,5.01700227071045,6.8162660549715195,7.797885005288192,7.055909360197519,8.01777901048427
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4341783080297565,3.4282333710307045,1.399579934628226,2.1733546219479365,2.7674970646310455,3.854249201312299,2.3860186782306827,3.37636697442904,6.060711552621558,6.8150338368354015,6.632256607254112,7.533745941571998
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871082581162494,2.8485262568209664,3.9358668362852014,1.3900760950020195,2.1466601386571447,2.4397429814241853,3.415229237231815,5.245785514491309,5.619632548343039,6.139308499478014,6.8660818808373545
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.935556060181284,5.022891985004428,2.153834893034427,2.4761196088092827,3.4246047711678242,4.309654938059014,4.706520925501713,4.897125737588231,5.689440841174369,6.308448711573842
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873410073850858,2.4406789941196827,3.414704181161637,1.3909671735589135,2.1449697052282115,7.286299757939304,7.934104040215159,7.952960459881764,8.833524889460271
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4312874378810054,4.316641290808344,2.163736574549761,2.487191048557227,8.193332014012457,8.899711131910818,8.791061727867984,9.700433487201272
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869210397874867,1.4116353210192738,2.1641910384329677,6.5970865471119025,6.907739086388117,7.522312287801211,8.247799897116508
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161911808212139,2.4775889134285256,7.116809874495497,7.259921443474444,8.125148457964336,8.773771012189014
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086870228960147,7.496201929452359,7.953651668177393,8.321771289627305,9.128766057275275
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.536651263390171,8.942921100258195,9.393034522372025,10.189454884538268
43C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2116136311483081,1.3548003981018402,1.8784055196187361
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25405906914357,2.2849762750928115
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765818265673314
46H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
