 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7112124642355058,2.054317025198486,0.01618084514102963,0.004025133342684645,0.008980115988586945,0.006494598806876528,0.0011722689003413889,0.0002350688462756656,0.00027619389319241683,8.921676624185082e-05,0.00039170750688624634,0.0005513102154073302,9.343060912714307e-06,0.0002784753028105269,0.00030361728531658194,1.2645753890039302e-05,1.8356854233791964e-05,4.199337942287218e-05,1.8036925266251558e-05,2.2799967980269287e-06,4.817897540920768e-07,0.00019701944226949153,4.2019460547410015e-05,4.1924007853355594e-05,1.0139883686255402e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025671400241469522,0.0027800500425056995,0.0008936477235594875,0.005267586012581926,0.0003756756216715118,0.0004539410549657674,0.0001727727134634982,0.00035285805402618386,0.00016193419957333255,0.0005802007089050765,0.001273850825805889,5.0545326089501685e-05,0.0003664091751824916,0.0007693301994924351,4.283972927221491e-05,2.9605180251524033e-05,0.00010342258259465886,3.7153012677926256e-05,4.273693098744147e-06,2.9291785530460857e-07,0.00010159677492804775,1.0256697609234422e-05,3.1662122161102424e-05,1.0841041852671651e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014214523643223398,0.0005198448077369244,0.000242916346652855,5.9552583546951254e-05,4.0198542780700564e-05,1.5835083160276042e-06,1.558576765670061e-05,5.009233748909381e-06,6.473962876007988e-06,3.743378546183784e-05,2.2072933480998813e-07,2.3482012621700576e-05,4.994420539738975e-05,2.0184512659060516e-06,1.2191158276220193e-06,8.788624432654046e-07,1.7422445752757199e-07,7.569011417629667e-09,4.160692368415653e-08,4.720927263779373e-06,9.149349640136251e-07,5.814965323702737e-07,6.571949762168572e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81828369139744,3.559267861519423,0.14090425006312146,0.27453367426692854,0.02916449622546402,0.032240673588066704,0.0030331087449211314,0.00321179454057241,0.0011368433402501044,0.00018642900449172828,0.008467798060839554,0.005827120577797773,0.0005498838017510277,0.0018650487888793865,0.0005474002047135273,0.0001798894023912201,1.6993958287914168e-05,9.948602748832691e-05,0.031295341970968865,0.004916440052185028,0.006077898873080356,0.0013770804250777813
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550384311767716,0.022493942935778555,0.06724397556884976,0.04995592510079805,0.011136519647321222,0.0011552706856694517,0.002765850253776292,0.0014158712047895872,0.00013774252823861577,0.009157363291652842,0.000985857799113532,0.0013373640610385706,0.008598516601269646,0.0003502863161498476,6.062333300249634e-05,3.75255500850713e-05,3.348540488157248e-05,0.0110212584979629,0.0035508504608291747,0.0017472600028107382,0.0003852235706064411
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8202657580645778,2.8327049439333876,0.10148070796284281,0.17392264833090523,0.024284618020146143,0.020504258649891083,0.012715706225936874,0.000629481171722901,0.019216023668049254,0.007411042288035352,0.0014521748490454733,0.0007066449139572217,0.0031512405068431087,0.0006906811516382838,2.5842446511381567e-05,0.00029982836516762035,0.1947589490624508,0.043409526708040325,0.028348001170730663,0.0050892708871890235
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09697102982190653,0.02450288663826683,0.004197473621515235,0.0003701284991819431,0.0026667360059464684,0.0024277292047110155,8.423523044776005e-05,0.00031462697458306543,5.3141353316910056e-05,1.774906802443077e-05,0.00010838924857670129,0.0005360438081458696,0.00021990555636275388,1.8916820758496655e-05,1.5860027129388499e-06,0.02060657566071511,0.04360668448079341,0.0033997822457042526,0.00011164049852085967
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9598136230323635,2.5198522997667894,0.09441252534371358,0.15485021947123925,0.006341941560766173,0.010693980456469632,0.17443205042236842,0.00601992374181215,0.02957117691090705,0.012453981442685391,0.03369511247281956,0.0006633593462077592,0.0005588545492472008,0.003091454711064534,2.534345362795406,0.2712252353063187,0.21879122092809639,0.05334403753860395
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08301153665356553,0.0042822052371487285,0.024099402981434315,0.0005225155614070331,0.0011506256720068553,0.012586618343452316,0.0001798593239081825,0.0009082354223688416,0.005920372993806211,0.0028855227088777635,5.476318722696938e-05,0.00010457090778692724,0.0007515288838770839,0.11051847654542524,0.02908793665229381,0.011064008576664452,0.0007706171821300067
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9989365990326464,2.777560238937774,0.08319471066266981,0.08474426922021916,2.564424511816235,0.084720370327666,0.0914678358955352,0.08626282502565963,0.16071381292893935,0.010106975927929529,0.005407489480338201,0.028695793486848142,0.18860625226450453,0.04292332333046166,0.030862873376320335,0.0021266463467226604
