,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985458919328603,1.0945723810166348,3.302179317549642,4.287495036812377,3.5202022470089367,3.12124182649163,4.890036921931834,5.469450774603398,5.349424985485505,6.434267773457572,5.151374369627073,4.156783685449325,5.530038094380216,5.27896525869615,4.350282584910878,6.043099995071207,5.73643071139765,6.235088903341392,7.197614383512476,6.190271331182581,6.450229399477671,5.690883290046441,5.486088299643645,6.99604044131157,7.528753636320974
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703762538067098,3.205436731749033,4.127215097086519,3.2106186027398933,2.938490223048981,4.416498760375378,5.060001237336116,4.588373512861762,5.686723537156765,4.310764807369371,3.287782412471308,4.830263081594762,4.425250837767272,3.4621240674750755,5.091349837201034,5.004938362807024,5.26951885364909,6.257173215899947,5.144847212814039,5.507272128947202,5.34757710485787,5.297305664103619,6.590540212363676,7.187766653358733
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.303637930596527,5.347214862234622,4.343892489846345,3.7543448772191526,5.676607590434469,6.361792132267803,6.0775862345483285,7.153675059844633,5.638121205149697,4.588388466246722,5.910574865607491,6.124185323243407,5.207326298221071,6.8185448609681645,6.682623529269118,6.638157688533807,7.648429607308437,6.643075987186782,6.677779719092872,6.3050417556412786,5.933249694527782,7.635490125312117,8.076937615090442
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228288390877621,1.3608381310888535,2.0237406180002813,2.4584288577171782,2.5070923237795064,3.4873707370640283,4.350992001998172,4.244460110908251,3.8501847178076365,4.627311920205436,3.487884686631436,3.0590418024210795,4.559287492093712,3.4233940357886197,5.60394978980584,6.188429878454218,5.685132594670248,6.288440621875977,3.5524126922135504,3.8959322994251844,4.618243246404347,5.3361305267735775
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2899348508043897,3.153142170905317,2.8358588970273884,2.4009693712105693,3.7390569198458405,4.435348017504603,4.824339256963132,4.603006635114943,5.317349659429169,3.414809601776847,3.1462709373233384,4.453191032262995,2.9741002759553408,6.056529191180244,6.513130565431119,6.023312039455427,6.88070761775756,4.070303653336607,4.667353318563395,4.869185409408443,5.682811944393134
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0162677096683137,1.4479393946088983,2.055842146395434,2.5288069133637934,3.4169075816355434,3.079594492122929,2.7835480634792313,3.3130094212020165,3.055828340948269,2.825042238815055,4.0934030509267165,3.304022677476755,4.545774678464221,5.111738682662924,4.827214576084976,5.171926795642029,2.4147063917519342,2.7374860096535425,3.6067963060672388,4.281475352638689
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143733058459665,2.9411388880752276,3.097024271750071,3.99401269784737,3.177732495823045,2.695040643089096,3.1961835470050506,3.804391410984065,3.476761088846234,4.759001605228829,4.219401174866257,4.671191640868956,5.332258730133928,5.061571170424382,5.097912032434812,2.5877503977284912,2.449320381583569,3.9202377975313216,4.413741118005528
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958586030344555,1.5632002005441423,2.1392571413864374,2.5727229348865794,2.833125608062495,2.7374718635559656,2.5385198742581068,2.8602162845034127,3.4976711182610263,2.7192107031809813,3.9595934860036155,4.241668241669039,4.369246887042313,4.741784068702248,1.5232215444697292,2.4380439542096304,2.381556183793906,3.212730964529678
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162202457304893,2.441346799680508,3.495925349185882,3.808681206447701,3.7391104095069934,2.697975959926831,3.1465772572790702,3.673147414419043,2.419324187855291,4.735260862679367,4.883273732338643,5.024616561409532,5.623560370212101,2.1385728375745554,3.1642273886088517,2.5737339028226085,3.4804012872275467
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992527711345546,1.5426420396631815,2.1646664273344016,2.170987077230614,1.5358862206410675,2.183640150376333,2.181739152861877,2.1856521532988857,2.584033297388261,2.8266645663511767,2.9043142731676856,3.5261857976490276,2.541183314936998,3.455586594085596,2.984909278651566,3.830072687618967
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154999851774999,3.0604397992833734,2.509959428471617,2.150675499082122,3.0720949790885843,2.4723711437469245,2.527006634807796,2.7905408646869208,2.586247345150561,3.220104302996774,3.7718352535617434,2.691110315315581,3.7506564288742092,2.5946165862529527,3.4368107368642042
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0991291175481157,1.098888286696763,2.5620757523344433,2.8013364093693425,2.8489968836121613,3.5147311985184118,1.5341273697356326,2.1850931518489327,2.194665266052508,2.17791902374711,3.0463527544171094,3.5245272788112976,3.661248459861244,4.2515444116775445
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7556217657223607,2.7983517130773707,2.590457184987713,3.2065017400467157,3.7825915795848153,2.1651401948433326,3.0854637850718913,2.5167714082377888,2.5229074700943195,3.467138050178276,3.7157856372324667,4.371591025569491,4.944767354931731
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5013758381819753,3.786879021252183,3.855602723690645,4.333904046377196,2.151417472166662,2.543218950558336,3.0788634825708074,2.451183750747563,2.6146034249276164,2.8571372509542803,3.19789456844364,3.5715681235866463
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962250653066847,1.0951273442190559,1.0947958785868181,3.126450985384914,3.4660954630840215,2.868970996620094,4.1365481846692695,3.886625878615723,4.801537784669541,4.323345229629978,5.239232702349913
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7723631226641476,1.7656721215440487,3.4605623666276464,4.075132090564986,3.078628623620889,4.3121104098831955,4.283007332716732,5.006441819966272,4.98839422243339,5.866922204364155
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773184994276741,2.8318396872345137,3.0475839211758675,2.3076710695159512,3.860824364224914,4.69874598932417,5.621914865575497,4.96805813428758,5.851919498891107
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.139284914681642,4.322228539189053,3.8928942136238174,5.181367093847558,4.116883905476178,5.1408832061448315,4.410780882155731,5.379219972670275
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976795417550738,1.0955276948112935,1.096255293240923,4.4128031165244455,4.927097293515809,4.736439338043389,5.278446188207926
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7707147797156013,1.7706424514900605,4.5349134100719235,5.17687564836611,4.535138992253416,5.039788988216365
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667089104824538,5.117550832821503,5.711935800016214,5.4860086895296085,6.134667397332121
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.002951627548561,5.2943095837222724,5.393929234151793,5.79368308701165
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2124260363809367,1.353576148021744,1.8766582080894705
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252758977385106,2.2818395654836494
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765100073882874
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
