 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,C24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,C35,O36,O37,H38
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7400017740003255,3.797056980830084,0.30969840859647685,0.03150075137568409,0.0009504868431775004,0.0003070276275028705,0.0012103869251858246,0.00015309510319083675,3.7679655704336845e-05,0.00012111705217020263,8.273083563326011e-06,2.700574827452229e-05,0.0008552028171924797,0.0023312956267549367,2.3770342214790574e-05,0.0013201228855115321,0.000701179002333352,9.515043516050703e-05,0.0007797688790505963,0.0031212637852737757,0.00025088200485118284,3.13898972424953e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13177764692775717,0.01274070098755753,0.017509794358037345,2.3335186372985817e-05,1.3202503541087651e-05,3.64225517213157e-06,8.274692327780997e-06,1.2984335142629533e-06,7.510812125799404e-06,7.620085578086133e-07,4.575179624044523e-06,4.0147804860835024e-05,9.39532034471835e-05,2.560601181311739e-06,9.905823442846184e-06,2.1380411354243734e-05,7.323373951706458e-07,0.0001779693101628954,0.0012465384958861847,6.29887887340086e-05,2.0170104304551018e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.326492197449167,0.13591413752827886,0.0008400419795335234,0.0001226317660467241,0.0003735879877176662,6.256112110536449e-05,6.875366459491161e-06,7.471208975551313e-05,9.006377416076461e-06,9.417885491469491e-06,0.0003087798893983418,0.0003855095717695267,2.738814173453008e-06,0.0005599220649229741,0.00015116748888388543,3.7302447801312866e-05,0.0001509963911726364,0.0004378322035285681,4.500950118188629e-05,3.8469544206831685e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.570038963507935,0.00020819529051838148,2.825306958752216e-05,7.200943731966447e-05,1.2067340971130824e-05,3.636079911606416e-07,1.4404312484242454e-05,2.105861318879576e-06,1.705750633407277e-06,7.117229355667332e-05,0.00010038115791344282,5.431229591623676e-07,0.00010262955093241766,3.980971125361332e-05,4.4510143419884685e-06,2.1137020807415752e-05,6.452527820749454e-05,6.954444104298463e-06,4.307962394589637e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3020448611799083e-06,1.7089524242397403e-06,2.9169276694052115e-07,1.5648093165676613e-07,9.356167174345842e-09,7.138733049139034e-08,2.1674844141728045e-09,1.048811082426937e-08,8.930537076512479e-08,4.6761074901091604e-07,2.754971362151082e-09,2.3503741053421123e-07,5.194286323284558e-07,5.913010969749166e-09,1.7578755980851568e-06,7.1994878830805575e-06,4.130560187221022e-07,1.9172722964810873e-08
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.919621778647942,3.515941063141476,0.2755297505581523,0.021042980644304876,0.029938349076724352,0.003453481780685941,0.00028955486764581373,0.02869947352666985,0.0001694894901629329,0.003482017486123423,0.23699923465362904,0.014622091659158176,0.021123964776043724,0.04619803202837838,0.008218027902235497,0.006197140544314833,0.0006447747632836176
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5506349218930275,0.0862864540376809,0.022745601421315098,0.011628828295940793,0.001257407508006847,0.00029104448904004876,0.008779245885245424,0.000182609244161136,0.0024646054088063307,0.055937473262097956,0.005199462545548372,0.01077771588594012,0.0555194090683975,0.010590244619825863,0.005536514546483018,0.0005157783935899607
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6895402266205175,0.09039495988855906,0.20284791644191996,0.02079722480645807,0.0029705881190333905,0.21455451043657786,0.003127328348898395,0.024117110520364804,2.7420474904000134,0.08989886093805266,0.09389025284936925,0.18716364430026616,0.02644827515887671,0.02716565748725655,0.004471647994285455
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7274126843130855,2.537976250616879,0.07877698509182651,0.08966823014040814,0.19973494012684462,0.004935288772361934,0.02619159169051466,0.21366258951345826,0.019256601462076306,0.00871092564890441,2.7715605325628405,0.2690390625515806,0.22652641888156494,0.055317944359740356
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076294522481417,0.0019041772475165697,0.010530426552741723,0.021016403345934798,0.0005674817985743541,0.0005085902729691227,0.016471283684978077,0.0007632493179949851,0.0003745270982236093,0.10724382969939761,0.023081737218627496,0.015630838762196952,0.0012004114775632235
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.676041267160382,2.114018823724484,2.70527663272132,0.08299183293520462,0.07742698333420117,0.20173889938508205,0.0237031806308734,0.004818299104641266,0.19366673185404443,0.040252663815131526,0.024622975486734214,0.0019525653016640998
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02638734482625371,0.07620285706951968,0.007606437459119819,0.0010866795428956522,0.027070139989560094,0.0007959520136113785,0.0001065173896728222,0.017973700714874363,0.002355681158511813,0.002853969281608082,0.00013419733686248492
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807536214088862,0.03133427874400163,0.007470521282619824,0.006159378606367394,0.00033632386156989824,0.001195630353588939,0.02357033412469911,0.006042582436907362,0.0016726233254273914,0.0005860735602869482
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111611346059962,1.7177626828197992,2.6483681021912275,0.08043105938166772,0.07919516285240635,0.014555028794944247,0.009745696632714768,0.0039991546431839,0.00022377638871295957
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026325262142697703,0.0855933455541611,0.009785366336966916,0.027791228558313508,0.004432907703157074,0.012471671905542658,0.0010741800188842632,2.7512801912710216e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08369919343723731,0.0012867061185131146,0.007394263868773399,0.002050883135376047,0.0007616725419344883,0.0006531617702625336,2.0004521900984784e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9155115393215887,2.1586746200841045,0.017071263957478072,0.0024092049760882916,0.004401915125107708,0.0010924672949572667
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025230909159743797,0.0004176273232439076,0.00012377585066991603,0.0002049580419511976,6.375809509617802e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002979193962503457,0.00035294860134627015,0.0005673546969353627,6.665324333909872e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87477068323758,3.562840259426327,0.179757458234458
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5183728680178209,0.06834883675337544
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8301844381671106
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
