,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24C,25H,26C,27H,28H,29C,30H,31H,32C,33H,34H,35C,36O,37O,38H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.391336166294877,4.299913596374587,2.1438950276510265,2.4864064148546716,3.867977879468988,4.9569340116206595,3.3951269323439,4.510740762269041,5.278750114114763,4.660786686106595,5.600057386683344,5.016515118445636,6.399299542034717,7.090192468150198,6.870852947710169,7.722365004072568,7.35029237268826,5.757144007430085,5.686992459230482,6.165008903018488,4.558476115864046,3.581071965672624,4.794625874415199,6.7796807124350495,6.303495355047512,8.058988224188761,8.401679862059366
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857149762634328,2.790218289199159,3.8760777656950904,1.395704073096457,2.1538192463491512,2.4204448213337284,3.691500787769084,3.8360425400863347,3.3886443150631345,3.937386263367151,3.586501394163813,4.451681063231355,5.299684595109591,5.162480076976472,5.695199101752581,6.025955185165155,4.378575128250327,3.8519647839500477,5.204818955996639,3.723157858829533,3.0019538169527133,4.633414811778004,4.125427563876379,3.297190014456223,5.3415330631255955,5.425167731135839
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875712354427439,4.9615045612177076,2.1408238369329116,2.4566371905057176,3.395461796372671,4.565992896019031,4.537178908937399,3.0632517675693722,3.299418762929824,3.3721690699669318,3.9900335207463526,4.749295826332343,4.924820196811692,5.375248484642147,5.82769672991763,4.456757869606485,3.9406189440024453,5.418300450528362,3.903237105833381,3.4530577533706737,4.870732179182463,3.4082452595707657,2.576462696256241,4.502813781845202,4.514447593774718
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0859695017863142,2.4190211892456674,3.408877642349804,1.399559247787027,2.368625399497396,3.175709089895789,5.272629796089492,6.191307556483103,5.239359761766596,6.360947973291455,7.27906192637002,6.578475401769816,7.202656628770397,7.268306104121995,5.2794213544194575,4.846709002263744,5.626794238924564,4.58344118528168,3.499030330893011,5.137000063933652,6.441049319126051,5.684881293933025,7.76523352461668,7.950517158313765
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397581726267321,4.299077721903396,2.147967639542169,2.5746092454815717,3.5211018829107843,6.2022956871559165,7.178428549093666,6.118879982768916,7.26636954867212,8.185777252596049,7.352015542086027,7.983007436021033,7.974918118956736,5.962083941363704,5.577327049737539,6.143147979039591,5.300999354977094,4.217967643509246,5.714226948960002,7.434006830656683,6.6993973308057635,8.770346361253393,8.976683708656743
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889801233241683,1.3983683750569937,2.4299251860892213,2.4506984321777616,4.563929579814312,5.173975361093766,4.43716693528539,5.137035856260214,6.115216857687959,5.513817319845525,5.885104904189716,6.448830608440975,4.521278298659387,3.7511691885060587,5.182248040519242,4.231608164192068,3.4273973707176073,5.179319343825539,4.707873322803896,3.700753480308031,5.930103901209136,5.912579264362388
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1624625076475406,2.6966082257278665,2.2984851875120493,5.089927442778264,5.5492813643714705,4.845447668491715,5.25433446068664,6.250786935220576,5.567299324155181,5.737471173775259,6.587737974269714,4.713111121321525,3.779787467960856,5.391522840632218,4.7376265628194565,4.099686833097633,5.766043882786517,4.559385090995637,3.4216127403331975,5.664663215247122,5.49903589491859
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3698351468688392,1.915435530349367,5.389282027953752,6.184444808409269,5.1994753233662365,6.063650870922646,7.06498063084695,6.226267683581531,6.663687549180318,7.064466727950967,4.982980620649562,4.292472098238153,5.401530643662152,4.639225041595028,3.6600329829863676,5.416217228948273,5.869105058690182,4.945096301916884,7.148908190652494,7.2040891064416614
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701884185959531,6.641947783222548,7.4377632466832795,6.297905922047036,7.022947270603908,8.074373443014478,6.96654754097901,7.264177985837485,7.818685652123821,5.65811566564856,4.86412084352141,5.901060315458647,5.595102173970372,4.6710139696133295,6.349523094101141,6.762614455009944,5.782633343922295,8.000685509915531,7.987132370403982
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.836843781618051,7.529858890416032,6.434874862639298,6.976873996662867,8.043074018869067,6.904979394879083,7.0643251567129095,7.830289265275329,5.704558302773249,4.785246446655269,5.999023041058719,5.840583719589067,5.022921768679451,6.693803749730148,6.536321292329749,5.48320706377194,7.695590530210934,7.585022920932434
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2341907832134398,1.3634317968974778,2.431381869610406,2.70154612824695,3.661879388595547,4.534659127281138,4.0751169940603615,3.6735409489750714,3.9741145527998403,4.609898468425606,2.553246530906655,2.806468041278161,3.0250369682549114,3.0466428018255236,3.355376591552633,4.01002389072289,4.6223155528427515
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2560912307927876,2.7004166096520357,2.6475494368804955,4.187327203539542,4.893538476029627,4.615188373102523,4.53459563855518,4.748245193662983,5.54010079491859,3.6519011348673733,3.9664273232958975,4.1505017269526805,2.9289482857346285,3.363384370182775,3.5492499146027776,4.090492720598014
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4632081460267865,2.1119792209162744,2.362305004626947,3.2997469635851164,2.842407222892613,2.3530315800258803,2.7945555962512114,3.304284429902097,1.4735109240853068,2.126051726327109,2.127431538260686,2.4801211372057943,2.902813267096006,3.5909303138821485,4.301202649357167
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930377873147774,1.5489744662126634,2.2124483689138605,2.1693002250130444,2.420389419868864,2.8033055472687165,3.395908480853954,2.448779029784208,3.2790352206970756,3.0746588655831624,1.5285585272051605,2.446574491579989,2.3731842523897706,3.2089797919418688
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.212633204933655,2.777288076502293,2.386202074178684,3.3484062451772196,3.8600942584563223,4.20890479138594,3.2429202817540053,4.139480918706659,3.608179839732478,2.131328548878456,3.24807392333284,2.409393565606763,3.360643080406698
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941039210119667,1.0963808571073046,1.5375635752252477,2.171305433657705,2.209850914645543,2.4085481864754033,3.3514693113143292,2.8798987732871812,2.5339297008692943,3.211010412147137,3.2678766680934848,4.034899182384539
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7686525954879342,2.2151669022687344,2.4683259619266398,2.716895937597469,3.3870731153741906,4.21964675461765,3.928954191683544,2.6286320718021803,3.257870720407725,3.069603510477276,3.7091293402296315
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18143662552371,3.0720011559811717,2.471918126297654,2.802714153767016,3.860472196992059,2.8534266730500666,3.4208219462941725,4.236382683741473,3.9536361112338145,4.816356794948237
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947762660458742,1.0942565556569528,1.5353876910964774,2.1975172795138525,2.1872442688257863,3.2201637790705564,3.3900881063657606,4.316201281958673,4.929138077351701
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7773713582492605,2.16073193008898,2.394289085650067,3.0550357725108817,3.0653314514176455,2.863396952525058,4.229781325104596,4.645367240130027
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.199697537791428,2.7401369445635546,2.4334699837088998,4.2608334894064575,4.42508571805694,5.273426884663663,5.891820013923885
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0917991971569674,1.100199923086326,3.467528508080984,3.6362885940397662,4.673500064924706,5.3397383027113206
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7804842658293594,3.9879918369138947,3.838003941776225,5.294758741844502,5.831743302115593
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338909220112727,4.665465989651772,5.429211621977034,6.188304181120312
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2117041107267537,1.3515870500426377,1.8759312298176818
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253262984215967,2.285854103992713
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763740441048611
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
