 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,S31,C32,H33,H34,H35,C36,O37,O38,H39
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8918534566722385,1.6893470365943069,2.135162708875132,0.16603005729340775,0.03180475951222239,0.008637050505006849,0.009960093375100287,0.003517880657515793,0.010114393288778653,0.0010331086951578805,5.5848456452345374e-05,0.00014771108806695132,4.243362026290498e-05,4.8697244772924475e-05,3.914814858951843e-06,1.5646708323213687e-05,0.00027031664205055816,7.1185406913532034e-06,0.0005221720817899511,6.181199349547528e-05,2.651703496733826e-05,9.682325942117487e-07,4.599644742597775e-05,2.623346956776018e-06,2.6318198169283935e-05,1.0707453968208935e-05,5.556753764866806e-06,1.2730407351613238e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022834709366351902,0.023595332261215463,0.007127543906885192,0.00029144964790384087,0.00011929171150426576,0.0038451385910669433,0.00029404039533176274,0.0002855615913905929,5.4416722240713256e-05,4.605529927426133e-06,1.3800109010198014e-05,8.567826863536965e-07,1.5124344225458941e-05,3.0177667365016703e-07,5.535013636759345e-06,0.00015956222856994273,2.58479719628113e-07,0.00033781090647466705,2.365097093692814e-05,1.6417795378309563e-05,2.630694218019869e-07,2.7702945063046158e-05,1.400202831902675e-06,3.0407716113955985e-06,3.0632859981949423e-07,9.032034440359382e-07,3.5487842864334596e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02508989162941666,0.01226435228103595,0.0010024278764013683,0.004590985738938125,0.00023025436358459217,0.00021296279025828646,0.00014860763012514155,8.927271218883703e-05,2.4145247259355074e-06,2.453521187639751e-05,2.2797188796719325e-06,1.3898106170362468e-06,1.2218946676689768e-07,2.320602674465988e-07,5.211463387055915e-06,8.437091223445492e-07,2.286707593501802e-06,1.643177195864709e-06,4.877017572013642e-07,4.041493495421378e-08,5.283591817395461e-07,9.05332318001939e-08,4.914435985936549e-06,1.9908921311539984e-07,1.5954297012399365e-06,4.630048178189128e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03025795031841072,0.0026950077674146034,0.000506112317122831,0.0006074578896084759,0.00343966266147655,0.018277984414049597,0.001246483911253371,2.371724099381467e-05,0.00010730468126651793,2.9863651346051512e-05,9.809952891126628e-06,2.8936481497598976e-06,2.7180815804772607e-06,3.3077549894233726e-05,3.892330664889698e-06,2.8477570332308133e-05,7.43258922464296e-06,3.5193634315699995e-06,1.043860489158277e-07,6.059822176718299e-06,1.6270679359386975e-07,1.6163569551030932e-05,1.3131581797165559e-05,1.8021865088035938e-06,2.2833058777038673e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908616586755227,1.7332542234805237,1.7599314330042262,0.0032577012095020563,0.0022488062300802525,0.0006638608202982343,1.1570423930740148e-05,8.252356961509222e-05,1.927428849013424e-05,5.059926352757316e-05,1.1057573238160145e-06,7.072416659537062e-06,0.00021113304132573674,9.014539949836475e-06,0.0004508685822791625,0.00010792280987256819,0.00022370380584027516,1.0659392207013063e-05,0.00045594997505460366,1.1428546756730995e-05,1.252514017149875e-05,4.015264487913783e-06,2.3066281037847913e-06,4.3752639089511547e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02387848965168482,0.02270432520660326,7.207721554314261e-05,9.92302881890339e-05,2.2954985846812548e-05,5.272572640713236e-07,2.4852156759180843e-06,5.513258340972271e-07,4.7808887981837245e-06,3.100139329692553e-07,2.0709938977070408e-06,3.1192418502579145e-05,4.8773810326085965e-06,4.3942324658763354e-05,5.9845743198172485e-05,0.00010820333202365973,1.3624973945303154e-05,0.00022988000657564456,8.488829398078934e-06,2.644388097383654e-07,1.498004649214124e-07,5.627519095163791e-08,1.472216526465786e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022923111610505087,0.00019534384258901305,0.0001597567138942324,1.8211354508412825e-05,1.9134831936717944e-06,4.861685204415878e-06,9.625045149785905e-07,3.2493786257248303e-06,7.285990899497108e-08,8.871490322359676e-07,4.97690774192705e-06,1.1568341617973488e-07,1.7940064046539916e-05,1.7662830427478404e-05,3.834350476061843e-05,1.7021824969543076e-06,6.36435758374354e-05,3.140945294966002e-06,3.6563858296645435e-07,2.931064877476075e-07,9.827300428977281e-08,3.4069329579722307e-09
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008132944599410497,0.0005581057271417666,5.184509145683691e-05,6.707205682410233e-06,1.3866747756940967e-05,7.970911434451722e-06,6.956927625534348e-06,6.405163266443026e-08,9.775116316390609e-07,4.687218349941347e-05,1.9386369998208863e-06,8.768764913513749e-05,9.541662257417372e-06,4.016797658357163e-05,1.1228253185002757e-06,4.688627175064575e-05,2.3043541874656626e-07,1.2464942500400866e-06,5.147637003322103e-07,2.3706119711697227e-07,1.7786478734294064e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989674762282254,3.591911178710504,0.13719202222121785,0.27121441694548326,0.02747922104361833,0.03171155210188298,0.0007829293498924361,0.0036467712475196645,0.011034071962976122,0.0016279073444689374,0.009903361135108257,0.0024052405297430995,0.0002454378707265614,6.108482141664595e-06,3.206845731562602e-05,9.732204829138169e-06,0.029234440971186076,0.006277111706792432,0.005707829636386524,0.0012943597219187142
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5456607270034727,0.02581075544153255,0.06892188339046282,0.046730444393806136,0.010954991906955036,0.0009815687721959065,0.0018070529603794183,0.015762561182770835,0.008326262806183315,0.002785906573946617,0.003644693313478803,0.00013665029165300935,2.3067376047403165e-05,1.6316948211914095e-05,2.270725818398489e-05,0.009823308844332496,0.004229550413247962,0.0013938992578482884,0.0003014166893914316
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7875098767842723,2.5653808666503495,0.09726224230796243,0.1807402609587,0.008025445828131916,0.025958906959225536,0.018696669251540038,0.0007069675246532681,0.008851498074672781,0.004096641589497976,0.0005877876626664974,1.8935921971774405e-05,5.143173652033539e-05,5.018223620134599e-05,0.19209393458713145,0.053786975855539446,0.02724340756258238,0.005156385989060874
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09535556450956639,0.021955241781823176,0.0059682418498976375,0.0009401443049141811,0.00017755676003372578,0.0004493642925715857,9.968053612174899e-05,7.491501315604054e-05,0.00015870520651850573,1.7639651642253895e-05,1.868830058260329e-06,2.5857992556055365e-06,1.1184275221509665e-06,0.02972059100995883,0.07176884728412969,0.004914117969426646,0.00016700382087586618
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.002543217807214,2.6660666352265108,0.08195283779477558,0.09327003328417494,0.16301526877565056,0.008642446852343388,0.006708804108893185,0.040572494997005645,0.006683783550926345,8.794727190619689e-05,0.0001226229270625545,0.00117109511379887,2.519473801061446,0.2691795774878646,0.2141306148692771,0.05323408329006174
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07778545562232553,0.03204726488771925,0.003815417215714989,0.010409538623002423,0.004256509758897353,0.00021920737429748094,0.0018411978436745358,9.823326993219084e-05,2.4621441117256282e-05,4.368902592588597e-06,4.536890489714729e-05,0.11316346284519407,0.02926268570469459,0.010558779618666914,0.0006771897586732578
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.078788439929241,1.660941037597414,2.622213455325756,0.08211966866620968,0.08823168850074481,0.18258804074572643,0.032301317094086957,0.0007748357606796041,0.0008315289822304894,0.00413626755220009,0.1958559817107502,0.04229014775448302,0.0316846691202953,0.0019840820885768107
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02362734827291879,0.08117607863132115,0.03390039706066972,0.005341225824755158,0.017804039751658784,0.0011715204677599234,0.0004278622993707515,2.103400543806977e-05,6.875681184426163e-05,0.009851431631566543,0.0015524589004769496,0.0008455434685871177,0.00016158148973643982
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841633221537792,0.0045081830328526085,0.03373155520756499,0.017005002373824407,0.0014624307833432937,1.6061459730876138e-05,0.00045143696339899897,0.00010079945963537007,0.010210706245351142,0.0016862578148585383,0.014390976748263062,0.00029829508730605525
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0820300976205095,1.6675432016714518,2.725344342939361,0.11831646273726125,0.007928519279867041,0.00974302806246552,0.026796943499140857,0.03069248327350521,0.007601695515274939,0.005295681331720425,0.00041217288819139775
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023777295979775515,0.09090551027992944,0.006483447953852028,0.003496218760700831,0.0009109760257657307,0.0002157936354629797,0.001103370501591483,0.00028824120706627543,9.351186710171433e-05,7.788678799247606e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0907645095688876,0.010065243883198183,0.0008752593291518895,0.0051615579810508905,0.0005424524993189461,0.0009187576962226274,0.00018389742348301485,0.00042575962273860846,0.0001485038827069296
S31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7826704006338288,0.09767849338804113,0.0965854161814158,0.0908161124993121,0.007235633107044628,0.002527609566602071,0.0007775915434528602,0.00013276544880547192
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.075564612814234,1.751045800042789,2.026974207306188,0.0016999925950604289,0.0006268384030215374,0.00022506724622340518,2.385657853343215e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023619868098789354,0.02509589977607085,2.6560943628073375e-05,6.448921459512036e-06,3.7031084595406938e-06,9.665791005364355e-07
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025303008270928018,3.726800379988404e-05,1.5580989346175578e-05,1.0127589377573187e-05,3.099461134414838e-07
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003775538612407203,0.00013694813624098856,5.20132598083034e-05,4.920207866243587e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.759317401891498,3.0735588333157526,0.1633684367270991
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49995815932896015,0.06462977731713049
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5734752873136169
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
