 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,N31,C32,H33,C34,H35,N36,H37,C38,O39,O40,H41
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10010816963926361,0.011830023956766023,0.04104671035530938,0.0001603607913143179,0.004548582332607465,5.305424220480859e-05,0.007143309662245856,0.0003766390590331792,0.02870281791646012,0.004525337737713686,0.003973435603845776,0.00036627245514031515
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.484855471373836,4.05659191901536,0.11847910210203128,0.5473959036281892,0.03614847266906884,0.49289959115946747,0.028980950430770647,0.025861975576912333,0.0041576617485349215,0.003341365543812466,0.00029999285684845223
N31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41922667874629016,0.02621739778648835,4.28047678756974,0.11246327742555084,0.5334789301038316,0.02945983615365466,0.0025241876791846085,0.000703390962541503,0.0005605254566244527,4.416441845334074e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105772469602493,0.6221448406929793,0.029455982106959766,3.4070816987198165,0.10850337593150006,0.006544278033935147,0.0011325772728212058,0.0012507437637119673,0.00013700697680429919
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030181955970344454,0.0008674785112483541,0.09885435207649818,0.004539487088006222,3.955034448765993e-05,9.956241856623471e-06,0.00014070312588521094,1.0485268025384187e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020858500476609,3.599582222626237,0.1182161211318562,0.0014842097730643211,0.00018467326262479322,0.0003172273932197933,3.791204574510321e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10469542208252869,0.004665415470349377,8.272428679401145e-06,1.6582983008994745e-06,5.453464058335911e-06,1.773699305429588e-06
N36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.891848115281566,0.0014587109495529105,0.0002780156469377182,0.00017600774487459836,2.2415600005154523e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.050617086814867e-05,2.0205007834062094e-05,3.944473507488944e-06,6.471759426140977e-07
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.854808907213852,3.499792473420801,0.1685516654493172
