,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31N,32C,33H,34C,35H,36N,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.392470039534516,4.297969586704766,2.1472126646713323,2.469925303815147,3.876006504539119,4.96174338526165,3.399449020443554,4.572420703699353,4.546103438368573,3.780609817877948,4.855686828254516,3.1248287083057424,2.504220601337464,4.126674504277611,4.720076059921475,3.97103448171275,5.027384838883406,3.4989925374082227,3.804636530202283,2.8796491899136893,4.972893644714463,5.960781111904619,3.801571068520658,3.973737800328751,4.955366642211281,5.842911818529734,5.281025180444376,5.5090667271571725,6.370913180122432,7.088076441195536
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08830771248467,2.778682833225186,3.8682448671684613,1.3916480331886985,2.1653142588240866,2.41282502475546,3.6448084534782916,4.3266485035624,4.000914371690983,4.686323294906511,4.513400786019955,4.434281066232373,5.828746395010657,5.973449948994709,6.399741565192891,7.400667741583647,5.895546029619406,6.724095451016411,5.939449295471554,8.029326915676224,8.969170829428649,6.930701266013403,6.987547857544869,8.125884389970885,9.034473266287037,6.919216756603463,6.9669941681747805,8.107852652869076,8.772178070426701
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8669029971764988,4.956458954740869,2.140955078736874,2.4823520723634194,3.3933042501909987,4.507883500921019,5.276996986246097,4.165988712568289,4.724659736805743,4.942137993724693,4.939103413071747,6.290877707337961,6.392746578211671,7.062396694011364,8.049269072147014,6.66184572847812,7.414668811084556,6.632692215349104,8.718615687651669,9.653970831791364,7.6076441990890755,7.63559287833991,8.809767825592207,9.711510188195318,7.231067541279903,7.1541139768493975,8.4473475252194,9.038131600710031
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0895754218523337,2.4176882824915307,3.395941012773566,1.3973884260189056,2.430284800634961,2.45221782058983,4.862407509339109,5.671320711213812,4.595997202846386,4.31880782945503,5.556515715400437,5.8011838006713585,5.4193735894914035,6.3597484706821525,4.615670976669109,5.609199368678828,4.910923332884478,6.800167729848566,7.694547574823491,5.832290310268085,5.973894237244771,6.903596068619209,7.7748025731711135,6.9219943656291205,7.286954706446056,7.923762421490112,8.73602893185567
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.406422602620803,4.295417418035233,2.1590594693118588,2.692636226750306,2.2949544175405343,5.553919036313263,6.354922861403184,5.061662611669251,4.737871990033806,5.8194161568467875,6.0891552443148305,5.387906629440391,6.247998195132128,4.499013291877428,5.500610956612949,4.890619522286949,6.577951016516932,7.419824320851044,5.7166489266118,5.889581306882468,6.679503757299444,7.5029076338827565,7.21972813550013,7.685835019756999,8.11350676625618,8.958964436095723
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858743221579759,1.3995076425926842,2.3685665463151757,3.1759229988384,5.0333994870692225,5.604189010688771,5.416916491427924,5.369972507189276,6.596221484423761,6.636851980545915,6.9653283478746655,7.91317220038354,6.272739337966479,7.363824867981028,6.6484387593632155,8.664286853267093,9.571329513478144,7.645780969426969,7.722381185165875,8.80379670054412,9.711036712836398,7.847469359684715,8.048057045565653,8.945242038631966,9.69155139141789
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1473878825440265,2.573356113190718,3.5200594554246147,5.825888217881711,6.255671853349959,6.348866146403246,6.3737886962403705,7.51045636985363,7.458374073622338,7.944564919880089,8.86031196014357,7.234298766081247,8.413137770214227,7.725263158265805,9.725495234873875,10.617541456856598,8.72912196550797,8.79358526890619,9.886798039130714,10.796378124580233,8.749153756299007,8.942723596460898,9.828061063915394,10.569925236031617
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3703165983647487,1.916069876054623,5.402912639379276,6.046013453473431,5.453022633614085,5.32380362693344,6.4780579478575895,6.560399053965981,6.5342484459386725,7.444612836871177,5.708136293693791,6.879084901105746,6.213007455920985,8.118889747222129,8.996784109642453,7.170966049812497,7.283158364771633,8.263423733306317,9.147329369482094,7.850179948773539,8.191140193147442,8.86319907257374,9.676631813195499
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97001448847644,6.641313438609144,7.179590836698332,6.665926613261591,6.578084591990791,7.571125761188757,7.5635677083201855,7.499390836167083,8.326069907403639,6.571314799180333,7.896720933042825,7.313177524178974,9.0906151679345,9.914764198426527,8.237713826177135,8.357016911655316,9.266979973583998,10.12577773646464,9.006083279007438,9.4347332062205,9.93426950466014,10.790297764318193
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.970327279061402,7.547320256891953,6.810021444634841,6.673567979445813,7.598648595945908,7.626274119765696,7.329249987073897,8.107403654524024,6.349945177195429,7.671971328207334,7.1399269714292695,8.790243053020525,9.577346097944716,8.006829580541286,8.147588207483565,8.964330849399566,9.78873546175901,9.066089542502063,9.56527775037113,9.928336587859476,10.80987540060649
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2287206936275774,1.3696247882027353,2.079149238314043,2.4419662887986284,2.5818862729697063,3.729944959402501,4.5469066008304795,3.8364397135441877,4.393110881148056,4.215066674292152,5.6575087736146115,6.382351046602618,5.390160925664868,5.909837753973822,6.173128109684942,7.133673171338106,3.151711471797368,3.2512051131768476,4.322806020462082,4.899880262918756
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27543508326084,3.1784462560339124,2.7770606612038864,2.443618471280705,4.202789659685873,4.80149349215901,4.316269654128906,5.141662682193112,5.214334921003916,6.362851316113584,6.945489492224579,6.413070282611346,7.019391745832581,7.052853531225193,8.012138840213396,3.3417522070590584,3.581074880421301,4.259127511622672,4.818385545990966
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0140936307064645,1.4424329959502347,2.0614229125517203,2.46947683023645,3.3950442250284003,2.678436084790359,3.02819614338775,2.9424151880788907,4.315989414584572,5.068795010890929,4.167261220999823,4.812579934320192,4.874166647015953,5.854626101516488,2.44741661059404,2.7832828994946084,3.636219297735335,4.3177867278719235
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0923371766974577,2.940812703233396,2.6321233162997055,3.6725042348352903,2.8448819776743894,2.665226765139187,2.1654441910382607,3.9195939519382783,4.817849409496855,3.333319483181111,3.8718127815117422,4.220907911391026,5.184817130476165,2.897828748732135,3.01705223215502,4.13296255901018,4.74341081525826
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094533117386506,1.5492038796130598,2.1645367214725675,2.1432853281276314,2.5567558903790073,3.1372519324964916,3.6888823315532546,4.191720774780891,4.296066706906173,5.170287437829649,4.599228978130195,5.554032178535015,1.534951468853956,2.451718027320348,2.3873927582901575,3.220677748514271
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1688389102312144,2.4587081728090805,2.4565869352015817,3.4809670658386214,4.144283985903237,4.573291955991193,4.935142877507863,5.338949409893081,6.222817041143378,5.595351175761352,6.544095422044956,2.126642325522098,3.1270880810441346,2.5878309236418384,3.472690135299139
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941043895641311,1.0968067420979377,1.5023587676232197,2.5233549732252882,2.5941835793094157,3.0614316866083486,3.5934263416376777,4.59575246427836,3.6717565010534825,4.621675222644559,2.545192662937181,3.4948627849083604,2.949078989371541,3.8225351474692157
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7686675577908522,2.1335085620745855,3.410086260682062,2.728204646225093,2.7860937867013496,4.2857819197125915,5.346208470208719,4.029945533827492,4.867322243888062,2.7802658684534496,3.8754159868132567,2.6433334256108463,3.5252980250276824
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141542740349152,2.838096290292816,3.2874563527643974,3.795314506048281,3.991479664533302,4.910356009123852,4.23972188803089,5.199682132323241,3.467853256475894,4.397218917497617,3.9113446999167376,4.830821706749202
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3869402815920657,1.3742786349938911,2.246231255324646,2.15902081545894,3.212948842861878,2.195935875674037,3.1765494623919115,3.0634579373786592,3.6290170007330707,3.602755440154893,4.246263003429639
31N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256440692941575,3.3188804624623147,1.316136672457025,2.1384575380627324,2.2128622299163587,3.1808343671600023,3.698421440483154,3.9144090815077086,4.577215579876104,5.138599226273376
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0797469388213043,2.210830132896425,3.245383507216527,1.3813888293117194,2.1395868561641644,3.7782401113414723,4.2429822372906365,3.990313619310872,4.43935320203661
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2384358842660212,4.225582559244765,2.1595357749300548,2.555736804150136,4.114812784706362,4.68515217882239,3.96269215930476,4.3398278348810395
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817626550771229,1.3626171943758332,2.1236945426103833,4.5543115691995855,4.590834611615228,5.316700773851902,5.720315330636551
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1492617725149925,2.5481569613978388,5.404411292207826,5.267674842467712,6.262818324214377,6.6065561042374465
36N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009930844738021,4.636240347882799,4.79752207663139,5.06818405397264,5.395418087768853
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.455796186196955,5.537783013646267,5.78255168860678,5.999185336977819
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2100616907868829,1.3563438098892049,1.8781736123300135
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2531828265097396,2.2822142196837842
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763462301610345
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
