,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21H,22C,23O,24N,25H,26H,27C,28O,29O,30H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.286846047897723,3.1715333932101006,2.883509637390967,2.552232128790555,3.6923428603367756,4.277978629291123,4.540286557007942,3.4087519621174507,2.7384743863371166,4.40888076313834,3.659369381882348,4.843829022322451,2.9497615330976847,1.96236865761532,3.6409427267824723,4.179636514976732,4.750633292246198,5.011802793772247,5.843216715192523
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0147616686142251,1.4584034917767776,2.0846723891847487,2.513384280466397,2.6944697616402458,3.4296187258303057,3.160771425160798,2.816505275306203,4.046516761826941,4.04782979539338,5.067787516510726,4.0720677232063105,3.42563043997805,4.9004276483789235,2.3981416656234877,2.6861099644690407,3.592233558582179,4.266923035574894
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0913601062158187,2.8957811888089258,3.0645064249892924,2.9256599628832825,3.919732719065557,3.934778050930843,3.6184075020061943,4.694101703734107,4.9556168596203785,5.914346979130581,5.073499800896879,4.439524546273805,5.900933480893467,2.430411334057663,2.231854709437881,3.7627005461972987,4.240954575474634
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094825736629339,1.5513791756383832,2.158373424699013,2.171030442772761,2.5879432413282206,2.7763494033446023,3.5041402463626894,3.2239193286254038,4.028884637526718,3.5097310776894868,3.187176735392664,4.241396978448253,1.524919477951509,2.4278979447264133,2.3815557562360445,3.2178225107639924
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174875657072986,3.061328164751894,2.5581411832841816,2.7692285497960984,2.97451840058647,3.8053690351465446,2.862741716236523,3.6707550926848813,2.833979019209844,2.530116348287601,3.405443133188586,2.145186335979521,3.1723675062753998,2.5703604907393016,3.486800624848374
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972791820196783,1.0956053944467987,1.539880840833944,2.1819467944467026,2.1517451720303287,2.5374472878649885,3.154681211903626,3.383952876584825,3.3973902797251534,4.202357682065181,2.5161393536001055,3.3923286822828107,3.0001667938771917,3.8308241301012917
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7698712641175687,2.173072067206994,2.5893026782475825,2.4061071960166274,3.4701148175957237,4.041717512888028,4.353755047573532,4.2854435000346625,5.22791402650105,2.7836104490036915,3.316242222030942,3.467489267029522,4.119999068233527
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1558932712041443,3.0680232204464093,2.5311979144089776,2.6593316601748915,2.84464261352958,3.6859881436134523,3.941214104583385,4.323288981666478,2.662209194134216,3.6629387742805406,2.630265385223349,3.4270348514404754
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947579508623406,1.0945654298339653,1.5331753325544255,2.4088859630073625,2.446685518399972,2.600282496900924,3.368374587830821,3.9062208020952545,4.796562146842486,4.342563664002814,5.24665542339992
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7719378811844197,2.1900742148050587,3.2775167138952814,2.566325168883022,2.346314002368321,3.574776369011794,4.232064284299109,4.969070097754263,4.9201767910772025,5.81432169932786
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1205391394689777,2.5817526392978567,3.2379684911488495,3.5405387236438877,4.082391049603918,4.6657416070061855,5.490477713220514,5.033878620403164,5.87713745043178
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.225527071890659,1.363389688078744,2.077596799363023,2.0336277923678963,4.482968708210812,5.567099084608568,4.565661206134885,5.525108611746293
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282370000038846,3.179055521470917,2.5059234809374398,5.0427967423981155,6.185541368843591,4.824636947222292,5.725774564275727
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017790373862463,1.011602301431113,4.854695372474414,5.907200952306855,5.024783990874997,5.999004069609249
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7493923012244146,4.603156773307661,5.5361846061458015,5.003488395276905,5.959664708519919
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.451776236584888,6.555105139560908,5.429393732126824,6.380822211229835
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2140235585866586,1.3450254586440942,1.8779909910720958
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2550990107701985,2.300301182190616
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768272741610313
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
