,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25O,26H,27C,28H,29H,30H,31C,32O,33O,34H
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8282971750418608,2.4581679996845374,2.4455294663774603,2.383612283622004,4.808132440247113,5.31420552249203,5.248021770452414,4.956128720208428,6.024296710288317,5.9126595486731475,7.532030272699828,8.133825686871187,7.997553614379431,7.686671184572139,8.0907211657307,9.163593893650738,8.032395647959085,7.7424264680895565,5.924809177294707,5.411527056955821,6.860763031874797,7.0060987514923205
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938119049322388,1.0950041167694329,1.0936427224970784,4.919875769101319,5.0060757064025605,5.5265721327260415,5.544292627770567,6.010180684518077,5.571673737758606,7.522699963429022,7.988593935775899,8.283979659736994,8.10936705773801,7.952812104280858,9.045815058981042,7.651488432496748,7.740332491538971,6.058377553977806,5.874543629186732,6.762221489541711,7.013709082679642
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7895220153987592,1.7760958684017354,4.645761194298845,4.5513201782774235,5.492724537684839,5.659062637031018,6.051613610042958,5.531243490410589,7.486315587715334,8.011452237538714,8.328053463160805,8.102539344385178,7.705322215154054,8.795075266894312,7.328758278337086,7.421379599866053,6.366211046396711,6.317688216806812,7.110698150914463,7.4938902762616095
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7785412105914957,4.682509578666954,4.712113031901607,5.112138051174792,5.187835919704234,5.354007984870877,4.84790698039438,6.870914956569421,7.2228644028656666,7.697092656347939,7.639156683104406,7.40108839576147,8.479758062567921,7.06834938826975,7.327925734843779,5.300996884470107,5.222765432121961,5.863385304027928,6.103827930945315
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.012579587068685,6.061529177693078,6.600710502903974,6.587000026200157,7.030157568562312,6.560804892482217,8.5507100192073,8.964437434603957,9.319975426433432,9.170459327864057,9.003984757193924,10.094647772858895,8.666107340505047,8.818565498547583,6.983334122725245,6.762391685312726,7.598587012670604,7.775171637314118
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2272603774679465,1.374319703025627,2.0551677655585445,2.4651961250124326,2.5368065249585245,3.4553132934893798,4.359161422600112,4.098503502824527,3.682667280407415,3.4931601585721945,4.53871312517011,3.5765169138929407,2.9665639189236996,3.5698362302246407,3.848747554538793,4.677496437153036,5.391899009590307
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2824497013799365,3.153610706171932,2.807649144323265,2.417985646976049,3.6380610352752782,4.400207145028444,4.602569478204709,4.335434016782472,3.3314612245507873,4.383312310030433,3.0462099981514936,2.932982970805022,4.095488079755798,4.636242760715764,4.958527550572093,5.7777757008294355
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0154716475224388,1.4573637607462524,2.084694940165913,2.5041672184882033,3.412991536141561,2.9341155128667253,2.610275093173873,3.0710205967495123,4.056972653834685,3.4445451942910226,2.7801513691307687,2.4041777120215,2.682799235378875,3.6091373146536925,4.278510384431541
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087906969025,2.866900127662372,3.113732184320544,3.9702739130367113,3.1504855011951673,2.744555913462015,3.9011381547971737,4.797150813110327,4.3942256000262425,3.5868435569040353,2.4094076944197655,2.204766270515755,3.7445165694930496,4.21372211608068
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965281600376648,1.5549917553818509,2.151494618235666,2.4378132901422336,2.635363734236456,2.565627611861774,3.5045801549407956,2.8223141118805453,2.8357756413478143,1.523565506079054,2.428444570270893,2.3806771794676336,3.215166355684301
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1721152582453738,2.495831312689241,3.3708347423700125,3.612693643340555,2.769936129705412,3.7674325671171442,2.5796907696725593,3.1354114795707697,2.151619981425021,3.1335858714615177,2.636724815090311,3.533335867695083
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943846796500993,1.423299839116141,1.9422543234032787,1.5271756709559547,2.1525707147645985,2.1817637781995014,2.1753489518092644,2.5243482792245953,3.4716142184983134,2.923635905304171,3.78129049869471
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0071637209540185,2.8107333324613384,2.157779932784871,2.479581950790507,2.5226723615294517,3.0747788774859877,2.6869597312001066,3.7778489243462543,2.5404317220402777,3.3927392081359935
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722772549430079,2.4464211588479152,2.676389205632868,3.3949956579935794,2.7532660853799937,2.897464519849731,3.4687436784894126,3.4313975878659644,4.045908792141973
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58336050202865,2.908860085561388,3.5941520374899816,2.477757226538277,3.265443762439266,3.6220493399570683,4.081112890079397,4.679665931872385
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947867489734968,1.0948481737756828,1.0961264798112615,3.895662749178635,4.815957967967651,4.311682084038985,5.226944077454571
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7836084476719904,1.7776825791523565,4.672620583885392,5.593069232576161,4.93076685916429,5.803763159071676
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765959990739389,4.204883985381338,5.229052426073341,4.477458111652717,5.445365368724695
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.250753000482375,4.976082059451408,4.94241986403504,5.82208501640398
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133755638555141,1.3461292447939686,1.8762028019815509
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2539663370029133,2.2949546652002377
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766265066630422
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
