 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,O25,H26,C27,H28,H29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09383227260828275,0.02547450648746774,0.0002530933175139971,0.0004362544863909523,0.001312950281350922,0.000781789275784428,0.00031243506223299633,0.00031234962389525833,0.0007358216316788457,7.012845427278869e-05,5.160715617957834e-06,1.3944180202507539e-05,2.0552117039329687e-06,1.535883819681061e-06,2.2335846958654315e-06,1.6391858759234879e-06,1.1269540434177827e-07,1.4837442185999805e-07,1.8489903543805752e-06,5.078289865778629e-05,0.00013328416019120493,1.392102039432519e-05,1.2930323041171476e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9298076816534464,0.0974484078672263,0.09493655000336032,0.09380895672394896,0.0046170717604611805,0.0009547105082077373,0.002101787161091072,0.0014249295277611873,0.00024387698843184036,2.3491860710489476e-05,7.242879646149336e-05,1.4640721556991032e-05,1.2314149045213052e-05,1.7517857813786897e-05,2.5508809835338153e-05,1.6563265308189301e-06,1.215051841585435e-06,2.6485269670084577e-05,0.00020695481842544772,0.00024659742460501205,2.6745647348482005e-05,7.278620548945014e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9429108559302815,1.9358242879017393,1.9925520663551413,0.0002912765801574013,9.324922116769885e-05,0.00010981776408050536,9.984561105558232e-05,2.098044171761071e-05,4.106035833228994e-06,3.575470807037906e-06,4.85614827572256e-07,9.048636670505594e-07,1.1342756770504892e-06,1.2393043569425277e-06,9.310107706994586e-08,5.337721487030933e-08,1.1649797615476132e-06,1.153485550631217e-05,1.0413686449092796e-05,1.459445099410983e-06,4.51738573103988e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024278496287407858,0.02527336652416312,6.718166781016777e-05,1.2123325699220366e-05,4.513274067519113e-05,5.603009178845042e-06,4.373539890467626e-06,8.394854384974337e-07,9.836477463665005e-07,3.018455951853127e-08,1.6851111461768653e-07,2.62830730290986e-07,2.2019168133269318e-07,3.3981490954460014e-09,3.5937415265863137e-09,1.6349094233980566e-07,1.6692984183830362e-06,5.151219257815143e-07,4.458477320667953e-07,1.5490487759173277e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025508813730919178,7.88391554129575e-05,2.1704864860527806e-05,6.693816026492883e-05,2.2674622616403184e-05,9.887297030664044e-06,6.4100423902146986e-06,3.6490153145773974e-06,4.7543005932126903e-07,5.545023824549133e-07,8.93440153193481e-07,8.582326631589865e-07,4.408023213109402e-08,3.2015911033411726e-08,1.0300424835296695e-06,9.784246646882266e-06,1.0799628775370884e-05,1.3097713813525758e-06,3.2016185058658664e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.226242706921845e-05,6.521804221781835e-06,1.2971274236495134e-05,1.656075735612106e-05,1.941918879477811e-06,5.46218763997075e-07,6.431561161424071e-07,1.8724291850347186e-07,6.165344901276626e-08,4.0336995743572857e-08,7.480427022255043e-08,6.6228023065662e-10,5.206244990674236e-09,4.530381869649602e-08,6.462561679132506e-07,1.4243471462282997e-06,1.289744767651868e-07,1.4514827562095434e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.038787295576674,3.38245841976642,0.13461251616664072,0.26271493497450726,0.029631880258328414,0.029064157849857053,0.0028694079776827586,0.004487654731676477,0.0036238192452929807,0.00958233963098673,0.000685188145802984,0.0010201558332059157,0.008232610110704197,0.028881902025628986,0.00670437385256506,0.005526547218881683,0.001196410413551785
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350830197611779,0.02746771779937862,0.06865542374635042,0.046320226357716376,0.010297566512093362,0.0008864771509659031,0.0025929092042286522,0.0041647128952569945,0.012176755190776545,0.002045509764527109,0.005635591385150129,0.0030960271340845225,0.010310569749537035,0.0044824497346630104,0.0014970783320460285,0.0002974995727172969
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8341977102169933,2.755080271643911,0.09339246594160888,0.17783715275945694,0.024432081236006042,0.030334176781905156,0.033475946211656615,0.01959448894730141,0.0013284123903456457,0.0006468024513794912,0.007208898835310729,0.19314546318277417,0.060569227700119105,0.027219787918443455,0.005170778589805969
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09674241161735697,0.020638147290932274,0.007101851009066129,0.00042189724555385943,0.0025023305428110154,0.0013711205689757033,0.0005808632730762708,4.390870808901326e-05,0.0001242323418959579,8.79676932805662e-05,0.03638663451269675,0.08805082116562957,0.005731987534203897,0.0001978172608749773
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9569114384877468,2.633626797464147,0.09202837474266279,0.21458679145918436,0.009938408844803681,0.16547714844009107,0.030710910480159503,0.006648018754236373,0.00808483318342934,2.6322342778752144,0.28270016557387295,0.21556175157381843,0.05312175087964732
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08564118110422325,0.003218679114566747,0.026179723047644377,0.000619984999626233,0.008059512572674676,0.0010041405582064122,0.002773747646950042,0.00010267491509052817,0.11299029302033747,0.029298113517041924,0.010282377309873025,0.0005772220001660777
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.004256663714855,3.0042803341972237,0.10872180251661645,2.798230895499511,0.09930659394104913,0.09885188725257743,0.09105002120550854,0.19052925126980066,0.04096359720357502,0.03294064835614027,0.002136767606524259
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09872099533142498,0.03937757247402107,0.08698579134285112,0.005616444024035383,0.0033091555307669385,0.034454261234556194,0.011661320964874822,0.0016556814274095721,0.01827922736185561,0.00038193592523905195
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.817481410426722,0.21081241987582325,0.010069676879253642,0.03245273874960897,0.009082046155098666,0.040758233779908254,0.005475569778855813,0.004616007470122849,0.0002967468740457946
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017662403317238895,0.0003118561556134658,0.001150910831345442,0.009049958781803591,0.001035836464529205,0.00037041164051820896,0.00036524789793324075,8.783161016046037e-05
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0232726873132885,2.0624752205840666,2.059549897411043,0.03008470837976729,0.007154365677281685,0.004933235335535052,0.0004301022725665682
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025779027505570484,0.023644151384452083,0.004588236678160662,0.0017000728968653567,0.00032679530928692024,8.003981965609697e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024999101216091058,0.0008071605620136868,0.0002929148565057327,0.00012251665158913294,5.656338309067976e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007697198292631047,0.0001950657578109194,0.000495439215404847,0.00016176428586422986
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.997294331927316,3.494345161339242,0.17279569876879197
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067638120505387,0.06504102961698432
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6647045631077682
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
