,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26H,27C,28O,29O,30H
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824564242144188,1.3674700117568546,2.1306494229782706,5.01505007021955,6.189792799895109,4.5483629167163775,3.5794915900785433,5.577606702911598,6.516643306348708,5.661052877280173,4.935403515288883,6.6378409829196645,5.81095026701263,5.910066437361208,5.352805421724739,7.22956998844199,7.5496757878996705
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151072021330528,2.5526639983720742,5.959704177953125,7.160072705430647,5.422381726311639,4.430948943949138,6.420378254682432,7.356473943301724,6.31832199487585,5.5385027849667825,7.280527272552433,6.360186084315872,6.840309726744338,6.332856805286665,8.135346255134472,8.479432556214554
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009870443859061,4.895410746203442,5.973315971991444,4.288137423176619,3.3510583565337155,5.050742094349446,6.081017285810861,5.11620785405413,4.283430509025241,5.978008088331423,5.504491853866063,5.088742484539758,4.3979248496968255,6.356080159368951,6.5605063894241775
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.691218612730328,6.724971699479428,4.9465507406136275,4.024468195833918,5.492725515153396,6.5669217748278665,5.354475043840386,4.395508757039857,6.09975350536437,5.808161844034079,5.409265479891301,4.697210410745105,6.580742269039374,6.714507471404688
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275911285975634,1.373707196628143,2.0434322311510624,2.439357094097661,2.6201310508647326,3.738865275835586,4.096045156073745,4.579752737581289,3.9388535752562954,3.0881952845196423,3.2991824855127594,4.143714121942455,4.742326786837561
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2724739032402033,3.135805168881853,2.7475111821230285,2.510084353984916,4.222537108157772,4.775689117439205,4.850060168269766,4.491248404365673,3.145728174852913,3.5137931197936996,3.8801047736727203,4.444351378314687
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0140060039981844,1.449352783154016,2.0637497819455812,2.458079153457654,2.7448624198647935,3.403683757572661,2.7004975378207785,2.468219788622678,2.848909871955789,3.6163591530750647,4.317224881564162
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117125080746801,2.954081009632329,2.6433091516245537,2.5267638618780572,3.6870231504266053,2.863008637289665,2.9378010356922033,3.0250433583058487,4.199084311283075,4.810699772710406
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929717333859708,1.5364623538491056,2.183842933363039,2.175817075547119,2.1672236199375714,1.5337074875837398,2.4524151297264325,2.3799191417395287,3.217392176307078
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166384522494873,3.0820578665789857,2.5058924983973085,2.5026500096730353,2.1257865511676175,3.200594469201461,2.476522337713504,3.4045487501629927
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969874808536029,1.0938309043744312,1.0942940150864542,2.5138737017837522,3.3429242032138955,3.0675337300243712,3.88511813486265
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7752228741825546,1.7781878210873163,2.7860882052865694,3.2525545357351016,3.5387403319940396,4.176330553468913
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7792929535609756,2.7423142937337275,3.6976916133211466,2.7963868763686786,3.590182768395944
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4655826271929375,4.301596361161093,4.008062342916864,4.887093690271463
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211840286420271,1.3518760924894142,1.878831934833135
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252066489899415,2.2871622623283745
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976459198290113
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
