 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,N24,C25,H26,C27,H28,N29,H30,C31,O32,O33,H34
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10528275614397509,0.022985761368715663,0.011434744861674284,0.0018303524457095044,0.003457776388196887,0.0008764187840701876,0.0015063900270413377,0.00013699214843132523,0.01168371929125711,0.005437481759261731,0.001156882459172448,6.654463511157616e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.588046362783898,4.074030493702839,0.11658447113622983,0.5526871882981287,0.0368595946493846,0.5051151185165508,0.029315927153068078,0.017749040156244428,0.0037601669652455594,0.011755728917775377,0.0007447986489810265
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41746781287193124,0.026046842012622973,4.351280913514884,0.11389397981062221,0.5278807076794425,0.030867271231474258,0.0024679619477261383,0.0008335433873848247,0.0017130636546551364,0.00025764701435693205
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0090454451297974,0.6181200700513643,0.029813510743602833,3.1539515994426752,0.10849350738086538,0.0059926872029068545,0.0007670788639068254,0.004311258477784921,0.0008781542354004968
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030515256044721273,0.0008627523246989011,0.09586235640243346,0.004571247881706375,7.734065712727833e-05,2.9090486355576317e-05,4.7143785488978907e-05,6.541992604303104e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9513871290123654,3.4616660662893755,0.116176790375906,0.00182315516802245,0.0002444228500602247,0.000766920908843588,0.00012267125089893138
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10078652286714962,0.004689278059792468,8.305962646559806e-06,4.428186565430536e-06,1.4882288062567639e-05,5.18557674356046e-07
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.963500832167478,0.000998075608643706,0.00018490965882191068,0.0006514796568552472,0.00017507887699752533
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6857265589753645e-05,1.5177192205229062e-06,8.191079021835357e-06,3.231531018332845e-07
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.269999172789938,3.5413552002990287,0.16756547430758517
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149142785023295,0.0684568669390836
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5712051817565662
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
