 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,C27,H28,C29,H30,H31,C32,H33,H34,C35,H36,H37,C38,O39,O40,H41
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928705668979783,0.03100507489933335,3.318472044919404,3.3947510867361967,0.12847115603097214,0.2925044546428574,0.026925792925630354,0.3368238407756457,0.02743091349139437,0.2316813380882505,0.003911679156563874,0.0015727626303155828,0.0005438237997726497,0.0008720079924320057,0.0001608167971610952,3.470238488256783e-05,0.00019603023144383613,3.188416354182877e-05,3.989679441041005e-06,0.0004607162282412314,0.00011309577876894572,7.13104293081912e-06,0.006258623741684205,0.014537373327489833,0.00027802581355973466,0.00016359435589474725,0.0004780936153424703,3.97572018786263e-05,6.174661460800479e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9722532292380077,3.0618414568972163,0.04503609070604342,0.004021128153776976,0.2516830872889947,0.007177599724317085,0.05093269516908139,0.0004410223503923394,0.06496835593901909,0.0029684522025195115,0.0011754653739610432,0.00016696393398774045,0.0005675912617283396,9.233779252601493e-05,1.323304643807699e-05,0.0001023622847702299,1.6198792834654085e-05,1.324805302194143e-05,0.0004884569587957077,0.001084648246811426,6.613785858311516e-06,0.0008719054828531247,0.0007420143411043245,3.0193409106926694e-05,0.00042749344174972115,0.0016144385617982149,0.00014624437612625885,8.615669427447514e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11641176827642052,0.0034709265329343486,0.0014285315261501896,0.007110036491361438,0.00331335236227126,0.0005227114357785334,3.854300577699199e-05,0.0005645629266727292,6.928321721955122e-05,3.346754404098817e-05,4.429724880794517e-06,5.737642884362515e-06,2.068839145552559e-06,4.280269418899252e-07,7.135697797644447e-06,4.862417657403029e-07,3.980958011240432e-06,3.2602165753736756e-05,3.6240399472919904e-05,3.2331532107132688e-06,8.827243549336394e-06,5.698276894783305e-06,3.830628805268077e-07,6.028759047538301e-05,0.00029304870869062416,2.278253805110264e-05,7.150626255558734e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2986693665106511,0.02732132360031847,3.613027228660523,0.13297034468535607,0.22953183383186657,0.004035214047418245,0.3562398609004461,0.027992765877932868,0.0012929622723799605,0.00017346725002202745,0.0007125671418805046,9.529471424699065e-05,1.6835122718106277e-05,4.1545391282898914e-05,5.702865045975614e-06,4.05839078787551e-06,0.00012658365469020438,7.041049397771282e-05,3.4392095185076244e-06,0.001472006605721471,0.0023924124801979474,9.958997974091055e-05,0.00021325635338723115,0.00045549349813661655,4.965473734790116e-05,9.971292096455642e-06
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9850646430705972,0.3044224378870837,0.0035939893182086458,3.9397316128668645,0.1285364072322377,0.33014214796310926,0.026072075353696045,0.0007714901151087972,0.00024233734674806995,0.0005153355913138369,7.776586881641512e-05,1.3608522827168734e-05,4.1709303337134074e-05,3.4355724425338963e-06,3.508032289101237e-07,9.117343820641555e-05,1.891991164093554e-05,1.5113136824229656e-06,0.0012250799354640296,0.0013470764481025022,1.5596445214649535e-05,8.302077487015724e-05,0.00022615542001261368,2.842841925627948e-05,5.08395095832892e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035460821848256607,0.0007921777617418968,0.12745077473706123,0.008459378397127848,0.02751698506129907,0.0011354685452085178,4.7979870501091426e-05,0.00013864475388891684,5.544254666256521e-06,2.086644588450426e-06,3.278250810812011e-07,4.862813705042157e-07,4.740498926736336e-08,1.1992977944075278e-08,5.643236817842734e-07,2.1576243303123022e-07,1.4147679650022837e-07,6.9559697184473634e-06,5.648363250010391e-06,4.43860313836808e-07,4.3449055797673e-07,2.77872905574128e-07,1.7455400558308298e-07,6.4189351611787515e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9758149570804813,0.3186645914320207,0.026046509070598356,3.753679529611688,0.12757172818504192,0.00017587870009427853,3.2009461136614514e-05,0.0001216415498213469,2.3728392463395753e-05,4.3163802987411515e-06,5.297790897029753e-06,9.120650259486496e-07,4.683797190097039e-07,1.8277294152282964e-05,1.3649361502610091e-05,5.519600037029448e-07,0.00020729534085731083,0.0001223860340817673,1.6715728602845203e-05,4.802073531193218e-05,0.00013143479337542063,1.5850388181040675e-05,2.3930617485401484e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027382079905429846,0.0010625596335427367,0.1226967229602205,0.008394024908051634,2.5886131818086966e-06,3.0687288226083353e-06,5.133091287579106e-07,1.0831189811710829e-07,3.06222451840199e-08,7.112754074611871e-08,5.834787764058547e-09,1.452672981905323e-08,4.1192422406410856e-07,3.019333414400194e-07,8.966462905490857e-09,1.3191065471040986e-06,3.5795978088337677e-06,2.106305072580028e-07,1.8447694061229925e-07,4.386616486717898e-07,3.119717462141125e-08,5.275722081421463e-10
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8095947575075197,3.6766241602849576,0.12340316540179797,0.00016407805564508382,4.74174277554501e-05,7.754709281189431e-05,1.7746012701075342e-05,1.998915901024745e-06,8.600396933622356e-06,1.7651475976432351e-06,4.286894603744429e-07,2.5009936843983782e-05,1.4518928208806514e-05,1.2048534574482517e-06,0.00030496578788397066,0.0003793769801357927,7.723109396673422e-06,3.156629346601214e-05,7.986191323029745e-05,9.12271956914068e-06,1.8653641765675744e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12265483330042315,0.008107262949007099,2.602015624741938e-06,4.626712568622793e-07,3.9333550660991534e-07,7.598882945103469e-08,2.4436970891272836e-08,1.1912782538203714e-08,3.949552240811727e-09,1.8750982988535725e-09,3.745859111781158e-08,1.4485284971499368e-08,1.971661278687975e-09,2.612437119964284e-07,2.615477717959891e-06,3.987750774037124e-08,7.231911465233054e-07,2.401952420849618e-06,1.610906998905648e-07,7.325106743394372e-09
