,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27C,28H,29C,30H,31H,32C,33H,34H,35C,36H,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3195032999884804,2.1410885078642403,2.5050100543477383,3.268733121185327,4.696363940667735,5.177696072100322,4.597247627787998,5.00690773363167,5.67767470743234,6.706889970658215,5.637123291769272,6.645276874663802,3.358739140870446,3.566095994125299,3.614625309298804,4.153405641894221,4.92462069064769,5.06092294701942,5.4547006600967345,5.994006425596958,4.600301958268586,4.029094278865355,5.558349850918409,4.123976194260672,3.6684427054701603,5.112422738010532,3.4686541876634522,2.554589986745711,4.528190793749941,4.474691382637825
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2546322559151553,3.231821578252957,1.4248130487458106,1.407169160339433,2.1710816135346453,2.4739585027627453,3.46169541521161,2.412657674464431,3.3995453711004098,2.805129543017079,3.8919258242482115,4.233992131579537,5.14468022835698,4.400504818106969,5.62883269087175,6.455142017512792,6.068228383425022,6.792362482232826,6.719975862775703,4.926786376188805,4.640539849006856,5.433188602969338,3.962730422480687,2.916031939906979,4.499930177331302,5.778600552755606,5.137154024363472,7.083099652700447,7.329806669124005
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0080023732064904,1.380139492490999,3.5764583237290117,4.425707985831089,2.5262042803226565,2.866802098083713,4.127396791427528,5.213304429717079,3.7227320438803817,4.646742885970683,4.578727467713342,5.227154585288298,4.4693913659304485,5.216258160739188,6.187967911670389,5.598581535614887,5.9971479766217675,6.5171660758885945,4.582583480450199,3.846629533797585,5.231769955236423,4.2342005931041085,3.3922555070018774,5.155795732626745,4.8249359262462885,3.8367253789201277,6.0561346340458835,6.054322977722791
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1323260687968784,4.499149252887667,5.397660218391558,2.8919496556461275,2.8482499836805357,4.8825256271050925,5.965283504725933,4.237175914681732,5.024139070907807,5.246088233937833,5.796747545803368,5.003089301969411,5.51344553356377,6.521126781723219,5.784413492462207,6.003787344368166,6.7764961441759075,4.8267707849069215,3.9233704143060524,5.447796907896002,4.780739296073651,4.050818706212054,5.766705633447333,4.915513929873975,3.809266978912577,6.060106647336234,5.932101726504694
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436026689091284,3.4300947144467338,1.3993633606044396,2.173133359297942,2.768954335358839,3.855800556985254,2.386525841959014,3.3766024915198156,4.989541269043267,5.843652559566811,4.883363725463916,5.871693694869518,6.832082361458652,6.112168367309619,6.648591059938825,6.8971662398598115,4.87340056473811,4.309248602742098,5.318949688836296,4.327923801618883,3.2957002974322975,5.039276640643385,5.790540652743241,4.946553096968897,7.094164280287569,7.215080315818455
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876306242645657,2.848693787167831,3.9362294926936823,1.3903037825423212,2.147042179296957,2.439093748776946,3.414703366551303,5.041161936057955,6.042474721383313,5.226835680444938,6.570502835319691,7.33081822130593,6.900420225223627,7.715306316295327,7.396137249493412,5.677279488838614,5.5640363321572845,5.993016860206548,4.592802978950642,3.5603767640420756,4.830877796338893,6.944244839991217,6.41706836329676,8.257012880734795,8.587951891221584
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.936255442516502,5.023780860125602,2.1553383702244053,2.4781417625218953,3.424938624883663,4.3102566638389925,4.960791311064176,5.936372025518207,5.329350740136602,6.754493362523673,7.385778094346814,7.193868994476192,8.098527139251326,7.576526001157304,6.089283269376875,6.137765350109969,6.4231591654332405,4.81680347698479,3.9045993023279473,4.87849360547303,7.262851516975736,6.873290307640603,8.531123771419164,8.93163289230783
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875385537963658,2.440672282411922,3.4147103490661306,1.3912324166293972,2.1449594815179003,6.253251543998041,7.176412450698075,6.006129392523482,6.9595178012045515,7.960243634775926,6.960191820574133,7.440602804984231,7.700838021093728,5.575181899232314,4.991297351157242,5.782774645823818,5.203615762821463,4.1693833565192735,5.79746365439171,6.934529425764728,6.079929245953736,8.243050715128874,8.355987639641608
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4311065992398144,4.316267239550533,2.1639466504257463,2.4867919867567476,6.973379659494521,7.843568473100507,6.612069855522268,7.39958309561197,8.447035063676879,7.285307429661061,7.62173666247287,8.085728372556797,5.912190493819843,5.18761249443464,6.067008598086066,5.8023134781255825,4.845620372590962,6.468408394242596,7.234760872790884,6.297385660836132,8.49525020079216,8.522244330852583
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870233145947703,1.4107497952103614,2.163336627536043,6.268877619291924,7.3161770537294615,6.264007703435035,7.537666256999243,8.37221076269763,7.642300418720776,8.390185783675673,8.1317218903453,6.268236430716845,6.08642841199934,6.387607729964151,5.399372060337141,4.3503225368575755,5.590775240190975,7.904246230697556,7.307086150218126,9.245575189854934,9.550288411910875
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16117173435451,2.4765406669094507,7.024942966065038,8.097256374042571,7.045448661347237,8.363513611905985,9.148564521009567,8.425262533373546,9.218160911830395,8.817789414131813,7.047156062701436,6.966621623155927,7.068173385721029,6.1282047645662905,5.135616654318185,6.1554007929326024,8.841989515300712,8.30945608657589,10.180932195102457,10.532345999678883
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869740957638518,6.787676926565707,7.806674886268782,6.60042220188064,7.708082559870903,8.651661128935864,7.668438548208146,8.26576132810525,8.269922473302918,6.221953812474903,5.834602602850189,6.29009133476194,5.666447217741837,4.6097651002543225,6.027894397885761,7.899566986428105,7.162480893412578,9.238982262827346,9.447466772663892
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.824463122157539,8.863639682249623,7.564219666720682,8.630543733166878,9.59279392920469,8.46561391516446,9.017374731007026,9.039443646578233,6.973690237473524,6.576368251334315,6.912022190221561,6.536793090487618,5.517702551763181,6.840524010899365,8.833194254525754,8.083969440378832,10.168899321137832,10.36672013256988
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2344264460988335,1.3636859225895819,2.430760548247992,2.698079279287968,3.6614853970390477,4.535365196751259,4.07211660212631,3.676217279191214,3.9869996327650767,4.60977240723122,2.552905687950642,2.8084077523704014,3.019956207678786,3.049787711343185,3.361407231126356,4.012240017418544,4.626762856582437
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2558030753442977,2.6988295537424976,2.635413760596476,4.1853510012338795,4.894441720932171,4.605913850504656,4.539052208985436,4.766909530206754,5.540673800304259,3.652007676855583,3.9710539432887115,4.143369203271811,2.940813584871534,3.3841822364490106,3.5570958748116874,4.1048139671320945
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462177532185716,2.1117794119939943,2.3620504909394238,3.2994686718820736,2.8423792646148986,2.3539854800426614,2.8019036411044023,3.3035162672130305,1.47336889085223,2.1260529206458973,2.1267217150046798,2.4785440614898877,2.9017691623883186,3.589833628702344,4.300568070705239
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092924567528303,1.5489930837836414,2.2127257951376795,2.169109590745755,2.420898368919204,2.807634169134861,3.39541186707965,2.4485060970189862,3.2772706145126183,3.07677730281646,1.5287051926010178,2.447755187580773,2.3734818938598377,3.209710419130869
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2128029002472758,2.777100538220788,2.3865161922647324,3.3493103210229034,3.86389088093212,4.208350211065072,3.2451175118387847,4.139999409112708,3.614112138023839,2.1309512571553766,3.248544018848904,2.409828001902038,3.361250982492846
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941537130695356,1.096363199857116,1.5377907566869937,2.1708527431295743,2.2096896729057773,2.4101274799416945,3.3523588688296515,2.8842089814786953,2.533722709374802,3.2123239169720432,3.267113490247788,4.034224874321752
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7684371476679697,2.2152130202693816,2.46509600981241,2.7180491244900975,3.387693468280887,4.219027320014795,3.932811478190643,2.628841278776103,3.2599566813505363,3.0684173963146995,3.707946111227547
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1818414539293602,3.071168367839127,2.4706035799736483,2.8071933849344664,3.864782392052535,2.8620684627651025,3.4206693601123166,4.237617059238637,3.9534301976617097,4.816102424814583
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950145200317833,1.0942468821520608,1.5355915832910094,2.198979238677515,2.186573437637952,3.2198171376673668,3.3907947104701583,4.3150919488642625,4.9280095412881835
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763337174015414,2.1631854396009436,2.3975945421316465,3.0553043646656772,3.068543968529777,2.868522410582729,4.230069764736183,4.6454807402936495
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1996347728293064,2.743414438498257,2.4306582176319886,4.2610457525805945,4.427166450809408,5.272836698694213,5.891600736241303
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0917410945367103,1.100070922934334,3.4637742502949553,3.630884348165532,4.670878080794573,5.336341479325748
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7795231332834727,3.980968995208374,3.8280467901024426,5.288429952914943,5.824079616333675
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33772767140652,4.661613434474216,5.43045628732122,6.188415874332837
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2124694615027412,1.3510351834495915,1.8763419732013473
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252591332688953,2.2856144193994585
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763572253387147
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
