 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,O26,H27,C28,O29,O30,H31
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037279507097190745,0.00011477652969482666,4.039170070124776e-05,0.00036592405514257464,0.0005038533790653332,5.4221303529056186e-05,1.387892614146402e-05,3.050421605532705e-06,9.767382125325241e-08,1.0795999449975113e-07,3.4207164152366687e-06,1.2423600947997215e-07,3.528834385257973e-06,2.601373660815476e-06,5.824113039620826e-07,5.7348322091144155e-08
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.301112583133705e-05,2.3644646406806302e-05,6.280307436234978e-05,3.264181718853898e-05,1.3276679213136688e-05,2.7405890614673467e-06,9.105227237737878e-07,5.341702558059325e-07,4.606525316752652e-08,6.365982018197158e-07,1.292467624036675e-07,9.106209440945534e-07,4.0270806467290754e-07,1.1160389745690225e-07,1.873300869981165e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.200530027205499,3.431506048778019,0.1381297694603173,0.27131955072891956,0.029004701549248724,0.033580970987958425,0.0042313954669332965,0.0011277705410024375,0.00404945002903867,0.00012892272684483785,0.037300289744082116,0.00911815886620565,0.0078002106520214665,0.0005206600533808059
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5258441653735372,0.02203736584200877,0.06966585211679736,0.0585935438692573,0.010385517769080269,0.0015596440343458307,0.00022321701663985394,0.0026135499839139917,0.00020318972100408228,0.015251563045961425,0.004966472291727954,0.002565641186265226,0.000327447638951206
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.570321093086832,2.747581351455193,0.09847245045359299,0.18539073769826142,0.027508089970498695,0.010002052386355986,0.026086365823720335,0.00046948232892185526,0.21769618435072607,0.043774790096056046,0.029485873221798534,0.0023005397741554523
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09647423473313033,0.029214378104315486,0.007384364587558867,0.001441377915517572,0.00028107606726912593,0.02323743194226857,0.0001595444403352797,0.0067159860279885075,0.0006790349797471951,0.00037646299539040307,2.558941689589922e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6135828692528658,2.7543298679626425,0.09987859446672442,0.09754412486218178,0.22227708033202587,0.010445350792894659,2.6621941808913414,0.26772082622460386,0.21077687545415288,0.054839145184536364
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0934044707208731,0.00361153193291619,0.0035908950806617934,0.026098459564843024,0.0005087500785674326,0.1116243972766604,0.028807496822259027,0.009801269123716039,0.0006425302492174545
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.944577521315294,2.0126398179598426,2.7477860148439808,0.11416314844117548,0.17585369157485256,0.03727978362653803,0.02738017670752886,0.004484881367523896
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02661838627482127,0.11069428278298155,0.009862066358425015,0.00824928549121795,0.005094140077033127,0.0010176121007914318,5.400934159238702e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09986044769193159,0.03245925244760883,0.02741952416919813,0.003740802106266816,0.00401360015276353,0.0015584834797464087
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7512902790727944,0.02488409033782832,0.047792355183601365,0.004400330778398409,0.0012499177693889862
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02720517417774493,0.12553037987527682,0.006036116512501244,0.00024556528625119256
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.842316732550196,3.587512852700148,0.17345087311908514
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5200240104233054,0.06599730848336227
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7670712940580608
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
