,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26O,27H,28C,29O,30O,31H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1481836560507896,3.1488444366978183,2.672279605928456,2.5829234694281102,3.6433837433075875,4.655301436465987,5.566583436350204,4.932634665034623,4.447655461720024,6.211451411335517,6.715012763029331,7.217848825098002,8.184368049655493,7.431737689488491,7.005357138946736,7.09216293729415,6.277522340685543,6.9618850841825015,5.874764331312457,6.214252980767279
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2298557367940304,1.362865724203056,2.084993395493632,2.04735336414504,4.121128138028328,5.29308568782225,3.9405822391446583,3.1340669442103164,5.218142127266209,5.956048600537244,5.844301830238491,6.880352862388021,6.004374690636309,5.3606515296167565,5.550341151123152,5.474217009195058,5.986114987921648,5.549178957767112,5.973763534154628
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2610256166284346,3.174848534834327,2.489690508595316,3.6195147991374665,4.840717664569455,3.0819764792418223,2.139818128854384,4.230383094528633,5.081528076088524,4.712209964298285,5.7382566937184,4.937570806499939,4.143818225844832,4.333659976051906,4.508231758430812,4.935729273978396,4.813695050713652,5.265848666310754
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0090054256428385,1.0107939418389698,5.458343489862424,6.631926695677823,5.23557494264108,4.360950627179195,6.467710606485631,7.261018471414802,6.946858426480343,7.981770615313926,7.089704287428507,6.27777179345713,6.444895781520098,6.666427882799626,7.039713993029779,6.785935999574031,7.121947424336467
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7383588088575668,6.0605810954528225,7.17776252551401,6.0104652368326725,5.2024173901995905,7.301477429663551,8.029696220430534,7.859573809782215,8.904124859102932,7.964559761385397,7.251725408865973,7.429217659945485,7.505976246520925,7.936530158770038,7.50985208922193,7.838655083736552
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.972736355196554,7.184343259108486,5.553590168717633,4.594899423405815,6.675381917920638,7.558672104717247,6.9515079398051745,7.964116667605029,7.107618914616781,6.104479763657199,6.257452668446216,6.85495096875588,7.075860342349027,7.139090326395898,7.4366480276837486
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2277927859432445,1.3660737640199876,2.0610741102389527,2.465152233643167,2.4810762994298443,3.5889454052016925,4.441663786711617,3.540179420983909,4.236226704669426,4.6393723422669515,3.450735086814553,4.557910143200352,3.451550564707559,4.373368187012452
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.289231050729774,3.180346338931523,2.828710866151431,2.327643904169383,3.999504271992781,4.637698646498431,3.881732775754127,4.950123555822088,5.339875246588112,3.820314358556229,5.006640012512095,3.6500427019008446,4.604777844331644
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0187176411827923,1.450544978825266,2.043728823805874,2.4761966463454046,3.4108973369121336,2.694224505192009,2.9379133786590184,3.2835193376251843,2.444572350285742,3.3970797590544106,2.8837885994369437,3.745420280928347
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138086091597941,2.969743486323087,2.7915953690889235,3.816669652474664,3.0547059562028425,2.7349921598047544,3.0574268527692396,2.8112664008313275,3.5095268109771958,3.3408606582750764,4.048513480567416
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096633099712501,1.535963790901239,2.163802723507725,2.1496740620478465,2.450661567708567,2.629512136255132,1.5311495408552187,2.4432698465119627,2.397246308744357,3.22732210394624
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1779810195588434,2.4864786826611356,2.495017522829053,3.3899207578056276,3.6108804427028307,2.1419278493674727,3.1556583840068666,2.6047344633716634,3.505669421868243
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1013171585648276,1.0940031810285937,1.4151302013683649,1.9186294322090094,2.514386476365073,2.798023531796356,3.7196871381352272,4.385455810479979
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777753136689536,2.091220386058884,2.2820036531408023,2.762920464623371,2.809594650433689,3.9761059368781004,4.530702070385353
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0245237192624193,2.8104910362554345,3.4543918635512205,3.877060744676254,4.528083407429123,5.294275990463653
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736624550720989,2.9628619444998168,2.838453428019951,4.237658064320509,4.72934496671138
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5930536928506336,2.119037939748988,3.885676981923891,4.1970636124343725
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2182564512271092,1.346474928278443,1.873300327997951
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2472888977136694,2.2749412010958507
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768956580754633
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
