 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,N29,C30,H31,C32,H33,N34,H35,C36,O37,O38,H39
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586213799940387,1.8253024141413323,2.161203167569565,0.03340113463189333,0.00272001664591226,0.0008454991258668443,0.0009367284128920517,0.02297312597355039,0.018594894109990878,0.003442533723685484,0.00019447279059159328,0.0004428108088789101,7.935627063193618e-05,6.62262766980698e-05,7.719666506811329e-06,4.8521594915307276e-06,1.156771278564006e-05,1.7237026013458556e-05,4.826045604089391e-06,1.6878936659470156e-07,1.4077801277934121e-05,1.0945276180951424e-05,4.091490229549133e-06,2.213140848361661e-07,0.0002980791625200041,0.0005142211847248626,9.078540005309776e-05,8.144949655508604e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023963190975913484,0.023666147531478554,0.001139800354619691,3.77499586372565e-05,0.00026586028259378836,4.5082402848839465e-05,0.0022181571288495405,0.001682292721860934,0.0008504329316261217,1.1458059070212911e-05,0.00011470739840535593,1.9721872604572255e-05,1.5307564702249365e-05,8.10085452274123e-07,1.3279644575092675e-06,3.3573042619305937e-06,4.888304946604194e-06,1.4751680867952643e-06,6.273367536557828e-08,1.107207928452425e-06,4.403892128745923e-07,1.2402649809395427e-06,1.1231279128942617e-07,6.717977742187742e-05,1.7634195168758637e-05,1.0624930361302631e-05,2.845349408531206e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02465536852889727,0.004255540963783,0.0008077269362132267,7.019790705986573e-05,3.1098640823845614e-05,0.0006827482706850407,0.0007551145182262964,0.00021005965287002049,6.912548074389235e-06,2.450030095757505e-05,9.001718146439686e-07,4.3491120242933334e-06,2.2447011716053566e-07,3.0118656324518156e-07,6.74003560074965e-07,8.839629692669604e-07,4.017126229438617e-07,2.0034470971097562e-08,1.5489766218568235e-06,2.335607767411929e-06,2.3382204350497204e-07,1.3100596607529269e-08,1.7162402196957416e-05,1.968423105758177e-05,3.7038305029657437e-06,1.2848179651303582e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009375805487099598,4.597834405606349e-05,1.4661287080608432e-05,0.00035903766666289805,0.01074749256784413,0.013825693954060969,0.0011895984986658448,1.8798281888887658e-05,0.00011879204165476942,3.9805891641986335e-05,1.5175273983647486e-05,2.6436346580727133e-06,2.885195426793885e-06,3.841171435148283e-06,3.0489627034224753e-06,1.479637816714785e-06,2.7426534598973262e-08,8.831021205413236e-07,6.365930027563138e-08,1.0666739826969973e-06,5.3451602033405266e-08,0.0004708298908768782,0.0014442437216576343,0.00014690245314308292,2.340216829210817e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.911376919143659,1.7412002329093788,2.184352634783209,0.002145866734071994,0.0007124937852373212,0.0034188455111514027,0.007295861320518626,0.0005052020139397762,0.00016226028152654948,7.031620933888039e-05,5.996364468741078e-06,9.910059650897196e-06,0.00077296857568461,0.00589517869365587,0.0004618898639522362,5.767882887086628e-05,0.0014319180475813875,0.00048286389742868696,0.00022865912940914224,2.9005286403704922e-05,0.00021797785400648473,0.0008445468390537586,6.556758671499852e-05,1.5185466430867045e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023884491950346032,0.02283426426571067,0.00023658518080504898,0.00012701893434297062,0.00012610675448221365,0.000484738758377512,1.6420110600101623e-05,2.7770898129997335e-06,2.7953124623891767e-06,5.086103183060686e-08,3.511770094721811e-07,1.7517302281389036e-05,0.00016579452665888006,7.745371661949108e-05,1.8797050522767478e-06,0.00032121939196372296,0.00020117469203917437,2.3693687966286348e-05,3.256280927121935e-07,3.413172787514185e-06,1.0863433498098374e-05,1.168868753120833e-06,9.97365905419656e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02319974133237812,0.0009436607656727602,0.00019430580780177564,0.0023563519093992014,0.009210926073522252,0.00047706802007518867,0.00011248849889988755,5.390406545413562e-05,1.3536389639856594e-05,8.273538875558373e-06,0.000904368434271996,0.010533496580378277,0.0006002486210485714,7.859148399935734e-05,0.001557445507557098,0.00012671461254787353,0.00038639074208890456,9.568803766457634e-06,1.5885810087823415e-05,4.391057714958624e-05,1.195588561841987e-05,2.18744784841185e-06
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002945152018565267,7.161778175623912e-05,0.00018260477801312902,0.00041204323401355936,3.1785051457955404e-05,1.033232261438144e-05,9.260991336690338e-06,6.264026943814116e-07,1.8558464314200052e-06,7.169340592061424e-05,0.00040463214671992986,5.703426703695946e-05,5.051222490948248e-06,0.00017245757890993474,7.194425050527364e-05,1.641094284132727e-05,2.5469651403486893e-06,6.183005080484527e-05,0.00026120851756061825,2.182391072946821e-05,7.000108751320511e-06
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6621240830482575,3.5876076030303117,0.13333150095296986,0.28564406618804994,0.023397792205357426,0.03264402495582136,0.0038706963556545126,0.0010282494159252753,0.0026799055683144057,0.0066110442631942545,0.0007390932888271251,2.261984997264932e-05,0.001336437652416006,1.3367191702196024e-05,0.0006197432018326954,5.874517028037207e-05,0.039002378293126666,0.008218457581911393,0.007222833552380847,0.001166495285511493
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5414855997946635,0.023409949868482882,0.0769169109073769,0.04374204902390455,0.009024741345375342,0.0011603953570070713,0.0005878367520877337,0.002582236215810066,0.0029108939883717294,0.0005726794805620133,1.4636028171421955e-05,0.0006106750506096326,1.3064442817900535e-05,0.00047256187464057853,6.0455421073468685e-05,0.015661840782150063,0.002587443595243457,0.002527992405081121,0.0006641946734288195
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6923359231321906,2.9529492758938307,0.10315642927748758,0.1747812835858234,0.02392729555720874,0.010127793056721401,0.01666417179525939,0.05321239362092782,0.003621201194847462,0.00017627140328735358,0.008180891585144706,0.0001253942253927054,0.0037205332786577894,0.00038982345738580726,0.20231989632221975,0.030004391157373245,0.03045138098751826,0.005085683640734584
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10152145504302323,0.024572061680429247,0.010719676118171484,0.0007621839875147085,0.0010025820381647232,0.016363478441021262,0.1530425737634482,0.00334242134577023,4.2482016017864055e-05,0.012993202811979243,0.00011205242146750116,0.005377617491911568,0.00046086252186983145,0.004808171546562878,0.0015788428381132702,0.0009274520311396417,0.00027811284822543136
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0529173954445357,2.765063743384056,0.09132286344834672,0.09155235876524692,0.17306201808745988,0.020956832934918568,0.04560051257443812,0.0002752708630153755,0.0059209461045524325,0.0001565680873147901,0.009879796356597248,0.0004794189212556921,2.7535772420713616,0.26750272879217196,0.21888473549353504,0.05431052528906144
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09219724384285644,0.005004644156212379,0.005404101020073826,0.02406150048303035,0.002745875522799368,0.003547079648941631,1.3430689212556857e-05,0.0006806642237618954,8.61389722306427e-06,0.0010445648490858828,4.7300730521726564e-05,0.1103470140419276,0.029902513290986033,0.01125014198396479,0.0004112277975811818
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129510875566122,2.093853534081741,2.8925632541363675,0.19185243820749998,0.24900949632021924,0.004237469243211001,0.04899291771546685,0.002421890732928089,0.04449304284219496,0.0023902691320155656,0.18035321660910666,0.04175327385781534,0.030360883272108757,0.0022504800024844007
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026286975507298305,0.11226567312169977,0.02293320862881565,0.011249926962369594,0.0018708656224526443,0.00348443478659477,0.00088330525412883,0.0014543996806731796,0.00014751888892705622,0.007139633725214756,0.0012566076062964227,0.01370383951059495,0.00033881699356586026
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099848113236916,0.011858638148656064,0.041266210915506196,0.00015320702844401346,0.004507826782447211,5.243005712762816e-05,0.00716447373260054,0.0003688826009282664,0.02918923712704591,0.004607937390707972,0.004093207139615251,0.0003584734927879474
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5510325247859886,3.9014271950359665,0.1175808549101931,0.5485351064928976,0.036316320934848934,0.4906268740935056,0.028922439182268667,0.024811413256096343,0.004143541836318113,0.0033083634063031248,0.00028997210385739436
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42061955566914394,0.02623256455069045,4.335545625875052,0.11306657503369122,0.5305893706136051,0.028792782455016486,0.002502595075912495,0.0006918349223734577,0.0005625304192948266,4.624952147191941e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142067072447402,0.6142077910671653,0.029489481490261316,3.357981831424998,0.10819387238726175,0.006367262514380662,0.0011704011986747032,0.0010558093584583511,0.00011893792937378578
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030085722055128272,0.0008645003427369957,0.09844885575374906,0.004543692362631857,3.542006645895768e-05,7.3741591860576605e-06,0.00011054371021568254,9.287604580077158e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.029719894479889,3.620689432857984,0.11861091870818685,0.0014581328983018504,0.00019886235575929112,0.00027963878490532,3.2762248533324545e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055621427611797,0.004665534722475551,7.375090864014666e-06,1.9702024096623916e-06,6.233430748903146e-06,2.0503235345081805e-06
N34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726275368548319,0.0013967881882583078,0.0002833171723802125,0.00016119962183015757,2.009560065974192e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.838462021954481e-05,1.9880275194616992e-05,4.013189262352945e-06,6.099962017724891e-07
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.889017947684499,3.5289727785831615,0.17387861544819028
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5110579827551894,0.07017052996857587
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.842843665690553
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
