,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29N,30C,31H,32C,33H,34N,35H,36C,37O,38O,39H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09685930036052,1.0950620746804787,1.095252473820209,3.9279915395109612,4.692604265152742,4.396603690251589,4.187797255655309,3.0744219179849415,3.216907344380116,4.094674883166103,4.394188098383497,5.06458156658849,5.259841022096471,6.4537059697012555,7.215979674355138,6.758216768245087,6.7789412288840625,6.324818655404707,7.840304591985522,8.591524394271048,7.170543128115618,7.374646263203205,8.050394560683033,8.864760890303895,5.003910741627229,4.407897987813187,6.150675716021554,6.317168446398073
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767325684039451,1.7740895963452412,4.134992521648099,4.745065980955048,4.82914555184497,4.291318089098049,4.100656191834061,4.272751067666779,4.998097113126837,5.185759090230673,5.932956532783362,6.208229892168334,7.295122744191426,8.046769261684394,7.676335747261501,7.478870937441182,6.958414463526838,8.440218141716876,9.190907528756183,7.661803900699859,7.765650043079352,8.535617300010703,9.27597957526953,5.681692710195515,4.903509296971275,6.809768782369651,6.845196797231341
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7727571698331084,4.7621316044618585,5.623285893882461,5.1344781685816665,4.881438443362609,3.3766357177818453,3.2689363889181977,4.603163880205615,5.0145699010500735,5.574645637013732,5.581764801641855,6.991735537920017,7.736588387090992,7.174496444040427,7.4790264297492595,7.063765475550446,8.620166656374675,9.360404603690492,8.003105923270613,8.231673616899517,8.905973910336938,9.761926793626113,5.6759927343959395,5.237546425657163,6.750889181413483,6.981409960145284
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.305392514899355,4.958205091140094,4.672113757882399,4.799266081768963,2.8049658034211653,2.719856236079854,3.723916190631031,4.185069168433127,4.429252133670884,4.571673401769731,5.899723638111834,6.547020312628291,6.318569214153993,6.322731602309835,6.076030401448755,7.331445732095412,7.985293231867092,6.951699832825811,7.293365277269011,7.678719640391642,8.495119461034324,4.171068134176232,3.589616436125537,5.220166379715164,5.334676050296229
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096894434237616,1.0965688615783997,1.097912697273494,3.945769508388269,5.053785169493251,3.813745921844174,3.1197812109293688,4.996650343883924,5.819110127678142,5.59494297846182,6.594499551759387,5.858264681746987,5.066118395025522,3.95489596540362,5.906063705598453,6.90701404898808,4.302246113740927,4.040820726964919,5.492381294176315,6.156562112942588,5.187198344724373,4.568808532951355,6.523937518959376,6.797615719881563
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7613532427249847,1.7712630802402611,4.7737856236510785,5.859383659986991,4.436332577665578,3.668234080554093,5.426064478071795,6.354788756859411,5.879052653276671,6.816174109656575,6.2663467006211135,5.107318562412824,3.979200394437178,5.71240510368402,6.689048613836081,3.9948445334986835,3.5813004715607812,5.10301626746116,5.624433023296957,5.409578719425256,4.681691518678868,6.682156327741467,6.851695503433786
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706345361306781,3.5923822558035954,4.796967331440986,3.22960440271719,2.3852752469456946,4.432118708059818,5.271086623789598,4.831083503714001,5.878621554454401,4.971088812374777,4.298757996765988,3.1121095370987906,5.233801350759262,6.274211441716926,3.603331546215854,3.4274962950918986,4.87219566694557,5.618714953018562,4.890909059046055,4.512135943922415,6.205108800699191,6.61453887072157
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.568576691008483,5.651144249180505,4.634121253344761,3.9724266317769747,5.9202877531925155,6.668660917644656,6.523330770340116,7.556229153891906,6.6707107343793135,6.029646712166124,4.848625754849531,6.896505927798268,7.921656782352041,5.163649027928567,4.765522319338515,6.418306876992877,7.050783525130667,6.207339588119933,5.601411785174167,7.556213233218589,7.846232490591235
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2311654738793238,1.365039932119371,2.08235526349384,2.446853010321787,2.568528303941291,3.7162355720279634,4.537513595761122,3.7998137494997057,4.388848321858864,4.19955350313047,5.6648656695088,6.396988749881528,5.382658410626207,5.898283803589426,6.177664349538782,7.142039764691798,3.2116191468552757,3.367625342450894,4.355959455096323,4.956630242555932
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2726976144541915,3.1827959664633543,2.7750587612635105,2.4342518255702834,4.195468396737835,4.795232751659728,4.301737197398873,5.136375176822974,5.19869446665473,6.364578470573459,6.954299830781465,6.400236166531271,7.001851999388674,7.049674938287922,8.011025255256314,3.3605234056673225,3.640924882954969,4.249452909709987,4.8236567997857565
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0162237992863377,1.4443874717898544,2.059822088186749,2.4696619839608323,3.395251517966136,2.6803315922992796,3.024488466529231,2.928269508165591,4.314324293937,5.07185842244002,4.152695630402179,4.793964142451767,4.8663510049431595,5.846925387865681,2.4645151731117005,2.8207017309675733,3.642990693465927,4.331441110537761
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1051128613635353,2.9392881475746453,2.6236990379360976,3.66966339395689,2.8156273316378906,2.662152135526704,2.1477620642777646,3.9252196477593557,4.828744842327699,3.3236851319932232,3.8580528082104877,4.222334128668289,5.188367521079066,2.960796805420294,3.11255141237484,4.18719548230108,4.81345127200055
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094899402895285,1.550344121177076,2.16442972686522,2.145408295682025,2.5567742053932996,3.1297365351331137,3.6926305640530157,4.200191683377789,4.289758371826038,5.161357876904506,4.598795051483245,5.554412920244737,1.5334700302011666,2.455687805702875,2.3802063198862258,3.2144771364620692
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1681697580897072,2.46006308659642,2.451974422507305,3.4800423220132553,4.133621522994424,4.5787001910165115,4.947543573898626,5.330985959985961,6.211482648650404,5.595699780493118,6.546198279097962,2.120784636946761,3.1344033111636427,2.5588129915312208,3.4489847877610833
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940442402628205,1.0971146228812851,1.501748861994622,2.518905703465263,2.595382793837814,3.065055401636669,3.5896556561044584,4.591258923215057,3.670733984553696,4.621153129186091,2.541536601007649,3.485611733400197,2.949271224626968,3.8178092958943535
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7677250766399044,2.135119875819115,3.4084853615037027,2.7335993831198695,2.794741852716777,4.286204537729578,5.34604891685995,4.033810780425369,4.872318829577277,2.764631174316257,3.8487767414610716,2.630119910014942,3.5020487388230186
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.140765229983619,2.834489408700293,3.285853354089796,3.794578724202772,3.987196973713465,4.905845114216383,4.236462363742053,5.1964088337553775,3.4652008978032214,4.398284766350956,3.899477498779296,4.8178359010283
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3860483955502374,1.3742992586029619,2.2468711830818116,2.157231556685889,3.2110611268173463,2.194775633153114,3.175423044348549,3.07217552778755,3.6216285876556285,3.635764398935798,4.274489316183296
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2570625390685715,3.3195423299134443,1.3154985485635522,2.1375754016816986,2.213057479942304,3.1809118607391524,3.710896869364916,3.921487089638292,4.611380652280289,5.176023316517032
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079762646080926,2.2110599886634006,3.245512012505676,1.3812480066681212,2.1392944294497633,3.790544832792748,4.226744703519836,4.0431134427950575,4.485229619667918
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.238751055215011,4.225824505765897,2.159441964372148,2.5554347212149833,4.126150940767345,4.662076182306451,4.018958637409254,4.384502454372541
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816858370362035,1.3631371474208096,2.124260987401277,4.569916082446669,4.592902112330344,5.366422064871696,5.774682569967935
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149699482980518,2.548877416245538,5.420230851400932,5.27365851227126,6.313238264563508,6.665050632980901
34N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009860086901105,4.6527456096709905,4.788365501875302,5.128500711573491,5.4562011268070645
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.473351686457599,5.525959804172037,5.849617329429079,6.06790750768969
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2087091579227727,1.3579093334196668,1.8781472598669253
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252253842090343,2.2792555132456247
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762513476693179
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
