 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,H23,C24,O25,O26,H27
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09384887948450027,0.02164988419131586,0.011592865580344558,0.009099436750399148,0.0015712938822829425,0.008965951248275372,0.00022610842794179575,0.008135712403907869,0.0005287835261302831,0.0007434951083267194,1.938534388412627e-05,0.0005017672046012667,0.003779751187237723,0.01753047817307174,0.0014864984257482172,3.5403789453436474e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.894765287527809,3.6016985238406067,0.13125069603912642,0.14227890636331264,0.0024706650772136907,0.0012152713561313366,0.0048132151542939206,0.013897801590604497,0.0006199969436156694,0.00012162504036639099,2.601377808475469e-05,0.0009253721293577266,0.004883651938481365,0.000283753421683533,3.406227524438421e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507490136554174,0.030017733691682147,0.031062857612797035,0.0015296978604306954,0.0007582919982595943,0.0030605950243117186,0.00879600363863331,0.000250199395654932,5.6674279664936655e-05,7.796267848192429e-06,0.0004900979844240927,0.0018084048543412987,0.00011362852201694806,1.5729916869711147e-05
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7952863661283178,1.7457766262305388,0.00287877156499719,0.0011798548629228106,0.03285550864220284,0.1038687036356708,0.0027957818613769114,0.0006340834308926624,7.622710166543811e-05,0.006315030180130521,0.04263176951261961,0.0024142999175256613,0.00020342624815439247
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040099896837422655,0.00036981506817157506,0.0003937850133861609,0.004273955273148111,0.0063206085600193695,0.0004958975556813572,0.0002506487840825411,8.87927936665811e-06,0.01661431714273176,0.14492293660239286,0.005086410421782928,0.00011186757104009182
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010209602880506541,5.5433488582279367e-05,0.000601610892141613,0.00040388153535331206,0.00010301294150916185,1.8477480614453867e-05,7.933125327985735e-06,0.000257598332340514,0.0011542909398229995,7.753291988088495e-05,2.586402064275184e-05
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.902007683931026,3.480643062170752,0.13331131522966877,0.28206362832157716,0.03153716553072816,0.027966820215253874,0.03231612381840959,0.0030687036192705297,0.006161315727155517,0.0012720486323081204
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457392850607181,0.024073569696717256,0.08130075149317326,0.0666481704596843,0.004908561213400331,0.013038915016439973,0.0026533251584889075,0.0020337620614842497,0.00035851633042338626
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.833468931232493,2.9064230656097836,0.10260851705506513,0.10306726972638902,0.19867030899875399,0.0285936137507683,0.03157081528261428,0.005197874741903807
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10002144774528665,0.029731774363561225,0.002334133979528197,0.007909437624330717,0.006717414436537061,0.000910060740144325,9.021021232258342e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.884654870521775,1.9942738722129316,2.720235437855314,0.27134554067361205,0.23572651240501857,0.05541364262230608
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029436143544041116,0.12238514091150443,0.03188254764706411,0.011653836078384883,0.0005734423851986303
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12484335759963683,0.034738733317491555,0.012376388254652149,0.00025226037452696914
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.420799424654129,3.468819587071925,0.1744346980953092
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002967278008015,0.06275515160637934
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6858294985558517
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
