,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23H,24C,25O,26O,27H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178763650441434,3.296661483519973,2.524621973664541,2.2481808843140416,3.5220541410164987,2.79572316211451,3.452982521211537,2.8731810682889494,2.775655214342129,3.615838481762045,3.97173755878262,4.60299686474992,3.436252988562926,2.8102570206395048,4.648093796494193,4.860688226536839
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.221927808835568,1.3791373006071594,2.0862601512229557,2.035234778508975,3.7437799189186043,4.801976647578702,3.597809670874331,2.906457389200728,4.7014001065363615,5.374846052170714,5.39637420648006,4.670789679604053,3.9030777957812632,5.990794216147117,6.188677815204339
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2790491196089815,3.172045471541243,2.484260622539528,4.582475214106235,5.662239351955309,4.556569447198785,3.8151592535916383,5.770085047333754,6.445827572293708,6.386648950836349,5.84572166662369,5.092770346971457,7.172371346765134,7.378707272376397
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016343835397038,1.0133104533147161,3.884899952101454,4.985531762551121,3.240199008736212,2.3779054508755113,4.082732929146312,4.950367781440951,4.623241758763261,3.855392184955285,3.0360196555149397,5.126089220105622,5.273430922685083
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7357129491752112,3.7904487740487176,4.758160618289969,2.999371543172295,2.3134470556282483,3.5250850292895017,4.38480298606134,4.13213822894345,3.0061849762530675,2.0638856226416555,4.227790096883232,4.301874720495853
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.756506865107454,5.89911813478261,4.007896716175365,3.051737675281883,4.789935760315472,5.741808333971559,5.162532295428211,4.52267358900987,3.6935912831302278,5.717326134863351,5.805893053702585
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2274248914309585,1.3742494061826802,2.0594810793269387,2.4496107286972357,2.482060704805377,3.2209319087152304,3.486875142982808,3.7852051218756464,4.582675375729697,5.286330062743045
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2821093424073884,3.1653324405162007,2.7853610477243707,2.294209393362933,3.574262922281071,3.8391016086999503,4.337314232067969,4.683990467260347,5.43421331889989
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0148401611788307,1.4406582321023906,2.052725857146462,2.114356666741296,2.4760911064771265,2.840313500774369,3.6424023749642256,4.346940816558888
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123234424184524,2.967432195149645,2.5914583270366154,2.7554961347047247,2.769067723371906,4.023835946136031,4.5925148120992905
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950915258517704,1.0989221210246642,1.5205285841073188,2.448227605358886,2.3620197039898683,3.2036894365404716
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7650745941920083,2.144419609090015,3.148955469893329,2.610113891287762,3.505076585881107
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129278828748982,3.120659933702147,2.5956768943046886,3.4822383231787932
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2161643241300968,1.3456061219506972,1.8793249284954847
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247745174853893,2.2874615418364765
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767180055142065
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
