,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25C,26H,27C,28N,29H,30C,31C,32H,33C,34H,35C,36H,37C,38H,39C,40O,41O,42H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185747561189745,2.5859603098758606,3.2150839817092955,2.9045956862298685,3.7348938928858813,2.743152962644397,2.376711527907433,3.55787864870891,4.483708828698929,4.255836689302361,3.7214838319408927,4.868910369745744,5.402620676623211,6.647850291036222,7.091099660624188,5.7674548828477725,7.5815757271696125,8.553726559804543,7.153493336580273,5.383081777102754,4.432823986011441,8.059730235066434,9.106452830489022,6.513651286467274,6.586858159447213,7.759160548165491,8.64027815000151,3.413823176155676,2.7052539037528693,4.753639491091319,4.938656167472612
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2902842183590415,1.2392289855574234,3.7525064317393357,4.921830493107245,3.380429229553905,2.4504696262624606,4.5059184856605,5.410813100045151,4.730009745560179,3.9558063993220873,5.584342326339416,5.427682976916012,6.7889313722415805,7.507676011916957,5.238266738676606,7.396295051902931,8.395282792294623,6.602961932429027,4.360165309798815,3.289919774591792,7.190640136156557,8.272983926338053,5.1783922592183815,4.955475720025329,6.5538470623769625,7.276346123563452,4.98063086571867,4.591628180906656,6.336400798716558,6.720945069864009
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260075504140809,3.4119221352867664,4.6241860460682895,2.6606810582722566,1.6028815106718322,3.6687471239845624,4.551247933613193,3.65280339087686,2.897543120097702,4.582173594204007,4.19398880312152,5.5591674785144765,6.328835288683604,3.9581176506313143,6.126778125419398,7.12758291717145,5.3343249320273385,3.1344054151026484,2.0664650828545494,5.97530995390757,7.0602047480221515,4.0949416230647815,4.06077338735623,5.436073028348488,6.2430018001207666,4.432732336751851,4.3358058845926,5.720261568520902,6.245920615979843
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.897246054470919,6.0611090429379395,4.5951461812459335,3.6429779131791893,5.728300188046266,6.628621191944101,5.840839099117808,4.9893069174154565,6.682902754949072,6.441536960046892,7.808164165677377,8.582485920713454,6.080317403794593,8.308392120881336,9.300864982485018,7.393391869394821,5.016529470934554,3.9625476495988265,7.813897232576063,8.889335060333869,5.592340041140341,5.139479730965271,6.998368018021117,7.5867030472454395,6.192118836348529,5.734569333856462,7.546659091126406,7.897107249066115
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2394257240151143,1.3520949921427923,2.063014047848001,2.4245303470107844,2.6815445595946046,3.7359640554975875,3.901241727143826,4.550709275037135,4.380006585291693,5.343509529774495,5.779980717159324,4.726983563082885,6.118825092263736,6.9731916762801145,5.823223727977599,4.690660968169627,4.183039186701656,6.723232773381306,7.635486734435575,5.741639964900382,6.075718877483853,6.666681450591584,7.557657816305388,3.0632123092834176,3.3052656926953454,4.126554112259412,4.7080193373650046
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2861083787771994,3.197210156305593,2.7840256388232025,2.662701092704509,4.296834404983897,4.685637433401909,4.92569904004989,4.951370335892066,5.682710714169639,5.926762989507328,5.495525026047082,6.521887300147709,7.2784055816276805,6.445205910692315,5.682790501478968,5.2947962412021665,7.41178215777084,8.234710395400512,6.734025628603398,7.153517600347203,7.520520148587451,8.420745495183239,3.0988121926369954,3.443808285859924,3.8476317944200997,4.370654443151143
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0632398326055477,1.436962121687635,2.0850352682563758,2.4564458640817732,2.5625415067472073,3.3573647468393775,3.191849521826519,4.296520781506239,4.799722638715921,3.6331796777242324,5.150955670867662,6.071740380517127,4.852883321721204,3.6878518518338166,3.1748364304879253,5.861173886678002,6.820844008544419,4.906203303232249,5.347544788843443,5.860456961272624,6.831768531472472,2.46647690856271,2.8894074025458845,3.6174909104795665,4.304728989072007
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1735257511569026,2.9987085427069573,2.6166164373467256,2.28372525076456,3.593110154649408,3.3129197670062296,4.595950266763795,5.238406362730732,3.4760635869898633,5.347508371495815,6.325152655882458,4.827121244719336,3.1822378638512836,2.4251011370817093,5.719309389225381,6.7517306833253965,4.383356462420267,4.682530129792052,5.512098415400421,6.44792413119023,3.0988768466420322,3.2724099159704063,4.347577409186483,4.968428148023677
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958564456621296,1.5592313098515918,2.1605230610312023,2.167294072969113,2.5772773883548012,3.452559324760836,3.702873986671565,3.560146064017111,4.576236564817388,5.43760212022484,4.650753902289534,4.097612996277861,3.806762232888868,5.882462670707297,6.756171399386577,5.423113125107975,6.067002362815936,6.18446826228031,7.2353259785257515,1.532201684186458,2.465187591626742,2.3897243571508753,3.211682337102808
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180742158541827,3.052869510352325,2.6224759157100603,2.6993452763326884,3.1890983269464,3.3007758827431717,3.7185190256718776,4.261775310213236,5.004871354908589,4.537976375239246,4.476517072629176,4.408632174768754,5.7799579544533115,6.538705296861076,5.700678570026393,6.441802358248986,6.256846354700671,7.293520803778953,2.1159221789893348,3.2164160127334194,2.4401086690244433,3.3706962166244714
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096545672340185,1.097076901614289,1.5062946117044516,2.5485762117604693,2.9388315017042355,2.6705481708048495,3.7118072481468896,4.625275779749977,3.787295558050552,3.3866751841330767,3.244850270786975,5.080423592469461,5.961375405799894,4.752227324627723,5.491207145473942,5.450567899052591,6.532546811883664,2.5171394024786435,3.32990513077325,3.1051894959064326,3.896645430386371
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765912408815736,2.154131412925515,3.379948814543334,3.8893143470460427,2.874409782193834,4.3764562010095585,5.3379069272391675,4.173729434904509,3.1677833719827007,2.748550087665073,5.325272530395476,6.293471961279279,4.541724199653948,5.121507004401963,5.450630743537846,6.495443425847854,2.8913272763064857,3.334701442616031,3.749389195065292,4.385519744772978
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12645645773171,2.6920984515351107,2.7027153356835005,3.469170892305603,4.008639563696799,4.800782405165667,4.3803166909834435,4.331972137896647,4.242050533530821,5.73416520156145,6.52031645507242,5.664606827080082,6.443303678394068,6.253885368073857,7.338268487403111,2.5481949519879263,3.3911951560626408,2.7131511114107925,3.4175093919875965
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3730973837443652,2.22261439531037,1.449494751501391,2.26322747386544,3.2287295546906405,2.3107574648202984,2.6331461105015155,2.99482056069618,3.654957093408456,4.4810709291391895,3.822922299793105,4.747237546485298,4.222819434235871,5.309277239953944,3.850042390231775,4.764317184145475,4.249537710852735,5.139629681526887
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0827130456973977,2.2591097757533753,1.38513332615835,2.1336448333800804,2.2523222383856494,3.655409910386674,4.240253188665183,3.624574466490561,4.162061367775525,4.5912796126083455,5.624076743284244,4.585512027236615,5.615020043524656,4.5841223958356485,5.646588746111797,4.595361717628126,5.506895367248292
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.323830904264025,2.1472625486990466,2.5209971585376247,3.270632932141699,4.702991346841167,5.205597306016993,4.596781202444534,5.001578169918369,5.673297665808075,6.701714970884665,5.6362897148193625,6.645575586342589,4.556188018358598,5.68065898809059,4.2465694761583785,5.11113688710162
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2617805962141238,3.2362746524562276,1.424635480076653,1.4101587241755342,2.190340916870646,2.478010003939155,3.465454527363158,2.4057123999878534,3.390553042504874,2.8054808629166326,3.893518114501369,4.973587510792208,5.756688703075245,5.567785059447771,6.454837575845108
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0070679621383678,1.3815080576212588,3.586623274162007,4.452083924565948,2.5202842598622723,2.855287907685785,4.120544972506199,5.206612965937523,3.7173338261472075,4.641812604210515,5.850966724968191,6.8899727911824264,5.933204922379231,6.862971265623698
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1305204854253756,4.5054505266194385,5.419945355593395,2.8766136705964787,2.8242295769598638,4.868750518499106,5.9517022325940045,4.222607261325927,5.008663575189571,6.655501438879404,7.740955194207999,6.591406548567702,7.512248203954762
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441244124695608,3.445706095008456,1.3998557499901962,2.174300784222339,2.759078364021645,3.846202638217512,2.3827345534431017,3.375044102609779,6.0678796862615165,6.972316521732738,6.4457837448470565,7.375015386781563
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090971686275526,2.8616493877253824,3.950243054656106,1.391517434030215,2.1397397496944097,2.44896127707079,3.4241957901998155,5.475542990756025,6.027383630780989,6.331157413007269,7.154139954399327
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.952142715959925,5.040721262373191,2.1542266354255055,2.4602526075518556,3.43178870458401,4.313662111359886,5.040861202959108,5.399097746909702,6.068170555314417,6.806173289557429
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0886006258825869,2.4384511610744326,3.413497964707222,1.3908672554916814,2.1455224325706475,7.345563993499407,8.193609269295123,7.799794514613425,8.731694187051575
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4325044807215392,4.319937587150654,2.1678828772385748,2.4926335285987418,8.20577907260859,9.116610698495279,8.542681415892533,9.487703459840512
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872483244406619,1.4104929230031356,2.165838052593557,6.83685196065853,7.380540845946635,7.6795244489884755,8.521887585264942
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1615709755611103,2.4802814239220767,7.418995988684418,7.823480927425698,8.3806942994867,9.17809832047765
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882582528758193,7.656918627280632,8.350052708469963,8.323753778260066,9.222885262014039
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71424122772663,9.381925471658795,9.399777894263865,10.300396530434284
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2092705431958024,1.3677472191046516,1.8716725898304618
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2482004635243795,2.24751548128487
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9757578943288687
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
