 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,C25,H26,C27,N28,H29,C30,C31,H32,C33,H34,C35,H36,C37,H38,C39,O40,O41,H42
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08158346682307727,0.012669823997088603,0.026933800289185794,0.0053080118983726,0.00045416297485700863,0.011567840548973418,0.004278405453955081,0.0010239824522140228,0.00046425749276757244,7.554017012489922e-05,6.560435739189074e-05,2.308868101597028e-06,3.347353244853579e-05,3.5957666539854216e-06,3.04185234112353e-07,1.2556111194106379e-05,1.665715763987663e-06,1.7445295186213627e-07,4.241519833581009e-06,4.921052295303596e-05,2.521519025622254e-05,1.0151884748399453e-06,1.62395944469651e-07,5.340438183898399e-06,7.920178521914067e-07,1.3218950731808121e-06,1.262329445417265e-07,0.005117115644851289,0.031031247637495984,0.0021758881289610787,0.00012738835917369684
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.196799660943439,4.907281406448753,0.0035022165548145023,0.0012811746018534659,0.020703012249465635,0.044898118046112545,0.0029645870333268876,0.00040075379494952657,0.0014483666764548153,0.002455718545753882,5.689903482575254e-05,0.00016808626116482372,6.843058381800216e-05,2.035011345435933e-06,0.0009782480737851873,6.527868442776641e-05,1.4978211152039123e-05,0.00021678597260754717,0.008457664124621012,0.013019830720109926,6.695525365191246e-05,3.4194017848321323e-06,0.001037239608364604,0.00010901673377672338,0.00022357679939086217,3.796485044271769e-05,0.00025255162383783225,0.0006932721362632732,0.00012026287896119148,3.371553961450946e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5737563868835931,0.01579951102937653,0.00465044479077565,0.17988737847439784,0.42114248721087755,0.01638400427902917,0.002864198746200808,0.007993186196825014,0.017568494734728324,0.00018412587408866976,0.0009035052307979352,0.0003089556345031441,1.1655078151262543e-05,0.005652849563838477,0.0003109387578857231,7.33359193244576e-05,0.0011125679386751464,0.05533472841423995,0.14155811412593544,0.00029477924442730674,2.1528601541698222e-05,0.006016599598123645,0.0004910118783918449,0.0011068812068839723,0.00015523118177651618,0.0005976024040021399,0.00015279113824012008,0.0003866793415616826,0.00020040610043403628
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016632037728570304,0.00047819489452085445,0.0076386701299290954,0.009492903113328066,0.0010284398904279596,0.00015209540324967463,0.00112654607596821,0.0022502962840815766,3.758314961510578e-05,7.530410515009522e-05,5.479338154125435e-05,1.8456013342049715e-06,0.0002199033842418402,1.816691916413371e-05,2.050974326039956e-06,4.55250018331077e-05,0.0015585390645915104,0.0012302551006996287,4.930851399882752e-05,3.508915584760075e-07,0.00027641470560560433,3.527608936726434e-05,4.3433530044767465e-05,7.298239403485951e-06,0.00020225409948618212,0.0005079548409299209,9.271425910371833e-05,5.642259998472898e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5518202632977385,3.4444503906814155,0.12873795583344005,0.2877238547919245,0.021563226939644187,0.031390376499578654,0.0014873943264555045,0.004179614359896444,0.0017442282627025685,0.0007439621251285333,2.079482656647258e-05,0.0006100409212993207,0.00019541121513358406,4.382040067030246e-06,0.00021145390047694335,0.0005978335054335204,0.0002274416912924071,6.724917704525879e-05,1.9330321112676074e-06,0.00016157554221463144,1.0476395058134358e-06,0.00010100624415709802,2.3565787532486837e-06,0.04993494539461199,0.009577358351437165,0.007249014302911583,0.0010242246849438974
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522460363917751,0.019890738024037846,0.07700294143651254,0.02504414207809802,0.009227585414311235,0.0008301729735372687,0.0012550182264318144,0.001227336245983271,0.00038434253821778563,8.261836068501616e-06,0.0004457007663963286,0.00015095494631785222,3.4577746822472832e-06,0.0001461162604649291,0.0005384508753628892,0.0002100101947494215,3.456336518506409e-05,1.0951208866405437e-06,0.00011270453263652336,1.2399073680002815e-06,5.576748891114591e-05,1.7299616906774062e-06,0.03722306473713331,0.006734975676213693,0.003996942877124071,0.0007124490651213566
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6074085944857048,2.588114262273306,0.10115765892231077,0.17584102192237577,0.0135885099330747,0.023126617544674044,0.012005057068501898,0.0037986040342623817,0.00010298406662156978,0.0037954355025180825,0.001010503379146488,1.7156979860044608e-05,0.0007400851557413657,0.0041467196796966255,0.001801931839632842,0.0001816899810548056,6.144071026836784e-06,0.0006256059506800499,8.065984523630831e-06,0.00027287465088969565,9.465213377746196e-06,0.2024593391760511,0.025908501242219953,0.029050675469217982,0.005304862515354891
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0939535826155794,0.016584999968661585,0.015523368374422808,0.008186050078591967,0.000614412041349377,0.0005449509476934677,0.0002218735389101223,1.9575555702644465e-05,0.0005199772127952862,6.791354394886095e-05,3.964384378996044e-06,5.58383292127429e-05,0.0025646359415103515,0.005157602313327514,6.977377692851672e-05,2.116950794217587e-06,0.00027956338459178554,2.0838500525144354e-06,0.00014643185171636652,1.714960466814297e-05,0.004193956800580434,0.0006533865806334083,0.001255251547957914,0.0004734201395681925
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0251264511425604,2.450898395457155,0.0829145055250029,0.08449129778589048,0.17441402104176743,0.04947588115300158,0.00032082761758900347,0.018309991726370406,0.01269504708672678,0.0001971275531916783,0.004040517310554104,0.0016442397460587066,0.00029623925247923566,0.0007230684497735729,4.945180658189052e-05,0.0015732086837805803,3.2728931727010746e-06,0.000682947165559028,4.252580655172977e-06,2.647559385021375,0.2533347321477586,0.21034851782626224,0.05416641323799043
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07557165640971297,0.028915059482457206,0.001835056178678851,0.017449667023318294,0.0050472693564771465,0.0002509276849209652,0.0008852404056050034,0.0008407408732852284,6.593742420890614e-05,0.0006203512840003977,0.00032193247065825936,1.9248069395461087e-05,8.26572772931744e-05,6.232653776638841e-06,8.415460519506368e-05,1.478577205782372e-06,0.00019065925221195545,1.947677004121573e-07,0.1132461427061382,0.027216631167891636,0.014718589849792574,0.0010440497201726906
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1412979344961034,1.7853752468159447,2.641931222232487,0.25839565395094455,0.006852846306986571,0.17985266197371397,0.048972256030626146,0.00260484319495935,0.032997865483410604,0.012306143933619965,0.0017819603571923581,0.004900081401380707,0.0010840151818203303,0.003580756453709824,0.00013667012005780244,0.0018921753182216394,4.743942870177875e-05,0.2018347116477549,0.04083183127057938,0.027323660187729373,0.0019788687711975728
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025319751465794127,0.10342583354930135,0.029628701994130147,0.0002518686848624885,0.009848983160255731,0.00492437147946756,0.0006618736582038043,0.001242040568235847,0.0024367480392284424,0.0016439820830420615,0.0003875241952494557,3.668502503728632e-05,0.0006098342041893634,5.039214743440823e-05,0.0003900733681272417,9.998628825114153e-06,0.005233980062089305,0.0011313032917816823,0.0010535939162409358,4.353266952317192e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10266820530151222,0.01960660546669879,0.002912888557711879,0.02236918467049298,0.0030426688308866634,0.00010056070628161606,0.002999262311214501,0.001135569758796473,4.8138162484168134e-05,0.0006144931835856404,8.957664889996941e-05,0.0005683059770997811,1.787494369476228e-05,0.0001765556107296007,1.7905165676790347e-06,0.020803450461997386,0.002873323247531756,0.010970542069506206,0.0001703181526406805
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.052335664950643,0.11608174344677202,3.2371223543672274,0.49726542066422535,0.025490335159354505,0.3364762476049207,0.2249103608177414,0.007599471783023115,0.04056108100963261,0.003782732535358768,0.07296939264317336,0.002814429220194592,0.02416142093100257,0.0003861636534208124,0.028073085464876885,0.00754681762414916,0.0033226623049772974,0.0005068365813800657
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8910189529934056,0.39125429515699617,3.3316642419029256,0.10873475499718943,0.4624325207816953,0.11161618824557298,0.0007463185750449242,0.06996582093057788,0.0006687467508146305,0.026464345312816884,0.0009275271285027475,0.0814591152278069,0.0009386086519820314,0.006248195504836018,0.0022124761208407034,0.0006802563837669806,0.0002316887359246067
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03115931289548879,0.09760041335840852,0.00476146595704785,0.027876735223547833,0.002962617109603105,6.338110240799999e-05,0.002774911677801306,4.497082515197981e-05,0.0010031306895439407,0.0001136827461605261,0.0009482191935832329,0.00010975991957828946,0.00010986499928633542,3.783098984233568e-05,6.063539185952038e-05,3.4685091401254198e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38564396871392576,0.03127153745136968,3.2556420427352477,3.4888717636627975,0.13150755995398766,0.28180327637225505,0.026812342378780052,0.3377336545158343,0.027825625915624208,0.23620628020601825,0.004035135076678964,0.00446351166008363,0.0010409333205387977,0.0007223444707697424,8.579699745048242e-05
N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8908194009112593,3.1676084744977664,0.045522689453387,0.003862970812283373,0.25466923209044323,0.007271430289900627,0.05132996391171367,0.00046359038370957784,0.06315754482110056,0.00310594962564803,0.0019380320075785828,0.00068123639645426,0.00020649243058606936,7.635066259792378e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11507756053534957,0.0035809024865283146,0.0013375598893097251,0.007355475472642259,0.0037434098412043593,0.0006073995056870007,5.6144528422397144e-05,0.0006345377449876732,7.034438634612172e-05,5.369844376890143e-05,2.2692151521064297e-05,8.924282056566035e-06,2.4303408856507502e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30311891373952266,0.024817084900160102,3.714798050630326,0.1276369597983813,0.22604221358254645,0.003964540543811568,0.35961091665550093,0.02842578162502707,0.0010972118409263432,0.0002777121534037197,0.000145787694649388,2.0968397744347556e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8081788192281643,0.31101361523143645,0.003546925617647023,4.094548286202618,0.12799516345202022,0.3239637023248456,0.025911490422497074,0.0004270380591059053,7.7595751753326e-05,7.457725456293252e-05,1.154939758363227e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003258300289455729,0.0006402263480393966,0.13054405262673852,0.009002992446074165,0.02490652572379426,0.0010068214744920478,0.00011809792940709052,1.622149725089006e-05,2.6079737330819697e-05,2.1070074438522823e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8786172468538718,0.3258453891888583,0.026489390649605316,3.8473012981277046,0.12757450116807578,0.0002505436980994036,6.264524725511922e-05,3.9258662327207317e-05,6.187482413766432e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027455265745127244,0.0011843492810681422,0.12039792728904164,0.008228090673343624,4.0830120602297626e-05,1.2328813133732908e-05,7.909630451718996e-06,1.4375541068645248e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8674443618741083,3.581187097237538,0.11894403691623712,0.0003526003246185905,7.876660963362925e-05,3.7036864550726856e-05,1.5484991429670636e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12395398296891424,0.008068669198829426,9.816627053460536e-07,1.210497700965263e-07,4.6334621650601093e-07,3.1582134685237406e-08
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13154732317615,0.00012514387567114094,2.4832951016573457e-05,1.2585032793582807e-05,5.678188712332499e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5262764854195865e-06,1.5546774079222558e-07,1.7749075764683653e-07,2.4742464299620792e-08
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.857121884787668,3.2562915326901547,0.16263475929032456
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5070367910605501,0.07948220980009846
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7180502161670945
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
