 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,O20,H21,C22,H23,H24,H25,C26,O27,O28,H29
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5444091068088407,0.020664648612745973,0.07194639567664189,0.05487732495085329,0.013177057737289957,0.0022353076215573253,0.002593915156241071,0.0005414881755040346,0.0014912466793171597,0.0002599236640573599,0.0014640303283189882,0.0004890469033915767,0.010075982919693943,0.0025444424001477353,0.0014792353877235431,0.00025579465078251484
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6145762131811345,2.914623407368108,0.09592712072878662,0.17782806192515513,0.023133477133124636,0.022284112409942797,0.004284725087666641,0.022840947653747626,0.0022902987328932145,0.0005925060023028728,0.007462078606030875,0.2001808316699394,0.03108122765388284,0.02900290061091347,0.0046341557666480515
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10009142550349548,0.02615167331730328,0.009864633449653826,0.0006991192601994989,0.01392707252597214,0.012458542149974328,0.0007531135420586477,1.8361090263763202e-05,8.187620648447691e-05,0.00020441372896162768,0.005373785862620162,0.004453119744934675,0.0011126437686989066,0.00011689070033171767
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7049872585461752,2.277534778818614,0.0916282535265105,0.2119848181218293,0.006949957255282135,0.16259335885410758,0.029899767021637436,0.007877712889013289,0.00647524988991921,2.708669009063521,0.2713461279623109,0.21288099224473517,0.054380353171763374
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08322345818546739,0.0032519066755125614,0.023638763035838894,9.584262244977104e-05,0.008150115138676695,0.0009370625017954826,0.0035299327659363833,3.0468326653432243e-05,0.11492668510290138,0.03174943489584714,0.01058207272774514,0.0005284132028384736
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013772732624904,2.8939047603823504,0.10522481405866735,2.8340306288453916,0.09685099201127523,0.0921111833634809,0.08652349546266636,0.1923954919667149,0.04313095959786224,0.03314587164301036,0.002398496798991956
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1018482281991907,0.02876188200094809,0.0812024534641742,0.006692621380037567,0.002884252260260345,0.03231287909253955,0.011328240603432738,0.0014733252348023695,0.0201960334000153,0.0004977563571975097
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5799517425176375,0.21302421969098578,0.009106917108752666,0.03328378519417008,0.008616788480272808,0.036607919054809535,0.005078594869462591,0.004253192367536303,0.00032634349083882075
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014628200470121033,0.00032043256575420287,0.0006390811965024668,0.005488757982711201,0.0006237065422202148,0.0001245697467660012,0.00030373812651707244,4.817711261173585e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6820040672999466,1.8301065288336862,1.9883003763615372,0.030046929268795985,0.007174196957052681,0.004819080636956963,0.0004309618828156614
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02363058540260421,0.025362900060327265,0.004338488459411538,0.001702884420812456,0.0002466661566720152,8.338546573960492e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586630901231257,0.0008943333850754964,0.0003935985112426543,0.00012817482276616943,8.629454969266703e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007126175168719051,0.00015349451716339946,0.0005039616235009703,0.00015863146148009655
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94089232415672,3.4358915237674874,0.16926691690226858
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5151237990607381,0.07850655637143023
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764718922905815
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
