 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09570687433113279,0.020662846502849996,0.028827072476795723,0.0038628734535661735,0.00929747228613964,0.0026139883575564404,0.0002891187394507,0.0011739013289535638,0.00016011112079039602,0.00015184212970209554,0.00024006831069200985,0.007118488915043408,0.001250084696893916,0.00158599485645472,0.0007432892434848792
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0029022308450277,2.70726172500044,0.101378257937905,0.08946106651464758,0.16689955549430313,0.003175293061529416,0.013408532915133886,0.03273061763358148,0.011823998766539834,0.013737214243078083,2.76531051643492,0.2700292607631489,0.2140524943622943,0.05542508314454475
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07871630614201308,0.004650777119789895,0.03550397052070409,0.009290816140488989,0.00010463460094234378,0.00592947288259027,0.000783021222098057,0.0005449419234830888,0.000697218303274294,0.10934007731135331,0.024595342770440953,0.01289010160401427,0.0009784373174186456
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0920912040747766,2.049961387096854,2.835554070159918,0.08439479105990477,0.08724266438253614,0.16941541376572172,0.048805938280846284,0.09766741604762111,0.2026608941547928,0.04254208224005769,0.02385083852806459,0.002221907094940745
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023740564889175753,0.08956525747810895,0.03446709100938672,0.0028795829086707414,0.027388902862861997,0.005329225392810666,0.08613321227830406,0.03203592255268717,0.00673909846472609,0.0031667097532128707,0.0011782172673364677
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793630064275519,0.007764501092577758,0.03390284565542778,0.0038688831371735954,0.0010558183497146878,0.0018771573951541498,0.011907930530536959,0.004885341592166137,0.0013462683410250254,5.316781422859407e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0725350850235715,2.020198294072773,2.43340271095024,0.31285964644697545,0.3003325293977795,0.01627715761477294,0.0035783077730964646,0.0116762649643158,0.0009235006712097205
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022903890084967404,0.0740439065653622,0.018723938226458348,0.02302017192402639,0.004704363695412939,0.0001452726806687732,0.00542051224011364,0.0004373933687433773
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07582252202120765,0.019141445248343825,0.018043399466136645,0.0011125926710833234,0.0003184856454143681,0.001867167742527709,8.598715086760578e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.803862632842913,4.628781552526428,0.0031934969872968177,0.0008309614446994074,0.0017175260364662992,0.0003277364512563885
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016054630649577,0.0012922142688439608,0.0003805039337294869,0.000343115646590772,0.00011119086972355419
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006388762232926948,0.0015142885262450223,0.0019024288150509827,0.00018752871345095734
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.180740758354109,3.1321782478586613,0.17171899717462813
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5167193566626651,0.07407691865241972
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8185823457511123
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
