,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962394300331841,1.1011770894667143,3.5163839330211317,3.7210935375667713,4.697673192568361,4.874094426839592,5.9229813161487606,6.255602880831107,7.102780682284482,7.248751290381013,7.042615937305124,8.484856130882777,8.76850591528635,8.658185560505018,9.656806383854327,10.75535926417279,9.478304077972037,6.004022110368261,5.632262069730499,6.981619662288872,7.236549608440987
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7688942183264542,4.189187595572764,4.090466521549453,5.471928256691927,5.780656804966055,6.589433491629082,6.801029424946797,7.880412542671766,8.063332896782727,7.898365614613559,9.19519851175552,9.45005912173886,9.27559245263682,10.442334645011385,11.520673972976255,10.319362716319507,6.574118627709573,6.2408321874066965,7.407619820368333,7.6146358109604835
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266234057988687,4.659269351631694,5.318455942130523,5.314726182726967,6.648328117000441,7.03952786918794,7.693234688602713,7.741518358714921,7.554921026367864,9.13940864771468,9.469360297772003,9.379633019415914,10.202071077687194,11.33167962712751,9.915444538341202,6.836901254324551,6.422064229397349,7.898734110999891,8.173916325824134
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23194925972864,1.3552940084023222,2.0419918738606997,2.4721296410614997,2.7774291397573094,3.7464978417303967,3.9418125999706053,3.975946631557781,5.05948644979559,5.459846400424807,5.15711024055528,6.281268878817433,7.377580103336288,6.205630612435388,2.987391072247867,3.1860403769210843,4.003109081052991,4.5785551324591305
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2766951876830377,3.160739204450484,2.8388513046628443,2.784589511898787,4.330642678168329,4.639942623721879,4.727556732802038,5.411607242663185,5.729194097275377,5.2994919076742075,6.779192210781354,7.797968390281319,6.853574789780311,3.04614482022645,3.3889353980017782,3.7076830542282995,4.241075568035998
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0117724418330143,1.4601209972118574,2.093165180041547,2.4471295072018227,2.6331681773527094,2.6842661998638175,3.8536766245773144,4.33790573774799,4.095747964508771,4.9809198702788695,6.101152528034994,4.883446066043389,2.4352488517453477,2.826953972520589,3.5697877567661993,4.259451543314878
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110356560360919,2.9041903675013594,2.4969926223732166,2.512191820765096,2.403950904149259,4.018887733220943,4.529706879404534,4.473692295995752,4.906046129007448,6.056599947465635,4.646256958777544,3.047263083915374,3.203938637264859,4.285221457781445,4.914412008440877
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939845524188772,1.545543950432748,2.1676706522551634,2.1552172718491147,2.6193276174612974,3.032403044161049,2.766850955248535,3.981394761429067,4.989531470378705,4.195650706045747,1.5258001360878986,2.4417719743569193,2.390415093053679,3.212676065078061
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179456530617451,2.544507945727248,3.0679911563226394,2.8433452440925775,3.3737612610931573,2.5492409825097226,4.200449350332473,5.174774772135382,4.429754197658521,2.1388714782960037,3.2444793739744267,2.4584462313691806,3.406233984864819
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097324829305463,1.1011356878043679,1.5267790586015773,2.1959595955714146,2.1611728353309605,2.573461485020288,3.6591271839129624,2.7478639927834596,2.529046214827663,3.2566216872191873,3.232251075373091,3.98320338527247
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7633656621916614,2.10885578815078,3.040398768198067,2.5577844097519185,2.5950353468222747,3.8284858610183914,2.267813251075853,3.4692406549628507,4.191718983788987,4.180865989072084,4.998703179268792
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1671915518360745,2.477235014482162,3.0676727133311683,2.9280825658200222,3.905370622627323,3.0619683139752936,2.729452009990318,3.044892189113495,3.6563837564970325,4.212295933895681
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962481575012062,1.1017194043422818,1.5871323626361777,2.3963103901406253,2.4069856993664165,3.1720405211240474,4.02950384545885,3.2839793666696315,3.976993868080264
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7604514768426074,2.2030692670396452,2.537673880115509,3.249132777711118,3.0371575438253733,3.743249724479308,2.9572827370812367,3.4240608246958506
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1872222748094887,2.843375972319348,2.93630400472496,3.3802621752413966,4.441517425323871,3.1686299600194263,3.966644310358147
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2508073375382123,1.2595261961265096,4.689556279159608,5.429460922567716,4.860754273360111,5.505817704619345
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277993480163914,5.45178027189849,6.149910557129912,5.409807295372842,5.924910787668152
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.201816696638115,5.9049573101827795,5.5996824001023535,6.326829147316396
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2153410033526877,1.3523428597498173,1.8677746177809866
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249106200076201,2.264107883239631
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9758640753482447
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
