 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,C18,H19,H20,H21,C22,H23,H24,H25,C26,O27,O28,H29
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09576062275041541,0.01897128926787328,0.007508400562097672,0.00032204056482121324,0.0014324033540573655,0.00012881607725390154,0.0014355733388129455,2.8396834213850752e-05,0.0015407676909275914,0.00022331127220032165,0.0004611487060530717,3.89661345225889e-05,0.03469126989667881,0.08085726540802674,0.005476878884905889,0.00017069485513920846
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9969631813839888,2.6343051073054364,0.09993434218584962,0.1536214550311793,0.03228154056486909,0.008528498220165437,0.007135892579895664,0.16369102240219927,0.01046257690731145,0.030417364312562478,0.005419948876622671,2.6268142461987276,0.2730901355623552,0.21579408842550482,0.05410527390116049
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816471127927696,0.004615031392028124,0.02585245442818962,0.0012248958571212665,0.0013211948929976458,0.0003477296807190555,0.012426769791044734,0.006436918785234891,0.0008380356539667844,0.0001861324113707763,0.11426977632768676,0.028911176303655695,0.010801827033805722,0.0008416443031966647
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7528354361213632,2.827979255160581,0.09036409744337504,0.08541272494077279,0.08179578405046173,2.764766253748574,0.08652661040286902,0.09300267827046982,0.0862197488892078,0.18181873737625487,0.04409657617585734,0.020669062507955457,0.0017160513227030272
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08123611199507752,0.005284712879436215,0.004061708622245419,0.035136151008902106,0.08863016829000225,0.004099167956364225,0.005771549138303245,0.034003908944449934,0.026844263804156387,0.004355279333930873,0.0026435387654785147,0.0009038968261430025
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0574930430281575,1.9489515110191933,1.7716914688463459,0.16612119288390484,0.031077672775583598,0.00810675077291756,0.009465987076778815,0.028324811993013954,0.008440175390980478,0.003645511291221551,0.0002933860864618998
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024216518601297254,0.023225963644690983,0.008099355008403197,0.0006163276755037916,0.0034656220418942674,0.00015447484987540783,0.0027956808175539916,0.0004648817160581853,0.00033959319109833075,1.779262376255808e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023780632466080753,0.031572614721683046,0.0026863526440192853,0.0005959378729238907,0.0004856560723238701,0.0011257086065057376,0.000704565618898978,0.00024509983072795727,1.2518353846635577e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009681608936517705,0.0005308763290352569,0.0001919903436271575,0.004503274079927566,0.011296179674098905,0.002872540914093502,0.000872819248156631,0.00015770793133218497
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0698346878407667,2.062275722825931,1.805867572746664,0.012184092881323355,0.00341169936839604,0.02093139834741352,0.0011831934200644545
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024243758059706355,0.024042713562366425,0.0005443899171819755,0.00013804319975074808,0.000534720579429715,2.8913323356638543e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02406579017626509,0.0019504967448191746,0.0009554339171704562,0.0017018873030671955,0.0003240903840913134
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004274703713334382,0.001369135606367644,0.025114084055053665,0.0009024635150614024
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.126456129294114,3.584429090585166,0.17666388364478713
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137504456846632,0.06837479218806841
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6343280465183736
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
