 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,H20,C21,O22,O23,H24
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7227374500221266,1.8729539190694409,0.01290109767754552,0.08251566488991932,0.00375083435886113,0.000488374186792262,0.0006119382133813189,0.00010776210802609931,6.482208186797678e-05,9.265756293963534e-05,8.269991144188582e-05,6.714650919989462e-06,3.926266715748028e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04173983791600966,0.030755225316158707,0.21306614130183343,0.006903542184367506,0.00024023918342752637,0.000414878721112677,1.8734146404186802e-05,1.6026216137499105e-05,5.8116599782720435e-05,9.825262026696979e-05,2.7942876885678203e-06,1.8937632728643905e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007665933185952989,0.0028050873686739086,0.0001479989709295415,2.196702851975374e-05,5.1428822870791535e-05,7.808244007367904e-06,4.548235940982082e-06,8.814062404494116e-06,4.40219667785513e-06,4.556236754549303e-07,3.3822346168221884e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.709683538663836,3.6279300246827697,0.1393238215398669,0.2795748423592025,0.023710704243194103,0.023048319886568303,0.030593796456547362,0.0066223877510895035,0.006032173798164536,0.0012373818166481199
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55589349113288,0.025312557909539457,0.07921303392626831,0.02042465878751043,0.01785060045264064,0.008291429777803921,0.004095327204442972,0.001189806148954739,0.00022380599402083146
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8123823517970017,2.8081430699670973,0.10096835364072332,0.10139760238899564,0.19110174734188312,0.05827298223555863,0.027924394010822515,0.005304432000212134
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09506492963143653,0.012679187986066598,0.011703693638036805,0.03371622960727272,0.08025071371176762,0.0053850696893945615,0.00017076722978615066
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9761387270088564,1.9693197704085694,2.7234017382651086,0.29101653068131317,0.22808426117706665,0.05428833799599386
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02416749951634345,0.1174712851389812,0.03436338589979315,0.011475660488658668,0.00041674465826391227
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11826102471331978,0.03444223165483873,0.011449736069431449,0.00042027707137548553
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999239876334726,3.461289013655031,0.17162029844910787
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124405856059137,0.06367620619566838
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6884486974614155
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
