,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098350318232656,5.042248077231687,6.258867443801006,4.315962871031667,3.307287264799662,5.2376136010439405,6.1627514433034865,5.808877602794968,6.642395572973074,6.617990473140654,7.342058121302707,6.120517499956936,7.284671489746772,5.044151531257337,4.2812251770610885,4.775680706955144,5.8612867793513574,5.04804846874367,4.18529594339379,6.299189020485311,6.379335117993504
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.864387526453481,7.059815556156475,4.993959188324053,3.9849339643925976,5.721218445814694,6.701348989904394,6.186591335353944,6.922420243662647,7.129732473147938,7.909592520064685,6.729819119909797,7.719386928821855,5.263465423171711,4.6067004063360395,4.819080562060222,6.007825525964458,5.328420091879634,4.381384374453416,6.473928051898352,6.4315576787955795
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2287013919288456,1.370645299654392,2.058739546492306,2.4599254086947795,2.485203843244523,3.5185797548028814,4.371914788108456,3.5456724652949525,3.5380755341710737,3.0859033340232025,4.611842679137174,4.276236288646888,3.9120741938961237,4.764749487032403,5.186144100120038,3.535428999965234,3.879663120624444,4.59915271099493,5.313353400197538
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.276742205361321,3.1617796673773695,2.7909360192679644,2.3106647873691917,3.766170328422989,4.435493015142752,3.524725684933219,3.1390527523124905,3.246673100569804,4.583096281330986,4.858834409004756,4.688324221399194,5.423418851375091,5.672591383884951,3.974630702615863,4.571125782556853,4.7615730931576845,5.562225794878559
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0139942018359807,1.450577536910783,2.0526020887535985,2.5226899614031106,3.414751185484015,3.048259952980249,3.3568391013403946,2.7802336306524906,4.067560790641054,3.0686589319091917,2.784123411304965,3.430393471686641,4.072318616837972,2.429635223283007,2.763415254046876,3.6180131360748655,4.297895582683458
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119970510209302,2.9309066075117767,3.038371110777604,3.9437685067106063,3.748219649368512,4.235521783817297,3.396810414948821,4.665236263702499,3.1003970142626898,2.6136177232302953,3.260890453332384,4.145178097926359,2.5910252840516415,2.481512170384983,3.9175274824803696,4.423255645343531
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949350154886495,1.561216086903401,2.1398252936500652,2.5426163937863393,2.762729545813494,2.8345939428746263,3.4997067740214765,2.5707358852970614,2.844484731161824,2.8377779128743468,3.5216725333138497,1.5231680500097167,2.4436632157510583,2.3791318944525552,3.2124215042989057
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1635351123819366,2.4487778253072547,2.7093838009289697,2.4730187844537768,3.1128966378521636,3.7040418364134506,3.493691374625784,3.822483768423723,3.828330251802546,4.319752227354429,2.1341474514722316,3.1591279230691085,2.574600964951721,3.4784838019414015
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979081143395757,1.5346268194314696,2.1886879597806312,2.1820056706743616,2.173391094034773,1.536031551758094,2.1829506670459464,2.1993317491870346,2.1755772656677217,2.538801048618948,3.4655072599894385,2.9701718066539455,3.8212100377082017
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1499526311333517,2.5077301976943134,3.071130613265044,2.4862614968740333,2.1527521306368835,3.0734408760982905,2.504807199878661,2.50517566506687,2.687506976878283,3.7553680356625683,2.577233070831231,3.423781915015711
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952638395439682,1.095771491702047,1.0965203083509614,2.5348528529397463,2.8106473939659966,3.502244436046767,2.760650426813436,3.88803338530549,4.814055947738053,4.313527486519729,5.232785699570591
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7689503006746228,1.7767778443363205,3.496480075618703,3.816247495539345,4.357121962366949,3.7735692261684344,4.146640710794549,5.185170178035285,4.414198351386439,5.383965486504404
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7721150843186284,2.795897142591249,2.626156048124586,3.820397015994827,3.1102367893426752,4.264795202123503,5.004047858858207,4.962018844195733,5.847058723299792
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.776818891835969,3.1605363799594683,3.7773438307184777,2.550388995631492,4.6956145864657675,5.619507847207195,4.966379782084197,5.849641531391582
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968708753662337,1.09706069290658,1.0959889357713717,3.0596336771529344,3.5578438029684913,3.661851611141681,4.2643073002323515
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7748808861026106,1.7690886297246322,3.4767973216307557,3.7385625508098967,4.37016295741746,4.948941829581834
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7696921347852526,2.7360970157691047,3.011349149217016,3.263213757670245,3.645055808135203
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.040967058071001,4.5867688248035146,4.42752002120798,5.016497562318754
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2141767148403353,1.3522830870362395,1.8778170803037584
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249993273821524,2.279659447381221
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765106713695133
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
