 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,N20,C21,H22,C23,H24,N25,H26,C27,O28,O29,H30
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5469338383064083,0.0257679285069784,0.06797641733215332,0.04271760307318895,0.013771214538730772,0.0035971450320358977,0.0005989166673195934,0.002140218327323057,0.00045984967590780024,0.00046011862572838125,5.011755084893821e-05,0.00013821920252149456,2.0810265586646004e-05,0.00010245822312039687,5.022935240961424e-06,0.010554928324050333,0.004098697743290511,0.0013970647284481663,0.0004224383664499509
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9130034636560356,2.5273997404465773,0.09185667236607276,0.1974897360079918,0.010562605154624594,0.00730470975063624,0.030097117419473435,0.004802559307157062,0.0036118237300060696,0.0003605078590868116,0.0014781885696581731,0.000219444430994864,0.0006383270092293336,2.6709364185473206e-05,0.20831488343346766,0.05186845748189983,0.02837481685132799,0.005361961064926146
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09695351947865827,0.02778321041152121,0.004851143825397974,9.317846228551474e-05,0.0018517828985282758,0.000663202619065828,0.00014717997427238227,0.0005525899006332269,0.00012725998165774577,3.874680650750584e-05,1.311009222026982e-05,4.691825337388433e-05,6.3720845095982526e-06,0.02509688977111868,0.049880667503657716,0.004000479209153807,0.00012257074149335523
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8417422329616036,2.689802854078696,0.09450553611091461,0.08488350966927571,0.16702551736364682,0.0269463049551589,0.024302737922328593,0.002817550860593432,0.00678883986863732,0.0009671650475684412,0.004854347047325014,0.00020429691049150822,2.689831035689377,0.27369240623318025,0.21506174399423525,0.05436416594042115
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07926459175847467,0.004967215719278384,0.032659297494545436,0.006069776182005215,0.0006202491625626472,0.005707087035125458,0.0035326201590533124,0.0005758735012317828,5.3160647914163306e-05,0.0006694322382109208,7.783531236427166e-05,0.10153210874754404,0.021090995113589917,0.012153843609559956,0.001412758950372739
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0566097369509513,1.8580924289951537,2.518344716370888,0.20449167347280137,0.23543124201585558,0.0035913054314045123,0.04470986235410179,0.0023655464094707312,0.045789599110134915,0.0025524928723097418,0.18845385866791603,0.039745774032533474,0.023693788433233054,0.0025117966488623633
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024395695259002537,0.09584524696282637,0.014634813656960177,0.04231119759279456,0.00013674435752264458,0.0045378547259120605,6.415179573227014e-05,0.008908423442859803,9.60113829271414e-05,0.02860517289746123,0.006053463511793589,0.0029677213468078945,0.0012177484834641206
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10707978151757125,0.018897530821435637,0.0307786191447188,0.00038498331335623526,0.0037549888185033353,0.00010956532091221938,0.005075369125970841,0.0005836406381827253,0.01182846633054635,0.005704264535425718,0.0013236266060517865,7.37964737682617e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55624390839426,4.141994074851113,0.11859584731036721,0.5465257271995799,0.036735565211754695,0.501811336705294,0.029411274992413472,0.015913920435748352,0.002991716256123364,0.00684654201546836,0.0006459661132921513
N20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41737537763313454,0.02644646453956767,4.002000719247423,0.11173623837544944,0.5394471495511348,0.03171806278300182,0.001546551725147144,0.00043576415490444165,0.0007318351339323514,6.007419785758472e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0092777399366115,0.6248302763035001,0.029402892645464362,3.42660752795385,0.10940725619836789,0.008185439734218564,0.001282696901462238,0.017123479806894104,0.0013473051188094276
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03029154684680191,0.000833251923542111,0.09940355381498245,0.004720882687523575,0.0010186738483044522,0.00031793751965492056,0.0074241368767336,0.00021016784052418913
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1515966017385555,3.4881791518909506,0.11521275647055174,0.0017988073561721885,0.00029028516327377074,0.0018004633757909005,0.00030313635477274836
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10333448722229721,0.004651317070339722,2.620705894118558e-05,1.4469805042383044e-05,2.208586663388079e-05,4.028032781322466e-06
N25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7674803852504777,0.0011107669352165561,0.0001540426605845524,0.001408664914621452,0.00015183818886310707
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.247200106868629e-05,3.64131458263639e-06,1.308318958748167e-05,1.7184354923482914e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.183540549459719,3.543172160173936,0.17459650241634062
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5226361636804642,0.06748156155322638
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7473741346089668
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
