,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1328366979504705,2.593311651887474,3.2504671189214434,3.566402085327081,4.09123230020419,3.570289539082139,4.313092911565183,4.043698085878263,3.7736875830504855,5.141321361046288,5.026990770088275,5.860893920540658,6.37137535033539,6.717846722430211,5.270163348584952,6.0341837391151065,4.358254298129976,6.320942859431005,6.801059112707034,7.151972544914624,7.925595514121139
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2329617971253926,1.3573719083938482,2.0997606041885986,2.019923562336169,4.593527517095816,5.645939199751577,4.475532738764801,3.731867064514437,5.537195410875269,5.653102215160498,5.705873775130775,6.061030189473231,6.61723668629421,4.688067253670297,5.320196845069355,3.552259117684686,6.88102311591433,7.302148001440262,7.852342001220485,8.659217654605277
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2853479652506348,3.2102074677111414,2.4954916876249444,5.531070001802977,6.542439559935853,5.57456466616206,4.871831360345244,6.711226590163962,6.819682061583353,6.924767518170763,7.236505588772882,7.847725803968555,5.90374218112908,6.4984718488338045,4.746686529588077,8.009025062035004,8.367686499526748,9.000332325781477,9.786575855197592
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0349832781084638,1.0113946797040865,5.001757008941857,6.101260562924239,4.507342685920853,3.59575697566553,5.336776923566711,5.505178790477939,5.138119985317089,5.4758055125906795,5.983819965308295,3.8777657918495847,4.3340317066650424,2.796585283014772,6.7586989119274925,7.234627212258573,7.7020273121245255,8.538475582650074
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7638467415086643,4.527164448372406,5.622014465826783,3.8078842362043797,2.8557814213847226,4.481185292214932,4.703189983229974,4.142242344211241,4.492679671973463,4.974219125669917,2.850243539307917,3.36214059762976,1.7897887371079726,5.914601979415221,6.4270598945573365,6.838943809492566,7.676829474657815
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.969056986279624,7.091345669775333,5.426851217097146,4.469233907054315,6.22457081705455,6.431107757961907,5.868888935280446,6.127137328570576,6.682217776280268,4.5154462338693975,4.8199679304753476,3.482998573369342,7.635181951923094,8.07120442497839,8.592579715915619,9.421443735493892
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2370712549113654,1.353968520973923,2.106227905825051,2.4353570924909356,2.708338967285054,3.7354053986446676,4.0529678509132525,4.567336041460306,4.19547742516414,5.304982912993422,3.763955943326704,3.0343820719888557,3.3452474519870594,4.013519337557266,4.607579561560501
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.276610842229123,3.2027735185637685,2.7786844466903142,2.7684984696420427,4.294099576045736,4.693546088332719,4.916976815010495,4.9935250846379295,6.012127821325563,4.788925498237805,2.9386872898775436,3.3159259153704097,3.5945965117147534,4.094810552601213
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0351304121321567,1.4499200904977951,2.1030521332328522,2.453101319326874,2.7483830423679594,3.3872392484120937,2.9484814030750734,4.111699029615702,2.6420843880398737,2.448506557836691,2.8832499204887805,3.575416166499062,4.264463287347126
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058939922982457,2.6910629804803055,2.4211910831447008,2.6505800737434884,3.4725966957352727,2.3892855823762056,3.58798342758599,1.7349769288844736,3.26077765866851,3.646159074465939,4.3877168431186,5.1092259157916615
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979213079948509,1.5526867923561167,2.159543003193688,2.1709754533785994,2.623819312856092,3.58652333365227,2.9841843115865045,1.5235251624372648,2.4501139381307144,2.3845158933305837,3.204168943314882
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181818859518338,3.064641454080745,2.453917713977648,2.9495917913968923,3.667831586362558,3.425601364169972,2.1251771033913256,3.2474560656973037,2.4155935840258826,3.36141882492705
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0988126619820733,1.0931630232966563,1.5669326440578337,2.408226255073007,2.3976891487578236,2.506281983684568,3.2269973091017135,3.2005227393316016,3.9558239123931096
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7786860801085316,2.1724311927056985,3.051983517713303,2.712295020702116,2.655829263667742,2.9607554595808225,3.5614746366367274,4.112227262129217
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.182416418462946,2.5054765701073096,3.295048138468544,2.769168232899522,3.6156132867095088,2.998774969510401,3.7371599523166568
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2344498844612852,1.287791788060953,3.934149067624075,4.636172997749798,4.628969084347941,5.456961835347748
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2670016042989722,4.829659412268841,5.629210128593658,5.2761179798785,6.122087067618079
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3502639668973915,4.871221325097016,5.286035231156809,6.085934418056022
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2119268802511098,1.362305063740781,1.8674655700594216
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2495720982482084,2.2507925838092433
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754765427479127
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
