 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10064481608051734,0.01796412256520452,0.02412269308700765,0.0010499884745009957,0.001337760631703544,0.0004497744612319554,5.402521795438986e-05,0.0003674503676383001,5.7472062413133074e-05,5.481612344837572e-05,1.7951430118179346e-05,1.0433151250488493e-05,1.6912930722590147e-06,3.5831449110013125e-06,0.00022444081040573494,0.00019336202251429846,0.0008810868017193885,2.1114178523129468e-05,1.821404262636328e-06,3.599509401874812e-06,2.585967997514871e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.278756170761489,3.821064666758713,0.13442175916321875,0.15317701003789963,0.001977917005715202,0.0004500917055737519,0.0014253799881975004,0.0006646679252939602,0.00018056129748586502,4.0862615123815615e-05,0.0006805209479718577,1.135060661816567e-05,6.622366591035878e-05,0.001781476444857072,0.00030890834237388975,0.010914612787051178,9.935682604783613e-05,1.573954417208312e-05,1.675714841925524e-05,2.5601503720329433e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5741113448246307,0.025074640866831754,0.031112629607716324,0.001448682388631689,0.0002240750462402137,0.0007151910113754045,0.00041792993010525414,7.350869137405514e-05,2.5087921330713137e-05,0.0002573219659943726,3.956804443983053e-06,3.6856516670957795e-05,0.0006272249496182547,7.997931797215294e-05,0.003361945918196378,4.632142378205306e-05,8.626286447597706e-06,7.057552258958599e-06,5.481821956365707e-07
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5077055293121093,1.8871815889602588,0.0003081100508396939,7.43213264789433e-05,0.0003535545221928782,0.00016008906831610492,0.0002603584829959371,7.566121579594132e-06,0.006037970702569631,8.113172811152758e-05,0.0005603517258558899,0.013538808338963981,0.0021089893021343925,0.10661664577285705,0.00016844987756969854,5.909719489276266e-05,3.7271981165890034e-05,1.2999947350822438e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04049242560784139,7.01588460177982e-05,5.376774366161463e-05,0.00029782530712807453,0.0007886941447508011,0.0005286768129649788,1.740814226236509e-05,0.014392552414329352,8.232419708509298e-05,0.0004203192766980557,0.02729454620255556,0.003665641062721936,0.2975091570702214,0.00033624621266314936,9.789321426245667e-05,5.8830857833203076e-05,4.301224810321358e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8131046247659164e-05,4.630039217023985e-06,1.0824895531724721e-05,1.8328679794565872e-05,1.1258641126166147e-05,1.5994782698314225e-07,0.00013128721952992972,5.259687649195044e-06,2.9813017168534017e-05,0.000536029283842554,0.000156523285143928,0.0021098015274682025,5.873947400036883e-06,2.122705458851293e-06,1.3355946731907764e-06,7.170640703435538e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.584018784175268,3.6808127087904836,0.13054739167011664,0.28263758936913713,0.028166419846133994,0.03025371744675659,0.000932823780283476,0.004240633128042015,0.004019957255221751,0.001537717296216115,0.018885477069718923,0.041911379762009676,0.008714979160745456,0.005266225747671133,0.0003936587028122718
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507610035171457,0.023715244881284403,0.07378821346752858,0.02191806331294699,0.009181478694163484,0.0005697792496377474,0.0007575005240028077,0.0018955487800149246,0.0008447820576526766,0.006777241067508183,0.05772713728720304,0.01178898765967406,0.005025615451784128,0.00025475412600572955
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6757362552521107,2.7607654780859847,0.09534419336619337,0.17260546922232503,0.005938163337764646,0.024515435046228884,0.02999964928470361,0.008675334466840198,0.1413909952327756,0.19418948209359305,0.028484869553572725,0.028412380495190417,0.004790262246487265
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10137729323469902,0.005752500277947714,0.020112968484540028,0.0015628857768446025,0.002081983560958678,0.03979555830477721,0.00857110802341654,0.3020414140990386,0.014001388276813631,0.0007427310034789913,0.00255569928209487,0.001051920818153862
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9729120047339546,2.6410635792587835,0.08493488738434385,0.09677324934156006,0.150765268802055,0.03910091299201909,0.032134603253568414,2.735428367714833,0.25925847489606113,0.22335890186564158,0.055484463547244234
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07781390049547543,0.03432988407652604,0.005539617737724045,0.005664892264985788,0.0017878406982821948,0.0007733517294234993,0.11091186098098316,0.02337501543232079,0.01562347891591409,0.001254355483548908
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0221139931371406,1.9497475950489156,2.6692460294054863,0.3033894289394614,0.26554510780217544,0.20926807989734042,0.04408777329481865,0.02520766741397852,0.0019873960707260663
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025212071272121106,0.08604814116919779,0.027904295439138083,0.012650124344997793,0.016156120369668736,0.006762775907245611,0.0016513218906444305,7.685858928319078e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809967830011169,0.020109862302778336,0.02096928159213729,0.007615925711139004,0.0010691966639300166,0.0037217300329637215,8.478921587684596e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84100204845393,4.043487421739871,0.0314330712969397,0.00863774719327752,0.004855886431887141,0.0006688625596199538
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5711362518805873,0.011960440566242084,0.00410157287013806,0.0018501765711912352,0.00017609621668546183
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005520204901430528,0.0013547346706987914,0.0010488741308158772,0.00010715470931443871
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.822404548899142,3.4887030160021166,0.16865754930189236
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092009388023702,0.07946470554459273
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7908376809976763
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
