 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,O32,O33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08196611909917961,0.007646327457947466,0.03294746290908579,0.005457330658836135,0.002912752492815196,0.00014455635449106552,0.0008145852380387897,8.1699604653096e-05,0.00014845168238397655,0.00011133112817685031,0.0006954713018398895,0.0002775635985503566,0.0006248848710186383,0.00020015385750049575,8.060540700194352e-05,2.091434907458556e-05,1.9206452997577728e-05,1.2860777658385558e-06,1.2931323309928189e-06,3.643357038818351e-05,0.00028167261342049166,1.3502701189382904e-05,0.000101083626794507,0.0004388855970630656,4.613372264394844e-05,1.2102242718858847e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6860721894378248,2.1220762677002596,2.7346382526090767,0.07951169443258088,0.08629859545193463,0.16260689140667778,0.0026669676019848154,0.0246982466255804,0.015491980493588797,0.0013788616391389175,0.0003850998137181899,0.0016149789779806717,0.001239920644705128,0.00030866437486115617,8.525120215596704e-05,0.00011697800125752555,6.816551540334004e-06,1.0011798025733043e-05,0.0006832207172301763,0.002147758718480511,0.0009053697089142915,0.0009652525670990342,0.005062115507892359,0.000329049686654731,1.4816156650998558e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02409423298182367,0.10579746109051347,0.0033845778335579446,0.004492404418054763,0.02919256986322205,0.0002643276749791923,0.0015629698756014498,0.000583498200263044,0.00019790475181369338,4.793622741017245e-05,0.0004982333724155019,0.00046362868589899797,6.450193342755206e-05,1.9041886113013717e-05,1.806473208043613e-05,3.2549326756114993e-06,3.2322270329121494e-06,0.00015580916404744904,0.0005374846603337646,0.00023960076614726322,7.525699049049095e-05,0.0003203435239106378,2.7671130242379327e-05,1.1917854587650822e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08984278839350779,0.034258924996990014,0.00483760938275557,0.008535415655113399,4.4301178631300786e-05,0.00032434440640338735,0.00660655188588688,0.00010943583990008499,4.1740342703766586e-05,3.023621038678037e-05,5.2236003340588866e-06,6.671015608294972e-05,9.706025875244606e-06,1.9138192981715818e-05,1.0352928125900718e-06,1.498624606632859e-07,2.069106158031353e-05,6.889029255174872e-05,8.487227317077739e-05,0.001088051938369805,0.007497048369913273,0.00038201879366039915,9.503261865662083e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1195366559443505,1.8403120144698601,2.46064435658516,0.07006532036894131,0.088771155385725,0.08487601726632599,0.0002046947931099441,4.05660636334515e-05,0.0003196622690364026,0.00014956023213341663,0.00029123069833220105,8.82146379932447e-05,0.0012470496121473607,8.622991695950155e-05,5.211829511786448e-05,0.006172250889523084,0.016110879643823836,0.009645515519310768,0.0009281689514774594,0.0038942998640665305,0.00023542570195438095,9.73071072485343e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024845555356495908,0.09085529277018067,0.006335464303065974,0.002231717701518532,0.025757636713253707,1.2207624743520995e-05,8.981425164478196e-06,1.2142079254817695e-05,2.890990204340582e-06,1.0938467233767568e-05,5.570983958591569e-07,8.767058310488185e-05,1.5747088269346676e-05,1.5069496843711505e-06,0.00036990148101523346,0.0014418950682065779,0.0002793736672614955,0.0002603058452812501,0.0010166554756281254,7.294683361258603e-05,3.2839362915648707e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08971643203853497,0.01820234196632442,0.007354663430721331,0.0017795504794293482,2.0970319922541947e-05,2.6456154390563924e-06,4.365326279320847e-05,5.0181303614671435e-06,2.7665425861744808e-05,1.2989956888809218e-05,0.00010935087153107759,1.8290851308444545e-05,1.6059790842959387e-05,0.0008090729850320777,0.0035486944403900766,0.00023821489249042926,9.963875463148142e-06,5.9607331318711765e-05,3.427614602036222e-06,5.405294434268626e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3917571145319605,1.9213889515536668,1.797696997439535,0.00016863649104642553,9.831597092527233e-05,0.0006626506509407465,0.0002448244382287079,0.0014638425638192898,0.0004733065786284296,0.009981586821304164,0.0008516764888512052,0.0005580274577814404,0.046633181183577704,0.2350453946868868,0.0581481368606525,0.009082121596861309,0.045996064510451615,0.0027384893423958445,7.162740336474904e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033142294451512955,0.029892002192017264,6.3055660494582e-05,4.453600445730732e-05,0.00037339956415838316,0.0006175828666470373,0.0007521888693713397,0.0003454991062308288,0.019049035165789707,0.000270554138730672,0.0003992319093033547,0.08026761646692115,0.5435025614712625,0.020783874756801768,0.00029572399178057207,0.0014008255158768357,8.703544222044002e-05,9.426536001333474e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03255312598575544,1.04897239083801e-05,3.860032311231443e-06,4.0324325614182754e-05,7.382585805792985e-06,0.00027382072340997876,8.856322061889799e-05,0.003386494605266299,2.8352267507525397e-05,4.789427612594821e-05,0.007341693599224652,0.0036323380816966067,0.03981212451406313,0.0002860669829538587,0.0010279153573469202,6.3613505285387e-05,1.7117367150820684e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.919698639364704e-05,9.83417578014345e-05,0.00014215320985155877,9.776609457778918e-06,0.0012140296882959811,0.00022832278777018544,0.00102425282280183,5.131050065054765e-06,0.0002319126934056115,0.010021753980357206,0.003082968592306945,0.012095765043732887,0.021017698151742814,0.16107238564743598,0.005007581005755046,0.00010215183495887459
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.936398915152823,3.5017354342823697,0.13246611431914213,0.26753834109821834,0.01705646997411403,0.029857958909623533,0.0040943450560910755,0.0012025779023019378,0.0030570753060011613,0.01014577381951165,0.0015858647852632912,0.05496723420203739,0.01570963332633596,0.00784145349157439,0.0008126324521046113
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5383544924876892,0.026402037741833362,0.0738589844748729,0.017257854968500408,0.009968251132832812,0.0007711182822190965,0.0007902805182630201,0.0022338468338616024,0.004144360977378567,0.0006590802156733258,0.0599619562326556,0.012327974961797238,0.005900896758082558,0.0006360466371473361
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.718597087021305,2.7869092592824654,0.09859112143747328,0.1729374620045962,0.023653491182092035,0.010897714752392207,0.02405117188230635,0.07374008950269882,0.0073353625724530275,0.18465451940335423,0.027285790488276354,0.028320147927887743,0.005003206355033818
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09884714904579439,0.015397983010249305,0.01850988015177657,0.001524924019072449,0.0027719254556530792,0.024522872180278488,0.17143063976578188,0.006113998161703882,0.007197276046917889,0.0005415739484199156,0.0015759529151135876,0.0007393641616593172
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.059531472263435,2.546632840130278,0.09434987886040136,0.09581527751980379,0.17782163292543163,0.031306125526519915,0.042330298922501744,2.5138594885354606,0.2527108243575451,0.2226034941534834,0.05548922597109207
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08426529786652792,0.004952651278796738,0.004624992064388156,0.026266376576317807,0.0035172933650247096,0.0037727462175394244,0.11119165214875504,0.02271841710874567,0.015298938213454849,0.0011185074951240992
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9309350916422385,1.7830202444109113,2.7864936373308278,0.2498539587265255,0.28899563736216816,0.1967415156489512,0.03997470327612604,0.025339113464323243,0.0020422275716974747
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02785611798826415,0.08970165303484867,0.02291609528781835,0.01704016480142656,0.007021791622790818,0.0009900362783160643,0.0036423047422410315,7.7222635692209e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08956174940970962,0.010247494824975556,0.029676089480676904,0.03022925178345348,0.005389414273110016,0.0034071576632839218,0.0007312142512794217
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.988661025617141,4.733408835814981,0.03449025801251082,0.01946476152662746,0.00463032757095011,0.00022285385800169255
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625908710688253,0.0053286720059176895,0.003019343726313392,0.0011032476949223852,8.671300439411223e-05
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017704525035935878,0.008155128415279336,0.0012620737143574992,0.00018197295123034696
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.942228472602072,3.6446645296978066,0.1694967920097442
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5005233432193841,0.06611779049485056
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5656840784964658
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
