 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,C24,H25,H26,C27,H28,H29,N30,H31,H32,H33,C34,O35,O36,H37
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006386184855564303,0.002094188106437786,0.052361834027531994,0.14495272463871756,0.004949787438166098,0.0012776097645260664,0.0005750336236995252,0.00010852636709901553,1.6455141128357553e-05,0.0031218569899457843,0.007146531941662149,5.239598185280414e-05,0.0003484982577326573,0.000111517438069475,8.425463936090338e-06,1.9837412130116472e-05,2.5112326993426137e-06,1.0056860581642013e-05,2.5230797272568495e-06,0.06823432448428723,4.620721659742699e-07,2.5757356469924275e-07,0.0006485483480102305,0.0026507043716543985,0.00023796265464734456,4.4893389225308944e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.843613879593603,3.5790910395786972,0.14441844988433938,0.2741922797372648,0.0202278232704054,0.03252578549087473,0.0037157783435062264,0.0010865900729080114,0.0029645666338695975,0.0010304455985548078,0.0001095342659660492,0.0006158914555439432,0.00014004127810984812,9.45532584895048e-06,0.00010874261968280008,1.5553164792292407e-05,8.487582117355785e-06,9.124482983235982e-06,0.00031955354648594003,6.211761347518774e-07,8.71172721517155e-07,0.04484415227698746,0.016313953699339717,0.008458861031024167,0.0012901767822253163
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5329137452647241,0.024402742287213397,0.07133803117255327,0.036251344224493276,0.007449485674881337,0.0008255487761099634,0.0006813127656399853,0.002689549531484328,0.000711953692772882,0.0001373021448252132,0.0005116944272197665,2.29006648850838e-05,1.1890971287620289e-05,7.585443042383566e-05,1.8364335435228085e-05,8.405342924344694e-06,5.49886394643484e-06,9.354519602811084e-05,1.0326817223571538e-07,4.5501704937223053e-07,0.016979525260901684,0.004082147638778899,0.0028691291714062622,0.0007976988758635617
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.669396057196241,2.7119294486017957,0.10011726710720503,0.17315757756181976,0.024852627024583906,0.010912835212035787,0.017795711968687483,0.005465079274279416,0.0006958855118233132,0.0031055523188556478,0.0007143660549371322,5.74172336893497e-05,0.00039028884443245704,6.413226785917381e-05,4.084491449640737e-05,5.9717257470906504e-05,0.00036780416623960477,2.08080706198821e-06,4.48543275111124e-06,0.1994711004249547,0.033516509075754305,0.029524658982434768,0.0050676503817770335
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09876262199927832,0.02699568473268532,0.007913988888856305,0.0007090932845728037,0.0002256153765329838,0.013137457225724791,0.015481172795479115,0.0002384753396784678,0.001824925543171374,0.0007400348177595273,2.329567851289127e-05,0.0001293630352994235,1.376611559544827e-05,1.522578951695941e-05,4.155725192667159e-05,9.76885937749028e-05,2.7113225586905543e-06,2.8761881831762537e-07,0.005285399889290665,0.004224254638873881,0.0008221541272285249,0.00018458290160427993
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6445064759030128,2.6775920844843064,0.09872558632674222,0.09399032735033863,0.16044003794351253,0.006508800796322767,0.00711448013489302,0.03369624056694839,0.0008679172876344676,0.0005589154801550755,0.0060177870216451546,0.00124324263145148,0.00013378401897656822,0.000494202780607661,5.446348038706805e-05,9.312293213881162e-06,6.10353901406846e-05,2.732898979203746,0.27278209538147385,0.21612558878043905,0.054545430857885435
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0918236395735128,0.006111639397703428,0.004431886913545124,0.02505725321011587,0.00040955929018804405,0.0005691859937617672,0.0024611705014672136,2.1506034352025694e-05,2.93966786668598e-05,0.0008055147109016225,0.00017270826128301664,4.19290144730855e-05,3.565075383460403e-05,3.148975193001391e-05,1.0812834574380759e-06,2.0531473581275606e-06,0.11196987136407088,0.030656070962558513,0.010654528885395309,0.0003626118984283444
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.904153122801769,2.1193654187794513,2.550665092435138,0.08081372926152719,0.08500265375782945,0.17953523258582255,0.011408763847085446,0.00799877239262825,0.03368505251390405,0.0034902585708336265,0.001104827273505693,0.0041242040766707455,4.9257145456893525e-06,0.00011328272227439928,0.00026568572493923526,0.17965420519490802,0.04167473979587599,0.028615051276019834,0.0021744308269402435
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02427742337395289,0.08204016052957974,0.03439242883813853,0.005306290454589524,0.009497967121159023,0.00530631743589427,0.0001844396641521584,0.0008784310110507842,2.762379560095063e-05,0.0003991870100634731,0.00011663648936821591,5.5666314002777995e-08,1.4406700981295373e-05,6.551194657866688e-06,0.005787416781679822,0.0009967146630324164,0.011267979294637964,0.0003007574840767635
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08211469162114393,0.004269808075169079,0.035148813861379136,0.010134392395733105,0.0002253514326178152,0.004294339587495255,0.0008352382132426062,5.5900640963058024e-05,4.879276003610933e-05,0.0008951899922069462,1.0178948595118698e-07,2.9496551439134322e-05,0.0001056711422209311,0.029964441841351164,0.004515401295319799,0.0039953552223274125,0.0004167269025789899
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9244111224987106,2.111588327103252,2.6930719820427136,0.0805065353776877,0.08177670166910245,0.16419852697227008,0.027280031760662293,0.01140297841971738,0.03028700361203439,8.613443342353477e-06,0.0004643185892476698,0.001610575484902843,0.026894448205313143,0.006132901306319924,0.004688671369196734,0.00037911394188161474
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024517950425196666,0.08281969965966196,0.03413097648822627,0.005604790200982812,0.008231337268202354,0.0004385267436417539,0.004688943545597901,0.0005893339330840242,2.7847151480298038e-05,0.0001869330448558415,5.8813653810441124e-05,0.0007679252771042311,9.168627858890943e-05,0.0002854822287690073,1.2161303669433465e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08440801204430959,0.004018389977416437,0.0337528067033237,0.009852311315761142,0.0021414262656769267,0.00021236083453213261,0.030182480939329626,6.975728903402256e-07,0.0001856601182554929,0.0002901248690703184,0.01387337181410575,0.0023343963628008613,0.0020727213562270475,0.00011785396687669092
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9695213459481433,2.1099030194083497,2.6057810916502158,0.0933390110640433,0.08270581844471692,0.1835992290085889,1.1487557570744045e-06,0.009727545552876804,0.031565681137468604,0.0035328157660857173,0.000797588672914476,0.00045049760478160783,3.436993651717568e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021874995653331064,0.08192052822956453,0.003949640472408866,0.03609270879287951,0.009315131187343173,2.064993629424805e-07,0.0052840631295407725,0.0008421841365906513,9.391271658909517e-05,1.8796034391366234e-05,2.5472253678548995e-05,4.157734418530623e-06
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09498065443124815,0.005572055845640245,0.003075636031215412,0.029204008971609463,3.5387762942207246e-08,0.0003758797923689716,0.0020235987546914913,0.001122010551686703,0.0002798856754746559,0.00013265601674694594,1.3902810435117985e-05
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8319626831954843,1.9985489902820552,3.048221130350633,8.357644865064628e-08,0.09542686937828326,0.10232730384761146,0.00040903843465958656,0.00021102232738519355,6.965296882678607e-05,3.1765314385534538e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022617268938083468,0.10865304904251705,3.1694478153099226e-08,0.006696200031475197,0.004243649766838109,9.786811972545273e-05,8.248455055204218e-06,8.779208213738343e-06,1.6176264754363956e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09279772521633856,7.141498525875534e-08,0.03530133585859074,0.006946075386090378,2.3012797861765577e-05,3.654975586742104e-06,2.835305558113177e-06,6.561459000575809e-07
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06959175960597e-08,1.8897352341058582,1.6778572248863077,0.000400237305931056,4.7378022490621174e-05,1.877314545108144e-05,1.251992192474738e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3452752245513011e-09,6.750582315362408e-10,2.7825762162314582e-05,0.00011262376448240019,7.378089425635892e-06,2.7658221646298387e-07
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026202684749225824,4.167956671463635e-06,2.604608687950538e-06,1.116718803984007e-06,9.626532437856383e-08
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.628361321538769e-06,3.008354325428897e-06,1.3813142355489916e-06,2.1695165663970783e-08
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.171173108760074,3.3949961886080327,0.16999178232443324
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5141428126245193,0.0678948102564847
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.805179449635823
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
