,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22H,23H,24C,25H,26H,27C,28H,29H,30N,31H,32H,33H,34C,35O,36O,37H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.342615184219895,4.499483770433441,2.9158438280559613,2.0123060970049704,3.9396643101809836,4.855099196340631,4.440198306631406,5.440449387801728,4.753941659236127,3.940591356446567,3.005690232942255,4.065286779902289,5.1444566477229055,6.0513786975181345,5.359467914470673,5.439576580818323,6.392754634098655,4.76909307819167,5.787073835526105,2.267938694959748,6.63984666920734,6.176804266909858,4.103902295283544,3.5704940409262638,5.400899006658022,5.705196780397985
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2277012618120033,1.3673269227152791,2.0223501114049185,2.435730553454122,2.5857784505206647,3.7447120074817906,4.53590583180085,3.872408323670178,4.4731123421804275,4.1219584908026095,4.78494538869911,5.866777518265224,6.389233055532037,5.947309067553028,6.8964909166524,7.810318751925842,6.668051883913082,7.310837608286328,4.967333870855429,7.841599469507518,8.052583997078408,3.08463902688428,3.1545443833715847,4.258556508814924,4.8242425235227255
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.286301489384676,3.1391801090756344,2.790388596364806,2.4779235838542957,4.236838643078955,4.800283665235034,4.390525174524245,5.221968587216627,5.071303083653328,5.459021213144433,6.608157033486961,6.968969507082965,6.722304387267323,7.747914271882777,8.656035255568671,7.641108554906353,8.079369446423557,5.90183289983692,8.502683529301162,8.878540961791712,3.272878553667053,3.476095590007012,4.1887085796030625,4.731083054957691
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0172290301773939,1.449962835244355,2.05936420297978,2.483260578718368,3.397544290999751,2.6751428595033513,3.1242541584149803,2.81640624013323,3.541468671643856,4.4997707626610355,5.048549819180762,4.606382834989985,5.554487458749184,6.456050084099856,5.382379699797619,6.02507369068013,4.753082552164141,6.545914101291522,6.799119094147778,2.4465083719204452,2.7750348526177406,3.6352229395931106,4.316615599192856
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1186782390553387,2.9645580132175784,2.7253401453246613,3.7583690264830762,2.9374275022752188,2.8394470058746357,2.2093459389260452,3.262915425245334,4.186361611207344,4.917400215933237,4.302211738336451,5.025858154801284,5.948158713689946,4.6879198761618595,5.535542713107338,4.012320041938416,6.182772744803307,6.214310354078948,2.8607037525422117,2.9247554854302846,4.117853512659092,4.705307665494652
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943380569743228,1.543973049595883,2.1501920240170733,2.1422928942705406,2.5981758945249718,2.837177940884667,2.866975813120532,3.9531396963829164,4.216044943771917,4.249352492720535,5.164412304283553,6.059836324595825,5.277178534011721,5.465557369623361,5.476223801165551,5.790607776653865,6.351753679446983,1.5343721441748706,2.450185512338824,2.386056893372529,3.2204399834124597
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16442041697033,2.418486795563076,2.4729571712549756,3.5190179203169447,3.8485735061849335,3.82322715419083,4.713568571159647,4.810220507948824,4.906197152408305,6.045550287542495,6.867327658338305,6.241774742686291,6.370701275105251,6.407993957523809,6.587501919212728,7.29882384945462,2.1233076559456925,3.1247049158943008,2.5831637220758803,3.473510678121792
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096552688256166,1.0978088664987007,1.53634191328168,2.180818251101236,2.1749689200240625,2.5507935523846985,2.7425709773767157,2.819473260956991,3.9296666025584983,4.707845797659961,4.2252538068309775,4.41627693791858,6.063134205922739,4.653627883878552,5.367761881324942,2.546020763977636,3.4931291659168267,2.9552876501238856,3.8232468596554936
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7636569560514017,2.1624953619061684,3.079058385666225,2.5046282848443076,2.7944843819901872,2.534317063447766,3.187628623523614,4.197115844762615,4.883980141715401,4.733641746976,4.5010334397551555,6.890567444929938,4.496269938661649,5.507602591072148,2.8000685428185474,3.902246325066714,2.672129358099331,3.5561243573434203
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1752330815416476,2.5545386919367075,3.0834566357320154,2.7764356456942783,3.0294231568564896,2.5979701057995106,4.237583697423226,4.844372369900446,4.474020583097784,5.020029381974186,6.639075457198849,5.267293405738542,5.948121499288426,3.470818357832458,4.3879319224253,3.9322667959366067,4.8445878308960335
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0993385263398117,1.0965059832082478,1.5345767524265996,2.167328295900551,2.1707608088609147,2.567362899655106,3.499950340979805,2.76907722388145,3.04632382254396,5.33920953530031,3.497031025555498,3.9325906966614994,3.0716473180114487,3.6361004171241738,3.5854628171682625,4.209629424078883
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7561859285502173,2.1549953682463587,3.066465876542375,2.487975451424746,2.8165386149831413,3.7599288194697698,2.570701958038469,3.451506041280004,4.578112140044276,4.131875231246166,4.156863306141328,3.3871796953765894,3.6739121708145692,4.223232926897905,4.794383832719933
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151266124734246,2.538545420892069,3.063961530176102,2.7464489246477286,3.78775535036966,3.0073101883326414,2.6526851732184675,5.014340508878377,3.085688524795223,3.5148393973423677,2.749378776332484,3.151471390396264,3.1196131463899746,3.533853247622821
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1015558189536152,1.0993766585478377,1.5338691463237637,2.1604990187564153,2.1596609524496913,2.474770606485612,6.50973010338999,2.754067145634447,3.360557821250725,4.503585839922082,5.124593897003668,4.760909186605454,5.374259475273843
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7580822669756508,2.158741278920378,2.52430178217477,3.064012708078389,2.7074162541599844,7.3415518154789146,2.5642656778813175,3.6627938720478013,4.679207380467497,5.455184015879216,4.622264058746499,5.237240498632426
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1539578340447263,2.398257848642411,2.5269476074730135,3.4093473036107875,6.987946781624676,3.6956076459270255,4.182489867791152,5.104833526602634,5.773026901018685,5.463670760135358,6.177984459378647
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1054277942485506,1.098090210983881,1.469400031573309,6.430400488691694,2.048925323126586,2.0538236739063342,5.451624664363544,5.819662892522283,5.741517869121867,6.169132479306006
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7663935244165632,2.1645791305583746,7.436848780639045,2.420729713356805,2.4840252776742036,6.4564085723139355,6.8920659094855665,6.672748995605599,7.1339972878982785
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082162845389517,5.739929505878301,2.9304924616565566,2.3381813210577986,5.593263848343922,5.7855538396946855,6.115928897061663,6.52353119977038
30N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.312619233164814,1.0199700716644242,1.0186617197645096,5.340616865595543,5.58414321299196,5.445018388033773,5.656802594627669
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.188711733389966,6.449667009559606,5.008516420684503,4.031529653043557,6.148072874339518,6.088334100122273
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6288476737964348,5.635846910175371,6.01593752126993,5.498104390979809,5.699569269815771
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.157273469236603,6.258862553802403,6.311208366103709,6.435169171678467
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2113308659589224,1.3535218256759087,1.8775324080939315
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252781959694804,2.2841588956120433
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976422140697164
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
