,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21N,22C,23H,24C,25H,26N,27H,28C,29O,30O,31H
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159177059716029,2.46262063364313,3.061423565777014,2.7486568969686145,2.7947034361189584,4.017785420162213,4.740231209736491,4.012167317164804,4.72341663651844,4.640523309132457,5.6229056456044475,2.1559370102607605,3.216520184858404,2.5422155390037777,3.474032759648581
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956026768343137,1.0965783460977356,1.4977224330076186,2.509391780695253,2.5902014835361635,3.062752538836972,3.5768106725501783,4.579766692708036,3.66462529041107,4.615297479611863,2.545829716008989,3.350747980075104,3.1445014744318875,3.945380832914467
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7719429513087985,2.134480664648127,2.8062618777410866,3.285978440953274,3.804541844606285,3.9591935963170877,4.873961291816401,4.2267271693554,5.185895268410978,3.443170392057585,4.214788818741535,4.096022500826282,4.952231003793018
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144377279184573,3.4101311214636514,2.7427828699665735,2.806340805442525,4.286869170941,5.347238523377298,4.04206455615704,4.881305625987835,2.757395245979052,3.1988084622111828,3.536570119586865,4.146401506467105
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3820557879527284,1.375172545544122,2.2498851298328,2.148374137499023,3.203283027798916,2.1931937356907714,3.17415185919328,3.133955399379259,4.1145465837476,3.0924878283224992,3.8697297773881467
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260293499883977,3.322934605529573,1.3136055308263872,2.1365161397186405,2.2185453709982306,3.186252080723337,3.7971808030346548,4.944527349344248,3.4377326775303314,4.290087944851619
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0801079781887641,2.209828949224216,3.2437254639463777,1.3812641289464849,2.139586027453233,3.8647416846063876,4.666770022496033,3.6219311085286607,4.147893524878415
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2384693109425164,4.224675822809915,2.1590747166815283,2.55515574888356,4.184161947839399,4.740904728211034,4.079049576098731,4.42620132620102
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082246734799375,1.3666155471407808,2.129554917712465,4.677031632164749,5.777060290789905,4.044808039132882,4.727185274150377
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149944341600957,2.5509327867999643,5.54120257527811,6.675803823813601,4.773500206074504,5.419475049958169
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009767859900958,4.756804828471171,5.683724246548695,4.175857856852658,4.6807729256447175
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5889459829157,6.444536793428209,4.918853522035022,5.289822730182748
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162182523580214,1.3437931843902078,1.8706423553017761
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250722737138561,2.282859274801177
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9771576122858809
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
