,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28H,29C,30O,31O,32H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948954910275284,1.0975845501902368,1.0987890791169825,3.1614517573767156,2.8987036203712306,4.155827532761174,3.5360719594863954,3.892181396712254,4.289778809666594,4.957938512139811,4.987547518387294,6.296524442793984,6.469799901483499,6.894248939683427,7.019757648298616,7.92450463179726,6.423050019258467,7.307076579428297,7.263848063324051,8.523954940917568,9.153944370421891
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765621783210156,1.7661881552691285,2.851671818408853,2.286335163466739,3.853233331708726,3.156222578876328,4.708352223035933,4.904556353014698,5.855362570962311,5.969410768596487,7.134753683361819,7.2646642408252955,7.596542360490101,7.731177226630694,8.610941147271973,7.0069823498093236,8.240190283242711,8.26544561663312,9.423676295030308,10.098217875440072
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7740384401104354,4.14347867087979,3.883131871181463,5.180761582562147,4.343081339091905,4.104371844309263,4.480939705206514,5.166871936622292,5.17605637038733,6.4811753781505335,6.529950924476063,7.2786084336845525,7.508940923412511,8.26657208246718,6.8692154677909745,7.411838272190162,7.34411828579288,8.600591970491832,9.199571468352708
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5711075760617716,3.2237731653703436,4.402136946520381,4.203648918276851,4.319773332574424,4.947310206747873,5.168239031278705,4.995062440536891,6.581280509119461,6.909500752700262,7.177680696701699,7.148661503701745,8.246781614424831,6.814881687958863,7.444137420236584,7.238009898830778,8.729113625002766,9.279519204146519
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959057711850755,1.096356847489769,1.0968250456072783,4.426734831800137,4.357338587526511,5.453707153664536,5.812116222773461,6.4451797867942195,6.7078869408655635,6.30872463272404,6.322589369535065,7.264973309936577,5.512091011084834,7.749612193047115,8.013416104033224,8.802790171872106,9.581681711261455
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667200236679388,1.7720053775325932,5.1363745329887065,5.152252077992889,6.200131812619414,6.453610965459285,7.304535126544283,7.559116610540816,7.291569731112201,7.286873737377121,8.275375315252331,6.537661592058414,8.554754068600506,8.722308475054778,9.666369738274106,10.413343239516763
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770869752908881,5.057025133007729,4.991886533539231,5.925978802356633,6.278667493759128,6.80995373065806,7.16538093386066,6.4404884729491565,6.328905398058527,7.35835929550686,5.630184461334903,8.096217224910934,8.37737001379152,9.106694724289744,9.881301559536155
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45658977486035,4.0894375673854775,5.602658867967031,6.1193470285964855,6.456265044122625,6.549383738885002,6.30412606459688,6.489341036317156,7.177840398535598,5.399890692538047,7.860955003494096,8.264527304990091,8.8161743352243,9.655904518389784
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2306574428526174,1.3570525437215535,2.0425772278863588,2.44909545711233,2.62086782870871,3.222589689237047,3.6380203565257285,4.1771002126339125,2.9737897866475738,3.662761825889869,4.022387542226327,4.747418343532872,5.493941618197623
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277532962305918,3.1622796230409134,2.7989904942638355,2.579995631943017,3.291166726882157,3.9553462029655186,4.088138917272942,2.7320939284014116,4.220005948395008,4.845278920269023,5.058571361997537,5.9193248931440845
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0160305316186242,1.4485625495081362,2.080218002623139,2.4902530529633116,2.771519838494093,3.429681557156645,2.7211413022405924,2.4031962889146565,2.7076073046614826,3.603508181547087,4.273854629161036
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1410264647159343,2.8916000963144337,3.1848550039038788,3.1868594725799033,4.1021559808285595,3.57394652858054,2.4991602353014097,2.313992853685691,3.8363915910243147,4.30886023065209
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975440253001802,1.54331336157149,2.1854397754857513,2.1853961073873753,2.153291299929995,1.52033189700147,2.4327663848730796,2.3777343848087784,3.209458944059873
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149962416348714,3.0689752092935727,2.4808520952495625,2.4622910536825855,2.1375504577510798,3.1489819569951174,2.5888145599351873,3.4892667742241446
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095664208871989,1.0941937335587129,1.0928309597075814,2.525548171648989,3.454447283365779,2.954117012239655,3.8081496808449464
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.782904044855499,1.7817528776144265,2.7882314282436007,3.419715075256835,3.3535715723233475,4.029452736216186
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.780889922861183,2.7848185707729645,3.8577577108818613,2.6773288824959858,3.532322450822082
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.457225618797999,4.3596106909299195,3.9288821922085573,4.8302917043944475
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2125441020538237,1.35143324842474,1.8757898192361444
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253466028146453,2.2853685388609524
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763449258164383
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
