 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,O30,O31,C32,O33,O34,H35
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02879700221103154,0.001418752599396944,0.12436078196582412,0.00822468405054999,0.003822249083166307,0.0005510628494374004,0.027085314116031434,0.0012925622115194102,0.00016446943337933284,0.00015598179950671032,2.5081165284879248e-05,1.4063945721343174e-06,7.438065299902874e-06,4.841854448489613e-07,1.0019445038089714e-06,3.18162927781529e-07,1.4542235549086513e-07,1.2957141601876998e-06,5.40717117636369e-06,9.041566388923172e-07,1.197650616902024e-06,2.157414538128677e-07,2.5723273711086847e-07,6.705378963189901e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8292421410455244,0.3116243250075853,0.003551551209993953,3.637314701217813,0.12553544164018549,0.3294551927499449,0.026792869032010502,0.012617139187510784,0.028744079894945915,0.002529670338137169,3.847589556404962e-05,0.0004008045668951743,6.0213765754268955e-05,8.020358867147359e-05,9.32667133168863e-06,1.624130243649269e-05,2.314283178900256e-05,6.127412046141867e-05,1.4106947097775047e-05,5.517083144063184e-05,2.5481681037387016e-05,1.3336742967162696e-05,2.6368086222250398e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037028282254959466,0.00047833684574172253,0.12829540339333112,0.008295966068240013,0.02617446093695397,0.001259513873034912,0.012252209864388908,0.04988571838063727,0.0035728435641436684,2.4313209661119828e-06,0.00029273575208077496,1.03366483490408e-05,9.043917776696553e-05,1.1302250565670136e-05,5.461317180932568e-06,7.819860464497452e-06,2.085059834899816e-05,1.7170593576976145e-06,6.434907373376042e-05,2.554956717204515e-05,7.411810557078624e-06,1.2458763414269214e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8560893223215686,0.33633962662624695,0.027615502632321265,3.884391981794608,0.12145352130674847,0.001092136599104676,0.0006775995804995938,0.0001592924939441548,8.428346560451772e-06,3.281743739386167e-05,1.4673652806163062e-06,4.230696262666478e-06,2.4317600844092624e-07,2.29340841606529e-06,4.130677122932136e-06,1.484155814385213e-05,1.8654468856571516e-06,1.1425350275234836e-05,7.9957377185913e-07,2.9593616120149324e-06,9.30463031623141e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027558803328768144,0.0014501002021223286,0.1220107681543352,0.00793108386148722,8.65033725161446e-06,1.2896542111340281e-05,1.9027812880878514e-06,3.022133916452674e-07,3.753280040097451e-07,8.561091768832796e-08,6.027083010451406e-08,3.3667084675670367e-09,2.266523502214568e-08,3.8590820516937185e-07,1.5764019031250243e-06,2.974657664633895e-07,1.346149323122603e-07,2.024996592631112e-08,2.0526180533053662e-08,6.5711320829109354e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0686717031359443,3.6817795057776004,0.12045149647459996,0.0016212612799906823,0.003837048848054761,0.000326791903207585,5.5266925053087945e-06,5.587951012619996e-05,1.0395586155009795e-05,1.225272544588818e-05,1.2600094763115521e-06,4.542545208874316e-06,4.787109017051483e-06,1.3911334486860216e-05,2.862555659052801e-06,1.0559328188719519e-05,3.6004309399984002e-06,2.429959946190219e-06,6.24976562391133e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12328551008741329,0.007914927743045697,6.732509144646848e-05,0.0001477734281278842,2.5991626269705748e-05,1.5713738643619024e-07,2.830328264424864e-06,6.210797138805901e-07,9.343228846159235e-07,1.803635216734989e-07,1.964314599867123e-08,5.308780972601568e-07,2.3118236048835783e-06,2.4767677775372476e-07,4.19977463472776e-07,2.1661019622420952e-07,5.044715001290001e-08,6.46360520661915e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8652337103194756,0.0008729441807940608,0.000904755745358865,0.00026923646605753193,9.902505734737943e-06,6.262438546120186e-05,4.155530332616841e-06,4.872694180618753e-06,1.6542917797846002e-06,1.3022937053186467e-06,5.937875818595728e-06,2.0299345733928997e-05,3.8571045353763544e-06,1.1037621945264586e-05,1.388081085948456e-06,3.5636717486270397e-06,1.1945381123146248e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0250369665549854e-05,0.00011857939507131654,1.1936128443634786e-05,2.1033462593855745e-07,2.4029739920106152e-06,8.74005363415975e-07,5.251701407082976e-07,4.7737227282240724e-08,2.2083036355091679e-07,3.52136746428755e-08,1.0218339041578872e-07,1.9824845098881383e-08,2.883888663429701e-07,1.80578969111167e-07,3.893456890224911e-08,3.6056420071872708e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87962241442421,3.4681836679157376,0.1411078427571204,0.2813484390285039,0.025493013855729663,0.03710894530267431,0.004500763040354183,0.002873164836089792,0.005217062915194026,0.01952782926440974,0.001743089093619643,0.03454612129895354,0.0043261614216784094,0.005781128900737481,0.001181217698265291
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5266340450343827,0.02399763693280932,0.06954032603369457,0.048688282798510785,0.01245151730171333,0.0017001696955462053,0.0013900329866195493,0.002259996633397293,0.006211873252801758,0.0007357415193196964,0.008901452515290897,0.0027288218565905895,0.0011938587476356954,0.00015718565095013126
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6780695952174505,2.830955834554781,0.09229820933435928,0.17969661945186363,0.02594463198623398,0.005363959638083671,0.028370730864707233,0.1428583658847506,0.009807927653105272,0.1943312108165431,0.03070768021068343,0.027778498647442834,0.004429520031786316
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10083577640290098,0.02558579195006283,0.014372214941049566,0.0010273298799194919,0.0003967503410025053,0.04306685562342649,0.3018827882856855,0.011565017989907611,0.00560652557538277,0.0040325215067926745,0.0010333432722511304,0.00015709554756493382
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9996497102192903,2.4524434380996754,0.09032281745146076,0.0954548879257262,0.1323175682816517,0.025971275527850404,0.045921384991079395,2.6700887233045822,0.26695465129640494,0.21321819568176273,0.05434071867078738
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0831048074907178,0.002121797309975193,0.008929826659460405,0.02372092801728809,0.0030551678234531643,0.0036849197372803566,0.11801455043578901,0.03194366073816812,0.01139222188053668,0.0006791113155479866
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.017207746757407,1.9221449897352136,2.6115279147947463,0.27216020936631297,0.3245372911720939,0.2015350746085905,0.044816764129883044,0.02937360794619863,0.0020604910116207575
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025897478797678453,0.08054225696529405,0.02174900374968991,0.020960473630211807,0.01096758562106448,0.0017099984908853783,0.01376952593777725,0.0002651702995948302
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08305570407679386,0.014711637800427946,0.02618528833564948,0.02793298353603757,0.005084739256511983,0.003086238252100637,0.0003545650582643667
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.277893897417286,4.765551684902136,0.01135165981156011,0.001996628956023233,0.0022981524278942733,0.0002346606131410356
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5834018859078728,0.003187423624787758,0.0010078393600962063,0.0008350189988235446,0.00013641694770760715
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004046595450401175,0.000900883591503622,0.000581278981641592,4.9669257070728e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.216570427543797,3.306654442577581,0.17056745053468214
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5141490286824432,0.08055672739727882
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6738254804202914
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
