 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,H37,H38,C39,H40,H41,N42,H43,H44,H45,C46,O47,O48,H49
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10853019465676295,0.00240633117253064,0.007014801019542771,0.027872559288972254,0.00013703179351964856,0.004397359739937601,0.0005727111641984362,0.00016389064069022297,1.4578739890858117e-05,0.0015328108173097155,5.010455776366385e-05,0.0002775046326710662,0.00037631796898152103,0.0001679633979904116,0.00013008513310275305,1.4004037172776762e-05,1.7049070865748917e-05,3.36098930553419e-06,1.044794799498483e-05,7.43516255230503e-07,1.090156380723073e-07,2.4174887893746444e-06,6.567203003626787e-09,1.84655177815074e-08,5.699210383625086e-07,2.6102905170688473e-08,9.908044606987687e-09,2.6405811004437396e-07,5.151408632997345e-09,4.012203991266006e-08,1.8589310868399878e-08,1.312781394702256e-08,5.082068099682147e-10,6.917453276855667e-10,1.517814462559386e-06,1.8602497403596985e-06,4.941868044783249e-07,9.157739455645242e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8916323539298228,1.822884475003012,2.634692113323547,0.09653037195383996,0.2828765968942839,0.03991253176346421,0.01791335210332856,0.0021236615355364474,0.05130924969362141,0.0016465220010823955,0.004344460280623408,0.0027317057470628847,0.0013640026258903148,0.0006915204570801942,7.245412080947311e-05,7.664806598750573e-05,1.1539001281701822e-05,2.8291679814745896e-05,7.194978051128231e-06,8.659561403501215e-07,5.649209792402132e-06,8.13954217360191e-08,1.751707676689307e-07,9.58643058462938e-07,8.362553471918943e-08,2.9054209926826502e-08,4.226586581279612e-07,8.784536209560656e-09,6.391270601646681e-08,5.406237987837237e-08,6.2168893366632e-08,1.1303794567041336e-09,2.674152566051191e-09,9.928908858342078e-06,2.8256938807147414e-06,2.7992926358993975e-06,6.537386920690835e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028078770288978205,0.09177006566427304,0.024303672140150834,0.01555270226112393,0.018382323273611667,0.014517028688263656,0.0003009195635443884,0.001396831590058989,0.00035515325158264055,9.957532870830121e-05,0.000323452906761279,0.00016900301268485407,0.00011957848713817221,7.822889910524822e-06,1.0046977986899464e-05,2.070315950897239e-06,8.980450698192755e-06,2.4218012149024304e-06,2.0271587852782602e-07,1.942898564033513e-06,2.3066215382172572e-08,6.678591324416061e-08,2.95208933187574e-07,3.546241877927514e-08,1.0206713696447878e-08,1.5369487016414496e-07,2.020907885480483e-09,2.349331373885377e-08,1.963002893567989e-08,2.7573902938726746e-08,3.8692582471355763e-10,1.0802398975329197e-09,4.740780745748907e-07,1.9419193852954209e-07,1.4069875609035165e-07,2.197914228396769e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11153496451421119,0.008276212566993735,0.028167897985097,0.0053413267991944124,0.0005128549032265006,6.901881830634338e-05,0.006038107358462441,6.214773238721882e-05,7.331729449577828e-05,0.00043386284982349643,0.0008476744109046086,0.00010716963604950891,4.298414719272614e-06,7.44449078449172e-06,5.032520474346214e-06,5.6088156121791855e-06,2.420013150539191e-06,4.963022901538494e-07,7.451554215887057e-07,3.9020240372167336e-08,7.744189312042238e-08,8.314423494137912e-08,1.775903490930375e-08,1.142865380110436e-08,4.2802590805024465e-08,1.0397884775414923e-09,6.07902594929044e-09,8.466574552556949e-09,1.4437484097129527e-08,4.2433523361751213e-10,7.755520670116312e-10,5.565784895189552e-07,8.830439296447778e-07,7.43916607204298e-08,1.4424125893697237e-08
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6829046429613919,3.9752870560359237,0.38936806022982073,0.008146541834075816,0.02960374650934383,0.4041910419958546,0.012708344885370315,0.03034772369059624,0.003459196191016034,0.000724292265075574,0.0006087634606133929,4.623602559061801e-05,0.00017381663362184274,5.6492425567489235e-06,1.0372490515428434e-05,1.258012865101854e-06,8.978265975123634e-08,3.699886193683777e-06,7.326218631753534e-08,4.27107363920598e-08,8.162041994080882e-07,3.149184601980437e-08,1.0306774655965967e-08,2.927516534051433e-07,6.611484248963961e-09,5.650622081354584e-08,2.8478587238423003e-08,2.7670454816330903e-08,1.41668066167e-09,1.3639660512154705e-09,3.064479597322811e-05,1.6609321686067435e-06,9.900638592547084e-06,3.3726338428685665e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15413015155325172,0.024657001872131823,0.0009199187494877137,0.001706390957755488,0.012193405356972331,0.0057305900451587455,0.0008784206315668452,0.006328318771368746,0.0008791800258799443,0.0010034378213256145,3.819953940875642e-05,0.00031197573484953445,2.8518852048797783e-06,1.1214886049382145e-05,1.6997939564777909e-06,1.3567103662737168e-08,3.980040885309677e-06,6.619048198430733e-08,4.6234836625913545e-08,6.807961271393381e-07,3.2715303355246306e-08,6.036569244471934e-09,2.321356225021276e-07,4.883968784952231e-09,4.8923035400605386e-08,2.4587509028783927e-08,3.364038048125906e-08,1.5827417154667955e-09,1.2810501548443654e-09,5.668993724528004e-05,1.9313547635624317e-06,1.769564147724445e-05,6.308157463275066e-06
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5824720769226697,0.14715554602505398,0.15211765450700765,3.5102539964865533,0.14930438278540747,0.14667013858138467,0.0005458751374578519,0.000129150897529684,0.00011042336202501946,6.420770954362887e-06,2.832762185803195e-05,1.1537954665019612e-06,2.3885223181807635e-06,2.130659131349688e-07,1.7060849399896938e-08,6.243714379405851e-07,1.0983776999040629e-08,9.644730569746685e-09,1.4365751521694392e-07,5.697615046429405e-09,2.2214370343220935e-09,5.497167832047012e-08,1.1135792288285984e-09,9.353515961763037e-09,5.653891813062195e-09,5.4752676836855585e-09,2.619663375114101e-10,2.999247517010417e-10,5.478237226352878e-06,3.4742459203984666e-07,1.8462289451404157e-06,5.646565465200482e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7994344628286352,1.939553311008082,0.359652217581437,0.030782748737259502,0.012539368846895549,0.00015380903302270044,5.241870433403406e-05,3.0589273000106165e-05,2.405701845509256e-06,8.79856616237129e-06,4.124087892298789e-07,7.941441833303475e-07,1.2151043315977716e-07,8.923768612945082e-09,1.7137190358451626e-07,5.2390127791568375e-09,4.518942331444009e-09,4.07313434508394e-08,1.5408179177001102e-09,5.525275792450657e-10,1.5011433679434916e-08,2.731498360830642e-10,2.430250001239642e-09,1.651519809797719e-09,1.6004411129699747e-09,7.845735172651302e-11,7.658018663647681e-11,1.7726599329803694e-06,1.326566966275422e-07,6.298924176972864e-07,1.9398753570154526e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03736668969685919,0.029973741211367644,0.002745341844572202,0.0008014495266159827,3.0105106267441784e-05,3.5761868017125664e-05,4.840629863944734e-06,5.78897219050134e-08,1.102158210253279e-06,1.3352599825822153e-07,1.5137587683344833e-07,6.254103213088058e-08,1.189421228176002e-09,2.2048679548802852e-08,2.083846428746483e-10,1.6286600956760822e-09,1.652022185716362e-09,4.637847883515178e-10,4.9353188202871934e-11,5.877049957803138e-10,8.26205770465549e-12,1.915676506314412e-10,2.3341550914324216e-10,4.70238070704454e-10,2.9020563729886817e-11,2.0333290606799892e-11,1.9753023217106147e-07,3.893758238060485e-08,6.308631372853313e-08,1.7142182118234928e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012743316339245858,0.0007989279572515606,0.005142556601878567,2.642348908887815e-05,8.63445123200357e-06,4.188627243384424e-06,3.6899533983891786e-07,1.5074400812054023e-06,9.599135641913392e-08,8.622168323757506e-08,8.361302095138967e-09,7.243539101864371e-11,3.0499640035763775e-08,8.065537127066591e-10,2.3767343648728456e-10,8.35998126280657e-09,1.9040502508005375e-10,7.057732176463105e-11,2.8733708745676267e-09,6.247358186328711e-11,5.466109787022333e-10,1.72036496159933e-10,1.728157617009174e-10,1.0377032566566413e-11,8.915534976949857e-12,3.0334059886172327e-07,2.622125383489049e-08,9.375192877580929e-08,3.74763149402213e-08
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8356811548495071,1.9216805617134143,3.0202517448091326e-05,7.791349625876909e-06,7.671844356987867e-06,1.5047149601876697e-06,2.1960845709850796e-06,5.428697558151896e-08,2.145706500533695e-07,2.3089620548866208e-08,2.2555176615313144e-09,5.75533364854941e-08,8.901175352349355e-10,1.6878715092261132e-09,1.416356061600954e-08,6.925475748431609e-10,1.7133239271771572e-10,4.988851373677328e-09,2.0290547020351823e-10,8.951961394387808e-10,4.496768998829559e-10,4.45811831895071e-10,2.20786722238131e-11,2.4167778889250258e-11,3.5042739504609344e-07,6.162185775537843e-08,1.3040097343597346e-07,3.751461941092771e-08
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037460442443249864,1.6940485914274106e-05,1.584961539791152e-06,5.8933234881042296e-06,3.1706033420952906e-07,2.0253590399255117e-06,8.182493127506518e-09,1.5733708746967778e-07,1.7107673055960504e-08,4.2707748448833627e-10,7.423584924559634e-08,4.3083248080222347e-10,3.452118590985265e-10,1.8762384867976323e-08,2.7095237165042363e-10,8.418066244075817e-11,6.0682526781263846e-09,9.940492873283802e-11,1.440797259277815e-09,4.563850408700887e-10,4.675535514309104e-10,1.6866064100895528e-11,7.86881670933326e-12,3.025173097581657e-07,5.030327776545107e-08,1.1189986615089964e-07,3.176448437613999e-08
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.756839182082587e-07,3.477971772802846e-07,1.5135444475511406e-07,1.104123055206685e-07,2.4946110288581735e-08,3.994748754010402e-09,8.64536331413035e-09,7.76604114349766e-10,1.649218539512276e-10,1.6530153912341916e-09,4.5959014371987905e-11,5.236455713486521e-11,4.245571672001347e-10,2.3965496254163554e-11,8.064882095482062e-12,1.3121492781209554e-10,2.795763620611069e-12,2.2517543385447425e-11,1.810984695538309e-11,1.9698687125924152e-11,7.220890552162018e-13,1.226352353000948e-12,5.102694378145145e-09,2.0267995060052613e-09,9.931765410087223e-10,9.839151715596017e-11
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.702110818180329,3.3154597011545412,0.13594920506486852,0.26373197621108413,0.023950634215439415,0.03446278648859635,0.009764147571884374,0.000636445414649689,0.004064625336371835,0.0003297859197000097,0.0001500144164767736,0.0008404801089260394,4.8225013964176e-05,2.9948882547037314e-05,0.00030495564827576205,4.9150842376111115e-06,4.300821324842996e-05,3.238232502128513e-05,3.328386930823157e-05,1.5490011414653893e-06,1.2995924250081003e-06,0.02720426136447099,0.007789251028118449,0.005233836520117829,0.0011024890537784104
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345238578454845,0.0256983987641618,0.06351789014761164,0.026489356954697563,0.0245382848871136,0.022689571493788696,0.0008843232003392654,0.0026599415840386914,0.0002052122851894378,0.00023200494512243264,0.0005164973056381861,5.216714717160009e-05,1.9892839127066964e-05,0.00017859925834788626,3.7587530037352934e-06,2.800745100617341e-05,2.0378297999584793e-05,2.662439942724415e-05,2.207005021626074e-06,1.054136076095169e-06,0.007811162945824346,0.004330084828979064,0.0011722511574051575,0.00024675378005811766
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8711931526559704,2.593089922039124,0.09525208605132418,0.188984128624599,0.01172727540901175,0.004527050531921817,0.02997103957518621,0.0004516843349240407,0.0010046567986837784,0.005352420475883038,0.00012414478285149855,0.00012032151839702632,0.001566985143185054,3.6491550069794876e-05,0.00023509164314117204,0.0001706330848495613,0.00014717330121150063,4.338968469519422e-06,4.279580857802223e-06,0.1908208723163246,0.06757534881477009,0.026027407687578774,0.005136570310976696
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09556847058825524,0.016003775473587334,0.008990002260374386,0.00039074694253549147,0.000368638387725273,0.0018380702556678452,2.191063737511101e-05,0.00021606895243575508,0.0004945799948355978,2.8513812028396757e-05,1.1782404836235827e-06,9.313370639985052e-05,2.7785062983731734e-06,2.0108879510649658e-05,8.938781689282749e-06,7.011904455733742e-06,3.4222990308308e-07,3.8982307160040364e-08,0.038797283510310754,0.09726558049532574,0.006340062706492677,0.00018171968121372117
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0903860063388966,2.557909941434976,0.09613519519996783,0.08048140343021393,0.15865387170961318,0.005339237856121226,0.009574174213259568,0.03179634775288412,0.0009626025122304593,0.0007097206834070224,0.005849151378120587,0.00010572469127445583,0.00089445739441818,0.0003655439734179533,0.00021378348210487896,3.973258138822988e-05,7.414179963083356e-06,2.57009443155341,0.2814230577245974,0.2115057572564772,0.05261227527579437
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07843558822107122,0.003350277844967664,0.03118449745567986,0.012538321032294908,0.0002267035059968503,0.0063147227708983955,0.0011532431083478567,2.7470742939073034e-05,0.0004182730685731162,0.00010914732466260624,2.014974585629048e-05,3.236906390435834e-05,9.071690927120457e-06,1.101978881457022e-05,2.2502251351141922e-07,1.5165474585021599e-06,0.11065079492641638,0.030692974698923958,0.009803071026519228,0.00044778764960873296
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9841621221602233,2.0752773488015324,2.4272039748094127,0.08147413886264054,0.08332592011991591,0.18211793383170752,0.012649031694164314,0.007469752083510528,0.03412466251479859,0.0009228046456920547,0.002903347042079618,0.004253869893587309,0.004567723963920356,0.00021299312515965507,0.00012599193627460537,0.18383002866693013,0.042133117023777394,0.02042057995872651,0.0014656602287447251
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02537853058666073,0.08781013304198182,0.03184904549319856,0.00490063170935362,0.01115501614791281,0.005332849311358023,0.00018805878517258456,0.0006924883096339762,3.284242289081085e-05,3.792990367279536e-05,0.0008671072861685669,0.0015596084263300725,0.00011492494704756773,3.854269369352181e-05,0.025179688613416573,0.004532219580557717,0.0030770317036477035,0.000529964022687679
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08248435299795553,0.004768024324321329,0.033325772889962746,0.008217508480855118,0.00023541068396615294,0.003427628682182826,0.0009444919521772732,0.00035247929317505644,5.7531134391552996e-05,5.293673993100878e-05,1.6522501419924396e-05,6.497225291779429e-06,9.680417062840618e-06,0.012936614522655043,0.001921763567277024,0.0010463290665420066,0.00018339834463709792
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0021922718726795,2.0682064833247136,2.629942171242005,0.08291321651507966,0.07793049614215874,0.1678056809459997,0.010430769645357607,0.026831804430926032,0.020220753294053137,0.022177446595469275,0.0012997662927225484,0.00047893173228141794,0.010742447174387715,0.0034476092219090093,0.0267248067551039,0.0015218318135630238
