,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32H,33S,34C,35H,36H,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.392669746856391,4.295878143739701,2.145334651236107,2.4683872557994033,3.8742806318238125,4.960097759045597,3.397950391536851,4.569505205344904,4.546081558595476,4.305860722101675,5.315924008820351,4.383329022305045,3.7231022822260647,5.505684996295187,5.8510096800993345,6.799351761326486,6.75675559835888,7.589683286603111,7.441531690911735,7.720116292877255,6.92347290250431,9.122531858180894,8.975607853607709,8.575909675683684,10.033571080317822,8.536702531439591,5.394217721158085,4.73718308036437,6.509264029660043,6.644898883836276
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0877873380251295,2.78213102451093,3.871185108404689,1.3929781264063656,2.166004931762068,2.4147162490306693,3.6448522718957004,4.328941896067066,3.3183537927706555,3.6826738962110372,3.593983541997698,3.614599631304577,4.046924528575197,3.754521472895983,5.583203056514228,6.07136988869303,6.088014486748807,6.1782023760908285,6.010412629564429,6.007227526227204,8.00665798791196,8.546824210337544,8.302894051808455,9.633852203754044,8.35125193385582,4.079750906503993,4.151333659244024,4.715737413151977,5.0605921128201405
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8698974492020706,4.958955659001849,2.1451931499497876,2.487844051607476,3.3964887183513865,4.510258939366105,5.280765112561244,3.191478898803314,3.177427443134163,3.712181500367449,4.015398855159132,4.0209061066568506,3.465068496044931,5.480418477117742,6.132781513812034,5.944727411623663,5.870463315701557,5.525351058747294,5.7354369968821555,7.690044609224613,8.425259295777332,8.304860618412848,9.494038234720808,8.239032549692554,4.34225189408265,4.689594429104276,4.842309448702819,5.339133299255254
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0890730453616912,2.418822424506239,3.3969984874305053,1.39856429446286,2.4294464339544235,2.4534171932128537,4.897007231560588,5.768548554110105,4.6410486009331136,4.0095704649530255,5.262991420471648,5.496254571926219,6.699196635649603,6.764664325572848,7.227337222723415,7.647972164298908,7.82668653366583,7.424682419713275,9.363241129529941,9.445793795461771,8.929256426694199,10.51485169695908,9.243319511582985,4.6618159819587195,3.9767863791979914,5.462310582319563,5.373045354497467
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407256183803167,4.296229434242397,2.1603996634883975,2.6930685234146794,2.297590099853973,5.768856577322126,6.72429402187652,5.399431888720374,4.636060199773493,6.032396716438996,6.38533816028727,7.3836182036848585,7.315695102758592,7.903208451689881,8.408966403330384,8.68085684017478,8.174862350997266,10.058606772889219,9.991622839115912,9.393622800980836,11.036191765658213,9.79004216152377,5.29088061866809,4.418575674550985,6.090652068835254,5.8682501145584
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086019803417355,1.3991627079885027,2.3667906742647045,3.1757772041773875,4.396877521531178,4.806843725850022,4.306406395343649,4.172790318053162,4.450447932616101,4.214011436109129,5.987781132234526,6.42907737340548,6.308438031549543,6.842216377826646,6.706840210188186,6.837726879235056,8.616011414743097,9.163333385445224,8.791372906849391,10.236264841071318,9.097117882072338,4.003969982445642,3.95277929933324,4.387427647119881,4.485822270291552
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146940086759809,2.5717008941497506,3.5191825748838554,5.01249378626714,5.221765720481294,4.890098075124402,4.891470069090563,4.735946379988886,4.325962370512765,6.210598739251905,6.76327219591687,6.358858992800674,7.078490878280027,6.824947307038208,7.21878687553553,8.80211705596945,9.522303656335595,9.167790347294702,10.570157987405278,9.55402571506571,4.228307519069833,4.379805680284995,4.275151059791806,4.342432154654069
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3686045749742,1.9165656584013435,5.082258399000109,5.744125346675007,4.779032902215318,4.345806940785991,5.0439104372467165,5.080124635284918,6.532064303767724,6.7619356180036885,6.880008360914596,7.547213818795009,7.586244497738033,7.5010862137472465,9.272929122367993,9.591608838085358,9.089056662816969,10.657985775134179,9.516438883689887,4.3041861845264195,3.853663209347767,4.795336839610758,4.6565178741662585
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701487990821751,6.287828564687037,6.91264886613516,5.824654530675929,5.367538580917116,5.852702979568322,5.8956427617993565,7.257060760637265,7.4569611855980655,7.438984328128131,8.413675945383314,8.455535264816008,8.494595472301027,10.060327543228347,10.400187657892149,9.814036360713342,11.435201162698158,10.433046434484739,4.839407470151486,4.3460522921362355,5.044559775742682,4.660801146914708
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.792487922396743,7.534368123929807,6.261215642189191,5.6693361708633505,6.386556384153665,6.562746669120862,7.740264258297736,7.814541582236441,7.959612754461236,8.94637867238449,9.084633231229613,8.983018358555293,10.557396215136619,10.748911815910384,10.09860282723672,11.772093680232054,10.761366121989948,5.301202418905753,4.6107015657889345,5.598872171521003,5.128033901164311
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299669710779864,1.3668626414226865,2.0558750423532643,2.4627014306735897,2.5400879747239107,3.448385535228619,3.861656663990821,4.364670427874353,3.4837633167990805,3.5675554387122252,2.937038062419056,5.25142568037733,5.6041154484904965,5.57660337299242,6.679042373447869,5.222661178042798,3.5819358500878278,3.9391260227328426,4.626986008886407,5.358827144163625
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2814297728402537,3.1628958080174647,2.8151890562458624,2.443891385781315,3.619308662813844,4.297685432465497,4.400114958971714,3.2918884916657536,3.0129418975920768,2.854967603291938,5.030287685165948,5.733686181344385,5.893265898253555,6.759566047018236,5.4013275443281055,4.126015710861016,4.753890648022381,4.9100723904180095,5.752431902953001
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0147997924234653,1.4560656460906987,2.078482711732033,2.5175276024470623,2.751661617931935,3.4332176899383464,3.0890895901898414,3.451087686061463,2.791018319762074,4.813666935487056,5.021115389109556,4.75926779655288,6.114179005388469,4.821135389307816,2.404031236223422,2.7092363695877486,3.591096366845845,4.266159028238139
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0922995602806562,2.8694720821260162,3.12129180014741,3.051398456717292,3.9879940613680174,3.9090693084846686,4.394975194876625,3.589201481139429,5.515359331181217,5.460765356636223,5.035912402830359,6.538494094275257,5.241455013624824,2.4219580509122696,2.236856418345606,3.749813359190273,4.224266410807808
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095223211430936,1.5523004653229133,2.1644774417756922,2.1659541448258772,2.5684030277101875,2.813096550633399,2.8271754788699215,4.235092142856979,4.788561297426216,4.477921592417385,5.8356465780064815,4.90303410390517,1.5231218821666677,2.427855176703984,2.381625417877795,3.2155511388927303
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1683644504253383,3.062800527759788,2.5094891530690098,2.77649291078039,2.5745843652354585,3.1234016973219436,4.48993487310244,5.384963947612549,5.236397197523559,6.401059286519982,5.506130608334346,2.1501652208962065,3.192003717664133,2.557242031321062,3.4766415601858474
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097410140984596,1.0955120940493306,1.5319737795472825,2.171490232463407,2.1817483417958248,2.8269040699229233,3.4133014872441803,3.1276686553935775,4.40337488355441,3.7528660077327256,2.508061623950417,3.3645082791850722,3.0158222986854972,3.8409736788058217
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667202933761166,2.1722871220995055,3.080521866488732,2.5398183174221183,3.0460960563897244,3.0121031342341964,2.431028780420021,3.996710571418836,3.3563181574557337,2.7345523423390676,3.240369093162467,3.4283674321171844,4.066937977673466
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1590258532000206,2.5113636795149774,3.0773614231867588,2.9868660875093003,3.8390438770468713,3.5174741246264114,4.678779225968288,4.418360646005759,2.6839818766968975,3.677063818417822,2.6724103514732858,3.4766586941862387
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0945730868025225,1.0940000992963073,1.8364437740721875,2.825278299842711,3.0639914827897887,3.7838307214305233,2.997178986381208,3.88931508373271,4.742386364886676,4.379523674081545,5.274728707525171
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7555683127177306,2.3732630975754314,3.7549880901905044,4.098902853267242,4.610829954704208,3.9178552380727205,4.187252587028329,5.187247795371122,4.484604005393419,5.44304754453256
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.423565715438882,2.8937312707320766,3.2173068852242857,3.905027731562348,2.6497064258853236,4.2413011996956955,4.913150032154088,4.990234566787283,5.858498967151882
33S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.828434267414289,2.459298354437874,2.3847718654626426,2.4456112048803647,5.32861994223505,6.1376148721390615,5.624649436915257,6.443506839937272
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941812382924496,1.093636626264522,1.0950373190401164,5.714832088937233,6.208131038940302,6.277590497767234,6.963540653873991
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7753189778808274,1.7898275331167577,5.153720036771573,5.518392904754554,5.7357917895382124,6.314506671169722
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778222469515681,6.708736734764162,7.198880779497724,7.1828874043824325,7.838349601048597
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9538073474462,6.358040991930358,6.699065325224349,7.4095608936586
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133394520663456,1.3476982465828677,1.8769099493972599
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255075399436728,2.2948126983216897
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767767923270179
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
