 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,H32,S33,C34,H35,H36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029443387616405747,0.001686467630894084,0.13250239710171385,0.008544856992036776,0.0035712521839643685,0.00043797469655082466,0.02687020776834359,0.0033088945774559786,0.00020926845782565096,0.0001353040331479871,0.0001065525414094548,1.8936687585791034e-05,4.3587962916591394e-05,2.400254850210004e-06,1.5266896067345215e-06,9.200376207552097e-07,2.6209575176849853e-08,1.2295238893678118e-07,6.389881068713521e-07,1.4664741199155173e-07,4.883729245452884e-07,2.0232332853531432e-07,9.915211984790062e-09,1.1386291909332158e-09,2.003124333072037e-09,5.574000816466196e-09,2.6124815302175364e-06,3.140895185160808e-06,4.356691831741699e-07,2.068300111179866e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9929921772105679,0.2993983637252221,0.0040189759695548055,3.9145399783265376,0.13208880755152297,0.3400542593765828,0.04249324370486557,0.003970198221513566,0.01234319605001813,0.00419898645971363,0.004654738180980819,0.0009643379450370304,0.0015511899067871537,0.0007974868880502584,0.00026320118752390376,4.499213733710761e-05,5.302950679442198e-05,5.6848358609945526e-05,1.7934575513578466e-06,5.9946766136631524e-05,2.3767037579905392e-05,1.6551071852360932e-06,4.519558580717842e-07,8.524574290902365e-08,4.0192720396348136e-07,0.002183387053287633,0.0006602533241242964,0.00021944598045454955,2.1871458589561854e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035342966257585484,0.00040604127710297533,0.13406825781898113,0.00854364766942406,0.026530856962433624,0.003126787992346336,0.0012981246025232096,0.0031947305506148105,0.004791926472015651,0.0006213676240127697,1.724353615806251e-05,0.00018324641580558243,0.00030753355652368697,4.87402116191582e-05,1.3268805536537087e-05,4.807260644001943e-06,1.0863632276203461e-05,9.017044702019916e-07,6.882616282455345e-06,6.631547946112093e-06,2.9956407354703174e-07,6.375064587338386e-08,8.173034027336712e-09,1.1310199599101622e-07,1.1596839097682832e-05,3.5411719921940588e-06,3.7572168247734794e-06,7.821809853147954e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9901676606568797,0.3251123828775292,0.028309403269240807,3.720388909577755,0.3143929366016609,0.030867538844815634,0.001984538207807668,0.0006506614775789593,0.0006008698967174264,0.0005259747134647164,0.00031249672985828036,8.519574678200748e-05,7.411015165123547e-05,1.3982451190219791e-06,3.298957365727162e-06,1.0996609137697844e-05,4.116793843600419e-07,1.4886388053358957e-05,6.118279346767341e-06,4.360358658306307e-07,1.5489951610270225e-07,1.8774491961082163e-08,3.854021368709937e-08,0.0006197134734478305,0.0011533725928492555,0.00011765812611792825,5.68573063730593e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02777869207780248,0.0019202332520940057,0.13110741865023767,0.012739513321274876,0.017076416056708732,4.683040661257465e-06,6.194456614205812e-06,2.6561926462775887e-06,7.1059479389568025e-06,5.664963860230188e-07,1.80775683533696e-07,9.090021957369743e-08,5.905300692887749e-09,1.2066097010432486e-08,3.031328432712144e-08,4.503489137164252e-09,2.9253835132081463e-08,8.951216989849797e-09,3.351137145557459e-10,3.8114778000419847e-10,9.552802993084697e-12,5.5606852455980516e-11,3.846537475205025e-06,9.258850616644665e-06,5.053983749281343e-07,4.622973315271395e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0517125109765426,3.6697976020337273,0.3014397707450502,0.03429555160179054,0.0011333884857462062,0.000918846516114416,0.0009097299399265929,0.0003296097512942575,0.0007742041644282494,0.0003767360292388222,0.00014587062631006564,1.2397355033000323e-05,7.20445786384083e-06,1.9296676592048256e-05,1.2031236671372625e-06,9.844503244593739e-06,9.00611279323893e-06,6.490040203310787e-07,3.732622329000179e-07,1.749461597810864e-08,1.0346142387263058e-07,0.0038937531876881426,0.0012505857190366343,0.00016989910873574376,9.481164621305549e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13561886036754944,0.0123713818644835,0.0012735254458420275,4.408863669458363e-05,1.1798707540644493e-05,7.815286868328997e-06,3.839434118413365e-06,6.258580534934666e-06,1.2310558459294185e-06,9.216752356877578e-07,3.9537116203192113e-07,2.0574723236244097e-07,1.035667251958472e-07,3.323984665293267e-08,1.506319429189773e-07,1.4951464177848095e-08,3.930629266513108e-09,3.471565257484599e-10,7.348432973230956e-11,2.1673396410903933e-10,7.725504684286122e-05,1.9049416229988125e-05,4.4635770106937755e-05,1.1278676260051412e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.327980419961176,0.13859632478761585,0.0012034428693371013,0.0001643784649765917,0.0005698110757196562,0.00029861944117370864,0.00018578498097204799,3.0217114075581364e-05,6.932203141635229e-05,1.1821717684767918e-06,8.413246511684846e-06,8.096629570658598e-06,3.439511877534329e-07,7.415462080828661e-06,3.3277204216503042e-06,2.7907598901255604e-07,9.852153692868626e-08,1.4319012420216382e-08,2.9012801938677057e-08,0.0014943314814240272,0.0019244004197688513,0.00017492562080215213,8.084653570450406e-05
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635384409190396,0.00028540206759702924,3.325837496293005e-05,0.00012115976760625202,5.564654923118084e-05,3.239550867883967e-05,3.962395620948911e-06,1.4784502779446873e-05,1.5092280269968228e-07,1.7395746542137047e-06,1.7441286054575844e-06,4.251516061426486e-08,1.7152434742540024e-06,5.371567363410268e-07,4.759912934637622e-08,2.2117348841277362e-08,2.514948804765993e-09,5.16205700407113e-09,0.0002117213572265242,0.0001127367926538475,1.7648656118765538e-05,7.241336843044621e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.331300484330171e-06,5.93548852789727e-06,3.87101749654839e-07,1.3910193819022254e-07,4.239960320617797e-07,1.8534724732788277e-07,4.417417953650471e-08,7.791542744328694e-09,5.773372890871542e-10,3.679457105665307e-08,3.392774061694581e-09,4.839800515910042e-08,8.092696957007206e-09,4.919147311710503e-10,1.43512535188961e-10,1.8071322216428598e-11,3.2685720796621354e-10,1.6597599804546448e-06,4.803358461091811e-06,4.6390459373935045e-07,2.3391003045603043e-07
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.613685406013161,3.3865761249399084,0.1332215914194832,0.269878990934916,0.028398082616169384,0.031339445165316254,0.0008638526235136279,0.0036690440152151726,0.009711003394519524,0.0011365977437967079,0.00968501866160798,0.002330731918891965,0.00012109719031122568,3.444258195095529e-05,1.0308532295999484e-05,4.421027122192278e-05,0.028806229740174577,0.006522961123742038,0.005376445369364546,0.0013200653254777928
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295403096024618,0.026506261728660996,0.06808190018796503,0.04223700063521485,0.010453284077632269,0.0009546701754407083,0.001433841496038868,0.015656337241682333,0.006360315024416585,0.004870203932392236,0.0034449865608712008,0.00019374889084781965,1.176142959402604e-05,3.451819291200309e-05,4.859078308561138e-05,0.01024779476858595,0.004249422473312836,0.001473464717958367,0.00040568593833534283
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605500540220632,2.672058457406306,0.09157079039986005,0.18059702983112141,0.00869028192312693,0.026874882872626182,0.01636723859451758,0.0006277874616428258,0.006128379404696349,0.0034449604866690214,0.00029953619034177315,8.405314267068142e-05,1.6123229037989795e-05,3.2247823776421214e-05,0.19315355467211398,0.05692215634753005,0.02727314324053523,0.005531306757475152
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09853197368653832,0.020835674978991747,0.006778383226521911,0.0008600055333145562,0.00020726952977478952,0.0005307047482189242,0.00011196110298428152,6.0467475382353086e-05,0.00019278883270890113,2.728172396937456e-05,4.6410903047355845e-06,3.7656452480661073e-06,2.620073523695865e-06,0.03557071577338722,0.08016688229979962,0.005673390861426708,0.000181963821923814
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.916199640246439,2.731104329710134,0.08260830001695374,0.09383993203583918,0.16019795964416472,0.00842207087966007,0.005785166024439237,0.045636976694326786,0.0023674407527771724,0.0011804070212475537,0.0003543673255792523,3.95664753400915e-05,2.680067868892162,0.2780432416927683,0.21541031696725996,0.05334199402775874
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07773139308161103,0.032011272219970355,0.003552230670714307,0.010747091408363274,0.0040974534901481174,0.00018199239151894808,0.0012609024894788545,0.0005874373246187448,0.00028107435199387076,0.00010920431597583047,6.125197789863535e-06,0.10718224623096262,0.026877839788396418,0.01106186960846367,0.0009247987661118451
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9909576577834032,1.8887818740723958,2.791896784462928,0.08387551289068551,0.08527933488898776,0.2015533565910677,0.014946231433168367,0.005473652445504795,0.0014519900647340656,0.000903115985368963,0.20377325162187854,0.04327017844200874,0.030092203052344363,0.0019509226883901443
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02433741137420875,0.08096113444046082,0.03263496282990541,0.005137601474943354,0.009569429878313884,0.0062740130619032275,0.008049514665295465,0.0006360315193636445,4.692044107290627e-05,0.009991760227523017,0.0022131530800337806,0.0008484994573894067,0.000125084706733114
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08321536040604727,0.00492541494258214,0.032625925782002296,0.01797664967813961,0.0006656325577444333,0.00013013156258434577,5.134023687602962e-05,0.00030951434345016793,0.011576525388174552,0.002005374407818783,0.011917162608830911,0.00021417288832159542
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9877553237825132,1.9258808666952276,2.809878349404922,0.1167907131995614,0.0062539236255412245,0.027313602061760145,0.009825066602289878,0.030935451635331873,0.008075829607838675,0.005012545163283172,0.00046322092476902554
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025934012882098623,0.09258405151288562,0.025626781195294934,0.00022674842803094286,0.0013812574085316776,0.0004274053511117426,0.0009955172266760126,0.00029967744460146495,9.72648973389667e-05,5.684781242187853e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09149921106606573,0.011828247671038628,0.0005781107936411178,0.0005359121386583343,0.004988745459463262,0.0008583660195879972,8.438554649836671e-05,0.000372687426880014,0.00010750932710901218
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9126166820472745,0.09791205085083066,0.09156818719758586,0.09484660359818464,0.009263213041530188,0.003452024425047294,0.0012545392058559493,0.0001647922231476917
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026717640246482,2.0550381555480586,1.9934148277914818,0.0003804066045048904,0.00012131491978567555,6.370184258289169e-05,7.615583142439597e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025102660317245062,0.024142021528869684,0.0001934215179797416,4.9327390992282005e-05,5.291706113808026e-05,2.443883019065396e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02548316842511733,0.00010614316460566542,2.8784622501221158e-05,7.130412605471648e-06,2.8125595781247625e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.749714770495132e-06,4.037535937806425e-06,3.856203416141568e-06,8.858156053115351e-08
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04265649921139,3.4525612941827735,0.17177395136876994
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5183437153278518,0.06565344497827408
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7393811197052962
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
