 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.636266652789477,3.7615521595530885,0.13266020195334882,0.2901312844120819,0.028044886881191777,0.030757300158228515,0.0008340672145326078,0.004391426341281868,0.005070373528956229,0.0019272509051206366,0.025661108188886117,0.045649026429407547,0.01077590355810873,0.005717929533264415,0.0004566037604009088
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558089884027284,0.023190375585258938,0.0693844671725278,0.019963862780692176,0.008832138719970066,0.0005219068004888028,0.0007890795708851428,0.0020078716314286954,0.0011165539667371618,0.008506114338710846,0.058248123710857524,0.012726926629279982,0.004833786740610371,0.00027366070032541767
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6074878609139267,2.8680642790890114,0.09303846101500479,0.17808457651527348,0.005396888157651825,0.024835736076210813,0.033050619436687245,0.01040000834036571,0.17805109342507966,0.19071388556571628,0.02874864155458426,0.0275507785617347,0.004865029490966122
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09618184255763884,0.0050159978868367094,0.020905012285535984,0.0013182524269113038,0.0022099273764599747,0.04966749176235796,0.011707603581862402,0.3799589657185266,0.014688295349910785,0.0007554221359497015,0.002542848039296719,0.0010815997048041481
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0018292840472247,2.784976406737026,0.08502436679638947,0.09646851801190515,0.1452721188916181,0.04286237718817498,0.03405898093412295,2.715235249683183,0.2602551723203505,0.21760623916564945,0.054975569611607766
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07706103018923383,0.033957025446571754,0.00597913389603888,0.004800091359654424,0.0016589146004469812,0.0008352687148321936,0.1120247977206339,0.023429858725926067,0.014979425798419155,0.0012532019479676304
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.118842511170661,2.099920197334967,2.624983813613683,0.31672004262738274,0.27785106864844283,0.21527075780954952,0.045785886449323625,0.02595047991629096,0.0019525739675281262
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024901211353528963,0.08001609399938547,0.024718511723871517,0.01414666847668844,0.01772102844768164,0.006734035618007006,0.0016752459126392338,7.728497573067372e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012098463200923,0.021727377635242795,0.021024065283922422,0.006839696480960944,0.0009295809071636629,0.003605378014769123,7.096907120107687e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658534094065679,4.351366134106596,0.033076283911495696,0.008914488424846156,0.005224566513501228,0.00062924426196731
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892529421660555,0.014962138711206274,0.0051885891973827425,0.002295412696543972,0.00016328502598894623
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006513776935319987,0.0015219853257441296,0.0012258778074852456,0.000124462601304276
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.061797510993533,3.3695874698403916,0.16877937517568498
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5081807591234716,0.08042452846970194
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7485672484251051
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
