,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.378798709434896,3.7351154758433815,4.11482967295357,3.8245104929650116,4.594769360235313,3.5821076853499663,4.539951736005297,3.605728680814447,3.5094895224475575,4.808183110080104,5.682044238386739,5.240588203156775,4.7905405824505864,6.288041155133352,5.435666284851524,6.607448342519364,4.605760188236971,5.076566754082614,4.534426065601988,6.427533996437062,6.721954509369873
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8306693695817617,2.4553058039935496,2.4369157826906735,2.395181604191748,4.706510970641166,5.171887145227383,5.03538200197028,5.343688266782112,5.962088307145126,6.845860606557935,6.613189467363758,6.032150205930073,7.514660264813325,7.246775887089186,8.429236018228197,6.652720386037161,5.6098335105101516,4.668153652461177,6.822685608333179,6.787657137659602
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942595124186971,1.0939426363483695,1.0944534606971945,4.702132375034029,4.74130383571211,5.153733076584874,5.772199987337803,5.759129012356798,6.5499277603679955,6.622811898777238,6.108536763850119,7.352447683229852,7.590701883212736,8.759782153455793,7.234611400859006,4.990397384984534,3.9351834927923575,5.975935543259532,5.733398721093141
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7839622127230148,1.7802571725005538,4.460491010385587,4.293581415804646,5.173505256830366,5.889699063296969,5.824212505850408,6.470904421307613,6.895629671039391,6.541226151991793,7.616519630578426,7.85255797718626,9.047927064049288,7.458005384165426,5.0852711359769565,4.177132356757921,5.979911970671319,5.7680537416090845
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7869102769069254,4.353936378809946,4.371586561080442,4.604226819787891,5.277570448959407,4.988395566513246,5.812582142407257,5.789457325468966,5.249962845146286,6.438690277720454,6.888463341086479,8.012116808311864,6.689563622740455,4.076334200355503,2.950198511336015,5.029191208718889,4.747021738083086
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79033595717715,5.779686224812551,6.206357274348361,6.810624463537443,6.734392427051483,7.539376340022973,7.528357264618163,6.937489353731595,8.207445227982886,8.543606091868163,9.685224607804475,8.22733522595146,5.852758023400306,4.72904191524987,6.750631838066622,6.38704043288821
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.240637115820111,1.344787498232059,2.1300834219617992,2.4316680671144395,2.7523649913479646,3.725857135876994,4.02755399562888,4.566102895841528,4.2153126745543625,5.395599038921861,3.7296410889846245,2.983756187766128,3.244343232862763,4.0087244608420765,4.58781513884545
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2861651636458147,3.2314159329135723,2.7983884453388326,2.8328780998592897,4.309840967063525,4.686293615079266,4.945348730649427,5.042743874342074,6.147831433959497,4.762937403102064,2.9139619257657277,3.2330414702751398,3.6233805153728844,4.107275926370938
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0551365784301647,1.4489902824223062,2.1068666099548246,2.4458949197018613,2.760879321222194,3.381719611685783,2.9361615439314166,4.138740279914328,2.595258968834515,2.4450211261293076,2.8769555928220396,3.5821363660935326,4.271853925416908
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0622473592153545,2.677267103666694,2.4111502385244536,2.696139579739309,3.452516015241446,2.3289205111830014,3.551864252705769,1.6511444282406609,3.2801769943716,3.683150529835548,4.399848370894823,5.128659365542916
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982189067888868,1.5523347257737603,2.1596721800002823,2.1736718763777816,2.6435884336456197,3.6434689533317317,2.9630053764624478,1.521453711589348,2.453152105797539,2.383428281844456,3.2035747731851902
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183174720560603,3.06301669614047,2.4457350578357886,2.9955252886881554,3.7972664937121414,3.3890783841861887,2.1261132823817297,3.249680825443951,2.425773085790645,3.371646538510534
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994811411284977,1.0930253330155464,1.5786503316672191,2.3960439083782004,2.418526827160075,2.5015390369052715,3.2344337342570295,3.1810624529842273,3.933797807025475
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7745584638683485,2.1753086393371355,2.971175969001723,2.7971969826338756,2.6289054693036076,2.950854009244479,3.5048366320432365,4.0467511713952975
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1926034407055455,2.4918050506841087,3.299264941337057,2.7887670258306274,3.655059935633234,2.994254485035236,3.735658656801831
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.240190142989424,1.2758426346853826,3.9429432948951053,4.636824310186603,4.646029383631528,5.464080682294279
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.267190738637966,4.85521653400135,5.621951480821647,5.326175425278445,6.146790460482365
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.337312589967941,4.873573708518762,5.267390485028441,6.070005725856627
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2147340373938345,1.361937151702334,1.8693677151480907
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247954310762551,2.2491684091601054
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9753451334167179
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
