 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,S33,H34,C35,O36,O37,H38
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.665324274925085,3.8851002588931873,0.3919485356538007,0.008471135425971,0.027464263800705213,0.40092861065988494,0.011942878374353594,0.03016353280033779,0.018971815099537243,0.11765813779303179,0.006719363505227879,0.0005196406824861111,0.0004503480393962256,7.714492988430965e-05,0.00030855931159917693,1.3553099624807885e-06,0.00013860626541750687,3.2133447712787144e-05,7.068678968380482e-06,5.924292985085011e-05,9.599834632564863e-05,1.217745899777245e-05,1.6756002383377933e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15844199546959492,0.023289626407423936,0.0013061638275333465,0.0019298421174451796,0.012704711074130848,0.009849434934041223,0.001222029244260403,0.03836705242785843,0.3182288691108949,0.00980592909381861,0.0002609450708548344,0.0004751475736741728,8.790531857849615e-05,0.0002504401872086559,3.852512799884522e-07,2.67431102636273e-05,3.7240389572423815e-05,1.2165710795652984e-05,7.047121164605041e-05,9.882302938557519e-05,1.3523901372769487e-05,8.13238692165541e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5995069352839186,0.1506090630702479,0.15150863679332194,3.575409238200905,0.15332024392290422,0.1472746797813067,0.0031803351018927783,0.013774745487786594,0.0010107012336495608,6.937305294751894e-05,9.465376707110118e-05,1.341008289879042e-05,5.058380182929034e-05,5.364835815591107e-07,2.8624174916780376e-05,7.724793511951211e-06,1.5000228252848302e-06,1.0140945060160833e-05,1.2668821989442192e-05,2.0816093501407895e-06,2.54338166305601e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8197879321353803,1.9320512541315613,0.3443126748326292,0.02771796398555537,0.011664858379292764,0.0008912035911480265,0.0034063500140763536,0.0003055731509525039,2.1698599314445843e-05,3.085630089497138e-05,4.481079135087995e-06,1.7162130680634102e-05,1.3935072729065467e-07,8.938483024412136e-06,2.595057819174129e-06,4.2412165779381894e-07,3.0459226616486035e-06,3.965526451293888e-06,7.378071067432046e-07,8.117086913728144e-08
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03665203813346052,0.027484053748432435,0.0028164523057157,0.0008369718691576544,2.9752332546095772e-05,0.0001035862841117785,1.0845951604054882e-05,2.7323206963636437e-07,8.570439395949592e-07,2.1308464814850936e-07,5.25382422345011e-07,1.6850886686015087e-08,6.94335424711312e-08,1.6419019877034202e-07,2.0211704754302673e-08,9.003357126502465e-08,8.834882969654956e-08,2.7336167995883898e-08,1.873426302978487e-09
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011999645498029565,0.0009835729422280615,0.005329089935039999,0.00015495967168188685,0.000617367839314209,6.560915279585355e-05,6.893137777019831e-06,6.015535992887067e-06,9.606751640856004e-07,3.991123303959121e-06,8.590153477427975e-09,2.588094593969359e-06,4.289533160894976e-07,9.262120248543226e-08,8.18377209110821e-07,1.3020904149341206e-06,1.8818207803139586e-07,2.6761920457474275e-08
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857006362660763,1.9172258055984825,0.0010071807659219612,0.005426345999949095,0.00017114736192423707,2.995528048177487e-05,2.1775401559995244e-05,4.574021723935395e-06,8.111067016688955e-06,2.1465793653696608e-07,1.302834636829342e-05,3.222941889452491e-06,2.768914544315493e-07,2.290304775859342e-06,3.01652730214097e-06,3.996826765245709e-07,4.673130549193161e-08
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03629414426658295,0.003024436539045272,0.020649020304133292,0.00043416904979554083,7.171051247767402e-05,7.39607711467416e-05,1.1267442213247492e-05,2.0149008218561804e-05,1.2209630773085678e-07,8.904545450461043e-05,1.5345642963016104e-05,9.58541441775651e-07,7.452136776553431e-06,4.173668635254479e-06,8.415554001439673e-07,2.4982340418588933e-08
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79800026153454e-05,0.00017369831938296443,3.6139498592602237e-06,8.878925497057821e-07,6.10447646431922e-07,2.321915542058406e-07,2.888761242436644e-07,5.244373224577714e-08,4.709375676092975e-07,6.697085741524944e-08,2.2029647883670123e-08,6.208411251762413e-08,6.160983823111366e-08,2.065128290595908e-08,1.2976029140077117e-09
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3790837327158405,3.7471853569599585,0.1477416320557744,0.27435586128852374,0.02009937334059897,0.03809378635306862,0.003706721698517823,0.006798485209627003,0.007389461693261254,0.00038374873200908155,0.028343705840687294,0.00755470154588693,0.005802851509328549,0.001199260071045427
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5368521688182302,0.025400388647462968,0.059152488544832876,0.020227561811474115,0.024776754434963216,0.0009830575317731904,0.02549892508050755,0.002936444282483193,0.0003326573298636504,0.005675570095270366,0.003643424862865674,0.001099962145332839,0.00017270884828912703
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8049686814813093,2.8142144166913625,0.0950756470269929,0.1697548588254849,0.024640881328883646,0.006661250928780116,0.037987636890752255,0.0005683892807157864,0.19054603437302073,0.06572569301704365,0.026600373642533835,0.005206035041534163
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972939299201,0.01878452309654821,0.008024081848335696,0.0004366163004489998,9.431006811122522e-05,0.005346792099194753,2.4452125991780704e-05,0.03773230695605845,0.08997851232241927,0.00623202066274775,0.00018348242874854925
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6664497500899396,2.568230209159443,0.09518628487004555,0.092796131661532,0.1989924057164622,0.002998465935994732,2.747922654812231,0.28942365216611654,0.2240215427108168,0.053863396535512864
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08531703884092434,0.003776477848923321,0.00654680572731503,0.041415299169542896,1.3760121811534631e-05,0.1094941172855497,0.030348320605689483,0.010305677183710449,0.000488922734497077
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.957987420270902,2.080527558943233,2.5854304376255173,0.05357056922196879,0.17403685570725916,0.04463203714620871,0.030359843242455456,0.001958701509484073
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02887329438993258,0.08644973679804802,0.007341797581181142,0.008114317839134744,0.0012668743213659628,0.012883617863235108,0.0002904336019693421
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08949527811810365,0.02371312635094336,0.026443996096582323,0.004817751036629958,0.0037795970320222416,0.00028886407838579764
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9126480857399257,0.026629470335035363,0.007149468327130495,0.004423959838198731,0.0003523431891228057
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036530994090957503,0.000861422229581299,0.0015952200801674365,5.679826317739334e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.973463925514413,3.5021345833777655,0.1675465740165244
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5191972573751512,0.05522042256324744
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8135150844449521
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
