,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33S,34H,35C,36O,37O,38H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138291581844609,2.4441904215069092,2.4976244500923377,3.374617117092212,3.546564068396117,4.582211234214352,5.0294598222143145,4.56519041815359,6.008365751205328,5.674159548660035,5.711181977480207,6.57108761872641,4.038480792885612,4.349780647328804,4.96272461329413,5.105280831874568,6.182846972487353,6.094239581623136,7.174073631444349,8.085184378692546,6.856943938623593,7.839417201759635,8.687575320171845,7.014802180418387,6.894441898295705,8.165786413888236,8.741182782226527
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979239672074497,1.0988730991244637,1.4693173889078,2.1388893351842477,2.4944258925548435,2.912324066478275,2.59367475219716,3.8955896842683195,3.700641246054612,3.9585151859605627,4.5330881154651355,3.968640427041329,3.62130183971068,5.127620334335723,5.656839666241818,6.043862257861865,5.69464404175423,6.796218227335902,7.59389819854154,6.220502985226367,7.761661641887921,8.741300047750558,7.1898550863090485,7.42724486975062,8.150103900408775,8.890440324910916
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7815929003810638,2.112377033312647,2.875794347920581,2.851902058274124,2.925834297767816,2.3916771892032314,3.9125976775536677,4.134905700762601,4.511586194329816,4.819707378490657,4.7057066502865315,4.364587489426692,5.727149859243713,6.233942140434707,6.550417375490874,6.074400956251109,7.437118707819631,8.158115213908639,6.9226660678062775,8.53807144428669,9.431338594269814,7.590729531806378,7.816946603408711,8.484064584936355,9.183508079831483
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1097740216777696,2.8472843096485425,2.802397860354784,2.9320683968314203,2.474186455849667,3.7961471442863584,4.022061857989844,4.403809294749178,4.814808849174799,4.67927264810081,4.325913725077957,5.92400178360794,6.420179969082726,6.907132745265845,6.630810654802738,7.532241401260215,8.371183425996223,6.879303870271618,8.356115577143342,9.420342601117852,8.101229559301244,8.313304622623333,9.096497428625883,9.851005302915297
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038467572013264,1.3222927596090441,2.331445146516876,2.568164699385734,3.234827761367131,2.306145970990301,2.4945411556469237,3.2034034362767256,3.5155045160167226,2.7448140648781094,4.68664815460335,5.430343215459877,5.339354568356909,4.884602910345212,5.8810962876300374,6.587417326791413,5.178110067629247,7.003492381115202,8.020890120499747,6.647978425520057,7.110008256994423,7.467329048246823,8.298778750833591
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0198107873560462,3.2483522394378817,3.594431553938322,4.065008635672787,2.4690492561676702,2.214936156237257,3.440294736830778,2.557665859345657,1.706607933549484,3.7254491364581845,4.523766421334226,4.358888698530914,3.9828790153364095,4.8600999067179,5.603989452042547,4.17655385642059,5.969121030394705,6.9833555720205105,5.71384920761856,6.211092423758295,6.552219772438017,7.3996914647464305
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3460634237117903,2.0520953793643852,2.0556373796899265,1.3513578682627942,2.0389388208985104,2.056218533327075,4.564185858620066,3.5636286428850257,5.688240394306369,6.5240748822068175,6.116302273353844,5.541326946255141,6.4602867296766195,7.033765885120943,5.635562298968178,7.683687685911406,8.728024215271274,7.4895148904403,8.093040561541814,8.154235484079479,9.034892666919946
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094091096198246,1.0101454662223242,2.3242480099317944,3.233505469870009,2.5605357393750077,5.80329602707423,4.873900584731975,6.937132648961569,7.7295285889565575,7.397839351166599,6.775409674609259,7.795280127382859,8.343422682715588,6.975485422269175,9.026498750867558,10.068591886124029,8.725646202397979,9.293085071778378,9.377509057056782,10.237600307567435
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7211464652022384,3.2445529774279183,4.075103299000044,3.562014118277829,6.065918039769133,5.294637277122016,7.216547573090592,7.920088365156986,7.816078412796164,7.227344185632695,8.353556009888969,8.964106953777017,7.5947167316418165,9.533816218915863,10.562118792184847,9.075076851937194,9.532034465721875,9.80822554711081,10.624692020771018
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.549372724519672,3.5546637784603052,2.424923101806234,6.613787124399946,5.600436205899506,7.741781016921059,8.575913589675988,8.110001402208528,7.462004447815984,8.376525634039206,8.85991302384861,7.495184656303801,9.616790664097287,10.682554053602702,9.47575861899668,10.111947760433525,10.05418775583921,10.940497574145994
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012740820451618,1.0105035545834582,4.693705321656052,3.502549665014428,5.707400040701858,6.64415281941222,5.871618709036084,5.273495626263895,5.931283501696286,6.376982756872635,5.007875300426992,7.206748840186001,8.258088058927122,7.3155447368373165,8.079551315813687,7.826869665225246,8.760936019480411
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.721511786070641,4.004185611197776,2.7618339242601286,4.928973935132346,5.898594002240619,4.9952820778761335,4.451455021446619,4.947297373972188,5.391101734469162,4.0059498601982595,6.229101429155565,7.272554762350691,6.468140945603344,7.278465086557536,6.959889703374531,7.909820600606287
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61946532848456,4.402687805879816,6.554191782798908,7.5169828713555535,6.568297764191138,5.885308440437193,6.552866477986375,6.866132239029958,5.624331847835708,7.9021782254680675,8.91311102412722,7.984915012067592,8.822616082835282,8.366954102460342,9.306759669865302
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2515730976776827,1.3436917273364894,2.055930599443843,2.47436515987669,2.7387106657313702,3.1693903964541166,4.153680316829903,2.9319887837855765,3.899093576729733,4.803265303113007,3.6826272336546118,3.974712983007052,4.791197136614211,5.543186131055794
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264424967124201,3.176614282422898,2.82320474338202,2.709385399286509,3.2133332961793597,4.0582625568896695,2.6156277681739044,4.277699298962735,5.277559443687402,4.262460214390396,4.826244678025322,5.136975537083876,6.002805867061073
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0156380733753922,1.4527817773805272,2.0903543707356587,2.5078119043826703,3.4332853084300825,2.7602891107741705,3.2312382594323052,3.832927966449877,2.3897250362411984,2.651574428662324,3.5889674959186513,4.271410969322427
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0928943433813334,2.8737667326255045,3.1405521629581665,4.0318155007092935,3.5812886802670696,3.427535038862649,3.829414398307102,2.4013214540970966,2.1750292584768416,3.731808409326419,4.217168726823236
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097789088022854,1.5487935204389993,2.174781084828542,2.151201778239546,2.8639309876093524,3.1910848438517867,1.526600919892694,2.4221811286847634,2.3719581702590635,3.21794360488014
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145779892448724,2.463831862271349,2.4284498924250033,3.792985104231937,4.129219916382548,2.1417538062387083,3.1199718193227177,2.6141045906865528,3.5103409586609375
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0923371087443545,1.09227801835661,1.8361988810965844,2.4169044546728156,2.551423698249544,3.4969761142793887,2.9308265967135037,3.811115395463501
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7681565499146117,2.441743008292167,2.581081977956634,2.7891500732864016,3.8863479267022214,2.632862664853689,3.5101464941241782
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3707745851258166,3.2987046893448846,3.472697804981377,4.390595972206836,3.896050097473269,4.820724685542075
33S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3504605273357448,3.362007363517726,3.855212116835642,3.888567709774021,4.50264463088746
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.065659801482344,3.475211706918315,3.303208991237529,3.692215290493928
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110334961196418,1.3419605933313432,1.8845164619939687
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2607428273801573,2.3258638117570563
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776691717117334
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
