 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,H39,C40,O41,O42,H43
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8199167564398036,2.0431412337703785,1.9942525171671375,0.02024216565116574,0.0004084957030643377,0.008709373480107474,0.0021341942795652935,0.03151158015140214,0.008474218134591205,0.009558428904100622,0.00160081982492144,0.0007241413020103032,3.885822140781148e-05,0.0003266267967281522,8.218402596571472e-06,3.3586900547777354e-05,9.210495325881474e-05,4.5382728048465326e-05,4.884112281167141e-06,1.8354532482958708e-05,3.432216328924653e-07,1.5542848411473353e-05,1.3103294230765172e-06,8.057388270546473e-06,1.5190251501095986e-08,7.3591220187962936e-06,1.7018367924753752e-06,1.3402244647409134e-08,0.00037880506494850086,0.00034648284945343333,7.032053349795286e-05,1.4000731360153118e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023895190301200797,0.023182431501059808,0.00043405178069466643,0.00023251050421158048,5.8612273150293603e-05,5.715175113940596e-05,0.00103402557716481,0.00041632402201774443,0.0008170419455220124,0.001122844696793246,9.458258833316968e-05,3.530908610160921e-06,3.60814274109611e-05,1.1192559572492655e-06,4.68098913364301e-06,3.206228821328594e-06,1.2483797193763024e-06,8.176409105331572e-08,5.560049447517201e-07,2.615647987092018e-08,3.0118008464974366e-07,1.1578698666525611e-08,7.639521415470085e-07,3.9846681509914106e-10,8.1861135203809e-08,7.376602884079375e-09,1.438217989147006e-09,5.182402385450757e-05,0.0001699500271392651,1.814735343019791e-05,2.4079829863410396e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025110411941746014,0.01061201240898313,3.7974707094434734e-05,0.012654028312260923,0.0006920320191734497,0.002016865666752077,0.0002865035806998151,0.0010307339382060743,0.0002967379237335255,7.975913611324437e-05,7.688896861424155e-07,4.99514637988252e-05,6.263408522944047e-07,1.2326924814232143e-05,7.153353603239765e-06,4.142240043192302e-06,6.434459913773338e-07,2.2050646415472386e-06,3.3277276489940277e-09,2.9490514521501865e-06,2.798321458996611e-07,2.1294692096329726e-06,2.5076452025984963e-10,1.4301596178434295e-06,3.052094427191676e-07,1.4552583582627676e-09,3.17355979284617e-05,2.7591390281411776e-05,3.0528924175321492e-06,1.0759795865400434e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001654549611069811,3.7885707640406e-05,0.0006107493722491419,5.361996579722472e-05,0.01993304253922412,0.003210092288439159,0.0035635092920072164,0.0001859210805514877,0.00019999784276247823,1.8497031697428667e-05,0.00011335766864140062,6.953499041451039e-06,1.1488613308019424e-05,0.00010144989248850322,6.11757393891299e-05,1.8817917211144675e-06,1.5272513582020864e-05,1.5940856679108606e-07,3.341000925249915e-06,7.608257335256496e-08,8.26731079417442e-06,2.6804339414709943e-08,9.805007323171466e-06,2.808386119323991e-06,4.732436442722587e-09,0.00035042909247695597,0.0004669366940578401,7.493206616260295e-05,1.5367670678223533e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7660998643527734,1.9809076499029372,2.002266232566612,0.006111683448642047,0.001437045126999631,0.0014561652534600261,3.5431190173906835e-05,0.0002627719467233336,1.3652494050719888e-05,2.4805322955775977e-05,1.0766005041906723e-06,1.1184365357186365e-06,7.556894959015459e-06,3.510972773762555e-06,2.193210295597936e-07,8.216564302415685e-07,6.995766133055525e-08,1.2921668267884545e-06,5.5187883374330227e-08,2.6344750136964024e-07,1.7061660972927939e-09,2.6759856079638933e-07,4.123275300360607e-08,4.70922956186115e-09,8.252125286245526e-05,6.048729918613216e-06,2.4306261619755354e-05,7.877038271209003e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229854006337189,0.02322573524853544,9.460484782519707e-05,5.711295720389753e-05,4.33942505486673e-05,6.184237175022034e-06,7.389238999344627e-06,2.8356838033261056e-07,8.346957318661197e-07,3.439528195592345e-08,2.147409428054914e-08,1.3886576977206744e-07,1.3681584176694628e-07,1.2039820029841053e-08,9.497351882714611e-08,5.179440876190711e-09,1.3990023939314256e-07,2.7509745592624313e-09,6.374857908220122e-08,1.1817968825766911e-10,4.741937842389632e-08,8.367100345907375e-09,1.9006196616544457e-10,1.8797061607234156e-06,1.75818344771983e-07,5.427793405843317e-07,1.9006126628084985e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02320474369973624,0.00014657971736986575,1.745951968645798e-05,4.5321598401759644e-05,6.74376577602942e-06,3.976224052015809e-06,1.4344470722349456e-07,2.0501095918668e-06,8.232526882423485e-09,2.305980639771832e-07,4.813499825395695e-07,8.875540034036788e-07,7.362258580556613e-08,6.737311730731221e-08,2.8333684287673577e-09,6.037400475111809e-07,2.9951876312495074e-08,7.983773597786126e-08,2.6105118067221156e-11,1.1070685679293035e-07,1.4728914532469162e-08,1.184714548685406e-10,1.2846024810553303e-06,8.640779773916307e-07,3.5661501884831637e-07,1.077313447339634e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011675001344773062,0.0002417313954089506,0.00028159658228887885,4.165795886912349e-06,6.444999527510653e-05,2.029314571494467e-06,5.543399593577192e-06,1.6229337784778863e-07,1.6700198246510922e-07,1.5697433715100573e-06,7.284071334989761e-07,6.807399666186598e-08,2.152677738287423e-07,1.2125360493442372e-08,1.824532211980312e-07,1.7978990962674857e-08,2.6667444030792353e-08,7.169034255127826e-10,2.0429542946232004e-08,2.7196103147275608e-09,1.4601821973769802e-09,2.018084648214291e-05,1.009594051026852e-06,5.809975956561075e-06,1.9826597619232444e-06
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.819087141975175,3.4722885402625763,0.13610294565819747,0.26969648913651456,0.028404699001005618,0.034780660209392106,0.0007212903721711683,0.003932837363624708,0.007127050454391964,0.005381883370367518,0.0003631194366480184,0.0022977126478269105,6.83036967916717e-05,0.0004673167543544632,8.950120754747104e-06,0.0005580361561696445,7.2179569821084755e-06,0.0005130301859457287,0.00011136843846840105,1.0003232510102933e-06,0.03108399465864134,0.0056525199358667955,0.005732371203646364,0.0013435018507299556
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5396775198034635,0.02606331015324881,0.07061509628519642,0.05616014966005656,0.010764965304134427,0.0009493553360171436,0.0017104254590053491,0.0032104246708736794,0.002429037577404994,0.00024274360876785916,0.004629974935039069,0.00021565094064934787,0.0004837516264750777,1.862681244579889e-06,0.0007314623269967235,2.5598068089660586e-06,0.00022482096768423887,4.2028300576126e-05,6.158962952973468e-07,0.010544883331443447,0.0037617768413616623,0.0015783430525044342,0.0003418957422360869
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7331382873273835,2.748075121432864,0.09847379223907582,0.1766448478807684,0.006674533209150013,0.02589002940761409,0.01981270508110093,0.012329788021321827,0.002291631179594633,0.003230079946056924,0.00013770890045161632,0.0020838311263243203,2.49652379322729e-05,0.0017227117800997505,4.715749662764779e-06,0.0009642144134939107,0.00024412250228969534,4.057818565716964e-06,0.19685187010720848,0.04823287800200232,0.027709818377081932,0.005264804838122306
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10165344107095697,0.028876898784574445,0.004791520745920708,0.0015337280663676456,0.0001183262134691887,0.00032210579699176733,0.0002474358469690685,0.00020696838068556822,0.00018505957894976444,4.468283749581303e-05,4.3078427274467757e-05,6.888674946026185e-07,0.0001067218028081296,2.8655501278507245e-06,2.801903620341939e-05,7.80471722905407e-06,1.4928152425319752e-07,0.023476232963540178,0.053505736278381955,0.0038138641109758398,0.0001294927711363858
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8675976034087456,2.655653331853761,0.0820925810938049,0.08829271747185974,0.16907756727280412,0.03853401865096169,0.0007593790839526271,0.03236234603795131,0.0010818024415515382,0.005458713325665859,0.00019737572898126388,0.0040134687830711835,0.00011389528102800917,0.011587718486603504,0.0029679254713593922,2.8504304705245787e-05,2.690218276138829,0.2805836607997159,0.21762563646692612,0.05319795733621557
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0781491685685719,0.03033329342118063,0.005072943392633755,0.00766888223589679,0.0006868200597096585,0.00027749164073531674,0.0031206909337350153,0.0013815075720979841,0.00038188567593633316,1.0365162431913433e-05,0.00036835297155457525,2.189145710018714e-05,0.00024017601277159795,5.111504278842993e-05,7.997552913030503e-06,0.10805192796754182,0.026655798291038924,0.010680654222976926,0.0008347432913278219
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.895052677395704,1.9211396512924588,2.7884208822053123,0.24606833560877966,0.015314151059885095,0.23313099969590545,0.013345206085747519,0.03654072187839649,0.0023401068208719344,0.0375510395442714,0.0024641707945904923,0.02128097086738101,0.005716748195894739,0.00027334811381840574,0.1982800382472816,0.04407629062372072,0.030615394616341204,0.0018605706483258988
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024564680089283142,0.09397523385667661,0.01859134804357354,0.007564097689875426,0.02440249095525282,0.000758422590101171,0.001639231430085708,5.7061176673700587e-05,0.0028269363055115626,0.0007166996539740289,0.0015244906985558693,0.0003646925773608256,1.3362680728379317e-05,0.012787575332865009,0.002688088018566126,0.000970440075955481,0.00013504110526696422
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09628672128431282,0.027378068147113632,0.0005108105265962948,0.01593300655238583,0.0037715542310485795,0.002773716534563153,0.0005015245406798652,0.0017091806339206705,4.4695375705838813e-05,0.0039535599902624785,0.000981669876990443,5.359976276797518e-05,0.008569964742288771,0.0014830108842776024,0.011338304981117875,0.0002262543992792576
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.712048311146738,0.12250684505331666,3.5471111332666676,0.123265882100424,0.3283594772837173,0.02553264895198626,0.32900519719198107,0.026286271767664626,0.2638774027585127,0.05500817333096719,0.0013491469474395945,0.028516819630664964,0.0074111257939986075,0.005064843608601488,0.0004172723962703184
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8448059094794007,0.3358878574711286,0.02874486570539392,3.7822324885806924,0.12466252622148266,0.30327684127693677,0.0039367717338509856,0.34220328370548997,0.044832118615601296,0.002708473194241612,0.006742288813424646,0.0020556345857599967,0.0012760673740507406,0.00023466210327260928
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02903716466129813,0.0017053047996868909,0.12857380928537565,0.008465321235570533,0.003521102356863093,0.0004219518963031188,0.02660282308791473,0.0032685037457269583,0.00020849340552064888,0.000182024776259615,7.429352344601181e-05,4.274494780664995e-05,1.5396650738797035e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9507109167439032,0.29381785312807807,0.003969142670612991,3.866055710793284,0.1296121321543361,0.3441139867582394,0.04233042553993649,0.0038816526639424698,0.005071784877718394,0.0020310626292190243,0.0006540496238319066,0.00015889506852029278
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00349570855355541,0.0004183407920306248,0.1304322761612804,0.008662249557868762,0.02677724778441659,0.0030148057000441986,0.0013014190134952308,0.0002602209941751088,0.00016376650824190264,4.936114210696285e-05,1.6688501236483688e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9311710177814019,0.32627457438764795,0.02799562338139172,3.5904661633586312,0.31340211276278307,0.03063529903758555,0.0014099467038198865,0.0003543225311064824,0.00027005322466075454,4.9443169796825615e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027644255998009237,0.0019113809545947547,0.1284168121420446,0.012732220223783175,0.016838771946318776,8.604441687731779e-05,3.061058389264293e-05,2.665625622055856e-05,1.8981950145047222e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8330450488705694,3.623247853352216,0.2974188570042894,0.03428017542298856,0.0009776380150375297,0.000385842615751239,0.00014207624489209758,2.392521209859666e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333123225282984,0.012419822098259647,0.0012831629103360331,7.884747046160712e-05,2.6957584988385186e-05,1.0699172638406473e-05,9.213724709855597e-07
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2730635896506843,0.13585370217281822,0.0017991694397656577,0.0007708381968453415,0.00021105701444835978,9.689094815867882e-05
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7865154850878096,0.0005040567874095014,0.00021728915719231023,6.336769738347903e-05,2.7394243112932593e-05
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1434830159640086e-05,4.5056357002026814e-06,3.433673076869148e-06,7.87215168607247e-08
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.040843578434625,3.46625232275822,0.1701017443477194
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5140291352578206,0.06709933556030667
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7347183687851864
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
