 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,C22,H23,C24,H25,C26,H27,C28,H29,C30,H31,C32,O33,O34,H35
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10213966929913,2.5212670000662825,0.08922713254450065,0.09388237891461304,0.1553613703413766,0.0348962755162211,0.0005762322862479241,0.03579310404943631,0.000566062964491465,0.0038318272997594216,0.00017838353538723872,0.004056627675690122,0.00020166326208848062,0.013631542342226133,3.078966792302573e-05,2.533583591653868,0.2621199281693627,0.22083071103961335,0.05398039728312687
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091045399647254,0.00476579152652068,0.007894888482088191,0.02387381086318996,0.004152824947206923,0.0002405884645539924,0.0029870781582670425,8.615501833064698e-05,0.0005973354679027487,4.539132834535664e-05,0.0005436188201604075,4.534753042939599e-05,0.0010083688862778661,8.137373532779435e-07,0.11410570587765045,0.029144477744928232,0.014468309548495317,0.0012128830189357398
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7020990928066864,1.6929657068837929,2.887782333379973,0.2382965587214479,0.013650971732933725,0.24039141142826279,0.014643695597490014,0.03467251946973336,0.0025195224719245513,0.03527544966674459,0.0025840319833427827,0.020611799658936183,0.00048794778677385686,0.20519234449309492,0.047410798275846586,0.029968105467774245,0.0019090224776383558
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027490467552194087,0.0976127111815075,0.026061828087536876,0.0006993729152455774,0.017660771151257748,0.006273296216658952,0.0029090301074830016,0.0007064319965555121,0.0016688990444084784,5.596519661477117e-05,0.002769841978143228,2.8295195586780508e-05,0.011276442335127257,0.0019096771916576882,0.012230108324250422,0.00023113580154454638
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10287291477180083,0.016901123266986007,0.004636823319358774,0.026588808510093376,0.000691648354145924,0.0017312279127716934,6.26298733104047e-05,0.0029234521867280705,0.0005950070406861574,0.0035556627477069114,1.4268610569301288e-05,0.025740051956866905,0.005114417529219595,0.003208312996116902,0.00033259473125135663
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.758165277536964,0.12730333846002506,3.7817053745011817,0.12485819845465884,0.3329677318354646,0.026773674074444198,0.3280637443552876,0.026438908260265404,0.30167316619885953,0.004052928038625225,0.01918840989809445,0.0052983247341824025,0.003493806317657666,0.00023476474450967455
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9456176411739692,0.3299950646796805,0.028949376758515832,3.9182320862587265,0.12959889733483254,0.3156261680424725,0.0036389673350047946,0.3308872548371453,0.027271875614384822,0.003793896309798872,0.0006509432773249557,0.0008949052839113542,6.869652560093087e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027470092932030177,0.001419579072305055,0.13011928333944822,0.008202716850110425,0.0038234110849573177,0.00048624101720684543,0.02665440612276382,0.0012626157531907545,0.00018101429000205727,1.722680208238181e-05,3.641587625524689e-05,1.4006942341548978e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031994294918446,0.31304753242617067,0.0036096066607402832,3.8967375328528333,0.12863700521909238,0.33435150479528075,0.027552075778285667,0.010324697258715071,0.006603278142748664,0.0018024318519745536,0.00030043336841645285
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003907523642444177,0.0005479914399233454,0.12762301666767728,0.008190220984678698,0.027315836661047532,0.0012756503541562214,0.0032318159860376117,0.0007951990501386952,0.0027764140374801904,0.00018212664463090888
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04079596380011,0.3337307669576838,0.027685371956914784,3.857401385622737,0.12493095130660481,0.0013830621010718913,0.0006483880418387128,0.00016228962320508078,2.125786255635642e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027699355136522774,0.001416511582630342,0.1264952389577063,0.007958568972096902,7.424661850219394e-06,8.371022295339259e-07,1.3161090646196527e-05,3.231127809533163e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9752068340142444,3.8781429241520997,0.126330289689234,0.0013309736615076118,0.0012203155773932023,0.0002609260455063156,5.372593935404346e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1260912655512454,0.007961768463142782,5.3860951120698886e-05,1.2531293782203079e-05,1.4177734559916999e-05,9.703639376468232e-07
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1167340998955524,0.0015799386268063875,0.0004477164600972111,0.00020164436179324896,5.425898270183804e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4782805023271237e-05,6.5864684501981685e-06,1.1104005201656442e-05,3.0308986260774162e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912610049314901,3.137929195824813,0.16407171726553427
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094200884077051,0.0805598197579579
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.554467653968226
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
