,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22C,23H,24C,25H,26C,27H,28C,29H,30C,31H,32C,33O,34O,35H
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0635591610786055,1.4461594232515629,2.107588920525255,2.542417783189878,3.4367113773725317,2.777017826841951,3.111126218692345,3.360203947926775,3.1030685921411365,4.155460784935172,4.506901420475292,4.509964634784545,5.069789044173111,5.133483690695055,6.034288335470172,5.285196358424341,6.262829145013341,2.4236075721103214,2.813783713040688,3.5938206998345374,4.265953379717741
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175276343914801,2.7466703500347087,3.4737658172726915,4.279041559248344,3.824264443097179,3.9046283173741707,4.12909671190407,3.9442331748034025,4.758276063661994,5.054031984193931,5.1074964766040765,5.620937535042708,5.631618390976905,6.451439391322411,5.7863244933745746,6.6904556989610136,2.582911238986225,2.6145095582006115,3.8128026123268066,4.309662356492275
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.100793598841399,1.5685158958511831,2.1600024314651027,2.1336110531515784,2.608406128204229,3.422998866325438,3.4317152096322197,3.4884000248259945,3.554917065587238,4.670442748684296,5.454339186505363,4.721282430742811,5.5302046634937785,5.212268795294996,6.2669872344863755,1.5209327085394968,2.450647500485987,2.3791563187670244,3.1992785504279273
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.136703176297796,2.398269884557962,2.372427473428791,3.489611622339844,4.316112604370616,4.181400969846469,4.37128059882884,4.29111749804622,5.633734649508516,6.389905745038966,5.678488382966904,6.458251405479138,6.215182403945906,7.285996205792068,2.1262130863892486,3.2185083329413344,2.4567841283357104,3.3851007933190984
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969238007310416,1.091459335043138,1.5111622249719807,2.529680762184418,2.7124256693837716,2.5392598808395164,2.7391221316262433,3.816783716974607,4.681774131411843,3.825949907242088,4.6933484741644405,4.329799888392858,5.417733718026919,2.5123132680824245,3.360620117731229,3.0386065846447776,3.8436402644129224
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7759283552937062,2.1508342950708137,3.3863988901664897,3.700644772618515,2.6749931857788196,2.4673186404409195,4.549193907879854,5.492492098953416,4.049270084595945,4.741412309985846,4.819205101565752,5.8869241799398955,2.6818786797537486,3.6564431289408423,2.6833640820855322,3.4759166171713245
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145435313515615,2.6726175454495866,2.462529331875197,3.37344872777962,3.6985629258958923,4.0406728181373195,4.735815387546506,4.537969769101831,5.478847723139398,4.807985512093221,5.874722332085341,3.41921443318764,4.30100462603008,3.91838834105983,4.797989529679513
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4031725257461887,2.1478833775970156,1.4019662597511076,2.1543168608716243,2.4331443468336102,3.4147906613478685,2.4363297054463247,3.4177176584452518,2.818685054446252,3.906623435720525,3.114278573850285,3.4898730359354113,3.861433110436652,4.423169787763182
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866077763979507,2.408566762717641,3.3957874461468696,1.3954292762212994,2.1529338416924513,2.7886546899936846,3.8767359919589723,2.4223485769094744,3.408937052497125,4.15386833880277,4.351214769025262,5.105202759866502,5.6713256364552596
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3900318626969086,4.288434863748481,2.160670291349118,2.486430493029019,3.8752205958491035,4.963281008296259,3.4096403803736304,4.310324894787762,4.477386905934172,4.788899136258889,5.47294793996152,6.149413479195575
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0886060667808035,2.7827259979605428,3.8706941197994476,1.3962750167946707,2.155094932881463,2.418792196064301,3.406200293240362,3.400400776281849,3.5345906037244563,3.9202924318586514,4.214819313579464
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8713270438473466,4.959298278062272,2.1542445562072103,2.4766504094335655,3.4031717462175304,4.302799218171164,3.155233310287733,3.3893534279801742,3.312454118251754,3.496827152112885
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879836728935253,2.4129190840531543,3.4018999425738534,1.3973270121977992,2.160860648594229,5.1482967089927065,5.088486599815466,6.118691051206419,6.537909360406699
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.40059061231257,4.3037628196231905,2.1578533771318322,2.4898734483970655,6.043561754836878,5.942978598405576,7.088249821318696,7.529601768003527
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881054250027444,1.3962311308394226,2.1593985481237725,4.563776338145727,4.4120871373294275,5.172090402600453,5.324019110929898
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158595955498141,2.4906172845089762,5.136513395066548,4.883418919412928,5.5820766386171385,5.567243802868691
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879388848269997,5.32501857961946,5.119873543951579,6.152728874035218,6.395725313439199
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.309122995776549,5.989700626947932,7.138837908638597,7.307064534373052
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2068169755192129,1.3691488377325052,1.8707993498251234
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251174205156095,2.250850555620336
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9757130540921156
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
