 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,C32,O33,N34,H35,H36,C37,O38,O39,H40
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02824810518110943,0.0014430652440502456,0.12674108080465374,0.008216822637796994,0.003740001594032427,0.0005179356626550113,0.026877466827867513,0.0012687082510070002,0.0006686281839447528,0.00012676480430884318,8.617308780700661e-05,3.391418347042929e-05,9.832232285011955e-06,7.45845563909775e-06,1.7066276047916773e-06,7.54365800936796e-08,5.581784063846129e-07,1.1603419611816435e-06,1.9039769760809122e-08,1.5797872565670446e-07,3.6651242178997734e-06,8.88104928675748e-06,9.059014475232274e-06,4.529286001364596e-06,2.62379643212185e-05,2.235700706121335e-06,2.767827824712299e-07,4.6044137802514484e-07,6.066485824796075e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9235935257765466,0.310346870903514,0.0035068368109513193,3.5945120810480833,0.12716323723573963,0.32844341330971677,0.026852225848738476,0.010322090395652489,0.011469894420688437,0.0013731609466585276,3.7917430191103385e-05,0.0001722943988789194,8.619367949069812e-05,6.959552865105911e-05,1.0532168354782101e-05,1.5939029483935663e-05,0.00024405791405665567,1.1685403440542252e-05,0.0004991265228833086,0.0010630595639923024,0.00031035101020678024,0.0044409735411612,0.004789209649420534,0.0016736860283563804,6.30751075133551e-05,2.7150717529879353e-05,9.582710153152596e-06,2.0543208684165037e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037289418245044503,0.0004956648518503748,0.12720883992848198,0.008245001883703695,0.026740787279760037,0.0012662597281780652,0.005819259511372632,0.016587932013065187,0.001656758159240046,8.290584380343802e-06,0.00011610736481482142,0.00010590429244516919,1.7392071032018563e-05,5.012655793779075e-06,4.199112398906024e-06,1.3200461592144386e-05,3.59102751468221e-06,2.1001806757681152e-05,1.0366086760305038e-05,7.091901903177877e-06,1.3181977234544284e-05,8.299808018419341e-06,4.32047061060814e-06,6.966800417140817e-05,1.3338811107987958e-05,1.3320936201099975e-05,3.099237186887649e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9474698808310658,0.3336826790207284,0.02754653306266408,3.8945810483573116,0.12352648098200936,0.001191156714953373,0.0005497369540840846,0.00017416398891405283,1.524835593091911e-05,3.2262080892353495e-05,1.0636011629427955e-05,8.121411866743311e-05,5.2425333659789075e-06,8.809292887934639e-06,0.00041836008535282854,3.0047588424841898e-05,9.691374818132648e-05,0.0014933069722245784,0.0005481681643945691,0.008818049026391286,0.001107144112347136,0.022438900964273922,8.261444908924664e-06,1.437472945217677e-06,1.3820755516563699e-06,1.4446335128148746e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02743439949530946,0.0014211521170861552,0.12353235783407657,0.007942223610193144,1.2226826261452217e-05,1.4203578470817213e-05,2.874639334127238e-06,1.54987789491301e-07,8.619443219171075e-07,6.233345717365779e-07,2.5070321034714738e-06,3.01068749930522e-08,3.8081376407816947e-07,1.1649057754858916e-05,1.3508868845768518e-07,1.98861731304234e-07,2.5122319300630025e-05,9.02319669926488e-06,0.0001054813468737148,1.0844392380304768e-05,0.0003704014148624424,2.322298091606001e-07,3.774020107538689e-08,7.428347448268369e-08,1.0499267455443828e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082379990613336,3.7691531556027633,0.12296455517619553,0.0012538094649504894,0.001756399944609327,0.00023894633102632123,3.1931768849080555e-05,3.678845264894204e-05,1.4820246382218905e-05,3.6153050006440535e-05,4.452943788590957e-06,4.669931676581918e-06,0.0002422221484895959,9.332188014243847e-06,0.0003081572640710739,0.0011689619382244942,0.0007483065832936814,0.009553705526394368,0.022303021381271826,0.0008210860905326633,1.121490248431889e-05,4.74420478786125e-06,1.7696685957885316e-06,4.062480261080026e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12495645542614686,0.007952439510642284,8.147024394200564e-05,3.7216637599479796e-05,2.4202364573122637e-05,7.540723865329113e-07,3.355644228486554e-06,5.199239665465427e-07,1.959393749251248e-06,5.28401592703176e-07,6.443654632093399e-08,9.289355177077852e-06,2.5475289544552027e-07,1.6797484339248214e-05,2.067363114566234e-05,2.2541798266106916e-05,0.00013394864501603543,0.0004143247836785324,1.6328576443180864e-05,1.6275028573708994e-06,1.1209766592745751e-07,3.305039897316675e-07,9.469059669697799e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.813823984800294,0.0011333780897640477,0.0003494972672731522,0.0002397342204866898,5.0084066910760505e-05,3.741911116461605e-05,9.272883265243337e-06,6.990421062094687e-05,6.982058110782674e-06,1.078848577684699e-05,0.0002679601661068204,1.3653735110308318e-05,3.6119725959959936e-05,0.0021941300984909262,0.0009989727939159199,0.010788737794396541,0.01608578473830935,0.008180023438434714,5.854348380601726e-06,1.1296418030992683e-06,1.0638700728982098e-06,1.4501086520457562e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1223549260485086e-05,4.34926555360482e-05,4.382830389060288e-06,8.731069118805834e-07,5.01357740212427e-07,1.9187276878440684e-07,6.032389983090525e-07,2.2175823510828252e-07,1.0782835513367672e-07,4.698646652867566e-06,1.5759681559757155e-08,2.3465606568962016e-07,3.1535208362187817e-05,2.6198513847552896e-05,0.00010334539920942021,0.0001946115770212753,3.5439501564704656e-05,2.554332867443776e-07,4.6397399811048956e-08,3.575136919842237e-08,7.846271188327592e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.342022077294168,3.5387312695343356,0.140468860846942,0.2809514740486154,0.024090850063562597,0.0322092141380689,0.0008965957995772378,0.003951813210804067,0.0022236262520473893,0.0003835334852837491,0.00015846372688610444,0.005007834589730087,0.006284095651075933,0.000695355694264238,5.934200236512588e-05,2.6915913143410464e-05,0.03902676481143577,0.007125738621948208,0.006839206271127107,0.0011335343697442823
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5386155708012288,0.023274821177066363,0.07198009072180397,0.04320074927412898,0.008708852329705086,0.001035254684757625,0.0010604119612793728,0.0013100419997765164,0.0003640615263698077,5.1792747171819364e-05,0.0033580948566592494,0.002500840827428255,0.0002126320840549062,3.781902297850248e-05,1.3848367163560305e-05,0.014383133030938786,0.002156751923155998,0.002324329807648129,0.0005585380338003487
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5941057847611784,2.8816050610969386,0.10352156117003664,0.17689531004622622,0.006661848640389656,0.02511883211733279,0.019498024000507153,0.0036588146111998787,0.0008627046727199827,0.04114493370075881,0.040445708265194294,0.004473848609914094,0.0003489003145491498,0.00011730345802840603,0.1999095532673001,0.03257141325543909,0.02927067621741307,0.004962483513965332
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09880004879165605,0.02506789291138234,0.013173953559481921,0.004366275511590745,0.0004708967805935327,0.0012301231357608744,0.00029065922942650424,8.882674180710204e-05,0.024944537875491446,0.09217607419066787,0.005976125838404345,0.00024108243919229722,4.563288725556447e-06,0.004275676625160263,0.0023669447375935793,0.00105906529644062,0.00029034369723279774
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9610905635666405,2.8151889631623814,0.08705923454623976,0.09533269560853497,0.16190955455511907,0.02468580016108235,0.012105166634808207,0.01237720916080412,0.004191818941477021,0.0025371074487968853,9.345886145584181e-05,0.00017731810447629837,2.676803245029257,0.2727115956438973,0.21781296573932896,0.054293578379047136
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08302187423595853,0.03237986238044521,0.004511378981293168,0.009031312699228411,0.00029143343965132296,0.004582151394413536,0.0009885839198424673,0.0005909292157658674,0.00018959686326069924,2.3213328359306118e-05,8.621236417871714e-06,0.10560152927256539,0.028631562692931656,0.011496061692881976,0.0005517047600986924
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0311733187654024,1.9819572326127313,2.802288267038643,0.09363055088546746,0.0795718526758491,0.16873897101175836,0.04246907726952413,0.031615400962945295,0.0019671265145048134,0.0044383366192481954,0.19001145115730148,0.04072787017877623,0.030497045134632028,0.00213431969089084
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024852675116818768,0.08665810428420195,0.002500718171386085,0.033470983576900926,0.015106016283886747,0.024725598390074155,0.0025271500781745004,0.0005902882843875634,6.100610353820812e-05,0.009735827392220564,0.0019247160109288064,0.0008608072150666501,0.00017017534969698822
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09640258156089854,0.007949421022673597,0.0021602902567903204,0.02602117135822901,0.003322740627367371,0.003372240965322848,0.00014016826507035063,0.0009943252797135482,0.00980169610997872,0.0016951466959724826,0.01435506507403006,0.0002908756628441367
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1037887404925653,2.0696242906644025,2.7726817171861295,0.2857669753155938,0.22960464476285636,0.015982767654275642,0.04209436227756058,0.03079693458262453,0.008037362020748132,0.005046397106650585,0.00048199513119151494
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02493016804946091,0.10983060967229719,0.028897826957624773,0.01787277504480611,0.0001772981215624192,0.00017792371086411407,0.002910025040176123,0.0012147680206842093,0.0002408396937972901,6.449479841252881e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0991099420570336,0.025568522023257767,0.011582075934025049,0.008246938192721043,0.0008169133299968934,0.0010970320178189663,0.00048750132306440985,0.00012483681451791462,1.3310605277983001e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.711915718263809,3.658093103008689,0.14022059743740267,0.15153706048025717,0.003145505687273842,0.0004923113023349857,0.0008610057429639939,0.00010413293450672878
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5534620109956163,0.03427183367373621,0.02925848470654291,0.0008503348638553843,9.41892749789508e-05,0.00014561040409630244,2.8953042326751444e-05
N34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.896739175235513,1.8851629899120343,0.000763334612951555,0.00016618346261173395,0.0002045104152177124,9.563000919921016e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03579853202637939,9.45632483928538e-06,4.969982663194372e-06,5.6262858121325365e-06,6.893019666165401e-08
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.894567586448243e-05,2.3104475748825237e-05,3.748875960019049e-05,7.1160749626209e-07
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.947878915689404,3.4837878529104738,0.16631509669438538
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157197048480883,0.06800744184334062
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643360654804758
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
