,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31H,32C,33O,34N,35H,36H,37C,38O,39O,40H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395781189392415,4.291624136991388,2.157159420078161,2.480499210424861,3.8746935203486177,4.962455441846273,3.4078141122350187,4.306989922640609,4.56720237596084,5.303485103012653,5.0804233228736155,4.8140840141866175,6.36995793234673,6.535569263325961,6.807893105400835,6.938680623917484,7.8453206851036,6.169617841678611,6.983198140933063,6.152071302025421,4.944483086042556,4.834311088494409,4.443522226330996,4.71336044671594,3.6917189275958413,7.520676007760124,7.621311993983027,8.670860479243546,9.374437738453985
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086997813087909,2.7898686763327074,3.877503294240958,1.3976663580424473,2.1547118974167194,2.42477526304995,3.411442282223275,3.421579757356214,3.4504116636418893,4.112327319632879,4.502146888417673,4.868124737368916,4.467088317207914,5.488864542212122,6.139054543610777,6.257788831143773,4.788981494667661,5.685426860006975,4.19872177980446,4.342168946623556,4.956209844215379,3.831380661645136,3.407156018027556,3.8144834182190115,6.179493185422063,6.723408732526622,6.9545628921852245,7.786634703648783
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.876863679010725,4.964477663129376,2.1587156766932876,2.481887733625039,3.409760930247678,4.309735486573027,3.125369615400056,2.7859053317269913,3.9466292370662215,4.5580861988587955,4.517567273685636,3.932999594745555,5.339492640007051,6.09911317330252,5.995719095619218,4.852174046301012,5.797221595519503,4.15365540751036,4.715583210608501,5.363915275296717,4.432008407945565,3.9509824002666374,4.601202378934833,5.712841530344334,6.307101666504105,6.372992561281176,7.180080932785511
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0877476317967756,2.4151766198147984,3.403437637445537,1.3984932137752855,2.161109709349035,5.244607508492213,5.775762875048369,5.58374674333168,5.45987590023393,6.557416601322035,6.50570290581538,6.719781564000663,7.058399870279593,7.634821025459914,5.678818971464335,6.318497090060861,5.428595571729752,4.586897330480113,4.962449659442606,3.578158440722322,3.4929674350283526,2.899983947427805,7.955251038706768,8.365043380103474,8.895422587744022,9.736531154968148
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4034074490357047,4.30602655054162,2.1595780653197925,2.4913441427295284,6.1572043302110595,6.779207183625642,6.405768123733021,6.150707836214399,7.406626238028303,7.441058935603212,7.442923769771926,7.67748642207567,8.376193117454521,6.345248581783966,6.877932347721496,6.20102255201497,5.122973517191141,5.384835656731647,4.050925000857975,4.094583839314517,3.2141510448617607,8.798332981253337,9.16250450817709,9.771929956210615,10.606229433583804
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880034463911212,1.3985378573538447,2.162173677767235,4.6147701922169695,4.681976668400024,5.047015031782615,5.340505346915009,5.631870617260188,5.200810102989192,5.933219097414489,6.614996367656387,6.631709673232949,4.914526348388806,5.610867172637552,4.235711981785591,4.456605925358687,5.266714684937887,3.577202239342695,2.919768658053366,3.5632685057823683,7.064176961650567,7.730112306822641,7.730697819297752,8.628647627148595
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1595338618022475,2.492641789665706,5.182417953515414,5.057494715122168,5.557556087082188,5.963277613218466,5.896992086981773,5.306645160844961,6.1391699118141805,6.940839908302157,6.684743163128042,5.085129642370741,5.682537661303007,4.233788294200492,4.916513439827846,5.880188749532323,4.052079503680137,3.1984300485718093,4.241761845852686,7.320207971223264,8.109809083429708,7.810529208845181,8.732648978982313
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875328859011242,5.411774038612428,5.721593330623617,5.718966254244413,5.778795360509103,6.440217657246032,6.191163609610451,6.5438896464341605,7.066904375458497,7.325042474890586,5.375062404867134,5.946584382903946,4.891931297286048,4.585592162185174,5.277897845131312,3.4509840070743714,2.976860219705091,3.1100041037583543,7.911056503414229,8.50206653413289,8.676541452187388,9.575532266658273
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.409496160386133,6.696248563298011,6.615278587409183,6.650257036004509,7.221695341379633,6.946901026987459,7.159549891395407,7.692838620455029,7.869246040813923,5.856682274232405,6.261503150958667,5.348039260010334,5.122841330178885,5.89679109697198,3.8518181199308694,3.2914066109065887,3.549263014867948,8.727461664685599,9.384783346682324,9.415254413593328,10.342169160420209
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2300777793730646,1.360686072027257,2.0588739579003557,2.4573081535577384,2.5693200993600978,3.70770886831347,4.09872371783914,4.540180207502559,4.050493870156419,5.144703924555511,3.992281612196803,3.8968122698605505,3.9158037779263624,4.495446876514084,4.63318061852676,4.707821050669595,3.2532667212485427,3.4560928339409447,4.353878981803604,4.980580114013746
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.274999620143267,3.169868955390848,2.8060842146589016,2.455261842284988,4.2116853846229505,4.81273487563228,4.834187554392323,4.586430022911586,5.66422641030305,4.272887390700605,4.725576879507454,4.956507976864684,5.218721755293488,5.138434981629464,5.528416734510025,3.4347023071119387,3.7850905522518996,4.258498546899043,4.871319016367457
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0115042294398089,1.4428544416027536,2.059589410095852,2.4684785560084497,2.744365362244856,3.388424890780825,3.014375868111616,4.062035265981372,3.2472689824035683,2.9859618291456966,2.9186035368235212,3.918696698572675,4.217851493521621,4.289634336608826,2.4519466897821958,2.7999752094242165,3.6254402510169466,4.316277385509082
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1136403607592915,2.9325732405652856,2.612366646280932,2.514446465600631,3.6510728840434554,3.0439354495618596,3.995897464093172,3.54917422221014,2.628502764326226,2.182027635117625,3.6590912608764086,4.188514537300291,3.9008211578360625,2.9916470307278105,3.124067144002578,4.227031575491692,4.856388629128522
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958464507141215,1.545486443837315,2.172491020557527,2.1505262761239745,2.5803872237245464,3.500280231181656,2.7665950604774037,3.2670004131024117,3.4676396468827346,4.325839141522024,4.482117569008069,4.963193320851199,1.5337261796320436,2.447986954213255,2.3804766605935455,3.2163329326025383
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1791512188265028,3.079240654562959,2.492903076383241,2.835887488028827,3.7505953808139463,2.581216936705143,3.6996959588080793,4.180395278815249,4.511670471900629,4.420341203822627,5.208858756352469,2.128321813039046,3.161196691306047,2.532493857683239,3.440896189743831
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964782649643696,1.0942947799333689,1.5334549583172445,2.1564507743441568,2.1794155121430356,2.5687155039508087,2.8829200186797395,3.76793676370124,4.025972553106974,4.551407891876836,2.5212347528279544,3.4135521157001696,2.987369683109889,3.829437275795996
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7654674343117693,2.1520928485320336,2.551006492829647,3.0682147358165373,2.7073736946295233,2.568144077227758,4.048292003187374,4.538276763058266,4.701359028140592,2.7581720791007744,3.325175590625193,3.397253187190253,4.058278579696424
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1589266267472484,2.38790888351858,2.581410083050829,3.4839274855141644,3.893385360317699,4.585909551146992,4.7136248751536325,5.454290669200316,2.694698378804973,3.722555402049562,2.6286751402736366,3.457161234569282
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989312424661988,1.0980665453275829,1.531920927750948,2.430205152789563,2.4438615293326853,2.6122812504254376,3.3621745629230078,3.913472546342896,4.792116383372868,4.372021344588813,5.276557630852265
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7573150604809058,2.1262023787795883,2.961505812575991,2.835787998976209,2.996905548850642,3.7820702768838443,4.66399775453226,5.558916875225057,4.932319270969484,5.801362871786335
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1696119642592504,3.252802346682322,2.5866906004329877,2.3230670870582153,3.541572664322187,4.188313049252572,5.18287135526784,4.51055664293424,5.473816197450106
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2314713021651793,1.3620650139787542,2.0657283193448195,2.029667398917768,4.633596331433213,5.239847489097191,5.420586427427432,6.265369832769038
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2696264661030745,3.153041306837274,2.483255076391883,4.5919652872252215,4.929375745410551,5.56669506266422,6.29223485072621
34N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0108962299470081,1.0129517326183264,5.792471194817425,6.435000586910659,6.538793760444329,7.429782122272214
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7062061836911542,6.005008649682044,6.77030320552497,6.6210581661447145,7.5583132617076
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.390923071774535,6.896944264748983,7.264793588182844,8.1212530495766
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2079845132672489,1.3564897320633473,1.8796385402019868
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2566991181295264,2.2913969273608754
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763281822804918
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
