,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24N,25C,26H,27C,28H,29N,30H,31C,32O,33O,34H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095095136194688,1.100066960116721,3.524505810974947,3.740641095201004,4.713340829501124,4.943305751713639,5.974501978235065,6.00673291664842,6.66347378172367,6.0818055568637766,6.916937519769154,7.997905389266156,8.280238414553725,9.241999444905373,9.650732151952825,9.592099573481306,10.274377407277045,10.161263499526754,11.15929130156364,7.0076581766647275,7.11056665195265,8.074297777255108,8.739831255098373
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7682847440163247,4.194378616935839,4.109597022315074,5.484712847671922,5.84248829552133,6.633779875954381,6.5512831012829755,7.214585627518948,6.512264987064784,7.54862958130321,8.472462320379279,8.636495313476388,9.747715765676517,10.21749322843364,9.936069844690122,10.550003951391545,10.589035074906686,11.588010361315641,7.783687837168427,7.999233758410856,8.782014490537314,9.50849172795169
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270455284627635,4.675292947032217,5.326997366974084,5.371531521406391,6.685037760277315,6.839317821204151,7.369064177055432,6.839661191885223,7.489208793558725,8.7681142547237,9.162408529624305,9.955817021825196,10.274839077758196,10.470591875605702,11.201791073897475,10.953746355972823,11.940181220212809,7.602920220421564,7.545466795048884,8.745719839498586,9.340871756850657
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2298379983748875,1.3600721267777653,2.0718861250578526,2.4730953263257343,2.6769635506578404,3.2207088555373002,2.8728599519516784,3.5990182013843888,4.5599738913694665,4.980664808765048,5.7925239784044775,6.235770392131799,6.277076875969116,7.067874505511848,6.7373852891388175,7.729474875113982,3.669000760437544,4.037306843704371,4.722795634526162,5.469136681058144
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2735086118760175,3.1781607113670653,2.8220426559652942,2.6353603545720587,3.2987650778065682,2.6647198032669803,3.9385314176875923,4.415618798277641,4.552177056721056,5.741485877610554,6.342344198534559,5.861598676980335,6.541233770297048,6.5099735379136465,7.515942074604301,4.239368105090643,4.872725485873958,5.059126462598246,5.924142858103289
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0129719608767924,1.4537185218473143,2.0946775457246707,2.4901585736741345,2.631766116707768,2.7398850957508554,3.8353629594684633,4.466535507110978,4.943284289910236,5.297282601436353,5.683337314204932,6.5574357769735245,5.970701572736075,6.927989816162664,2.3855160134684326,2.693380546748047,3.563578014178123,4.231424857442245
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1055953882170506,2.908547717465431,3.0902535903047688,3.4017297379028206,3.0199213550654678,4.429699861640551,5.217542394932561,5.365229623795173,5.548757558570703,6.357629092576825,7.275074166450704,6.486331375443078,7.392690044704902,2.4314443118238556,2.24532499688565,3.745922111824158,4.210644729514975
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093551311661609,1.5604654699798206,2.126257535069404,2.177561323995318,2.570898506395574,3.1494850638540237,3.703891232393243,4.207248960834638,4.30878243522677,5.186303681838669,4.617932558055266,5.576617080236002,1.5205421463439726,2.421525793861538,2.3902831115425447,3.2174405925228746
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160554725985472,2.4581380666725012,3.0613541714995764,2.7585926304790704,2.8175022721806706,4.023340670581079,4.7400148684425565,4.032283434787016,4.746775950265131,4.6528889385226515,5.634535986764011,2.1545340281231544,3.2192835645910898,2.534326265502563,3.4678558268627393
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955173114347356,1.096469530821821,1.4976090014152983,2.510599033497673,2.589474262667099,3.0611760517993556,3.5775360625631607,4.580723096163595,3.6647085404875206,4.615104745054575,2.545297063451287,3.3435961449666545,3.153465282412264,3.950090008757319
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716176431334802,2.1351550216122575,2.8027647590337086,3.2910630115213544,3.8116983717600923,3.958524442377567,4.872159700969102,4.230162406094629,5.190003925931808,3.443240757888129,4.214441542311872,4.09811581259638,4.952789349967688
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144152393643806,3.410552686854974,2.741730313302912,2.8044105675379947,4.286670945243916,5.347130970362437,4.041344847817696,4.880141108568659,2.7622328461030152,3.191694172224419,3.558689083885233,4.164948604642754
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3823139399358506,1.3752542604256441,2.2497490045795416,2.1487340567601567,3.203682937813737,2.193667846886523,3.174515892598518,3.1253273561352386,4.093894579497227,3.0971422770430665,3.864926859558958
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260246171116464,3.3228680511955706,1.313608769021902,2.1365382263433466,2.218686606033008,3.1863424164994765,3.797850451027341,4.937420835242172,3.441290234525568,4.28537078258233
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0801260712789924,2.2098181383407924,3.2437972215938826,1.38140298078048,2.1396758825387048,3.8438628897164744,4.625147083323129,3.622161100164181,4.133873842747558
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2385270785784956,4.224848384705119,2.1592753950756194,2.5553885671569794,4.156867965721709,4.686540265180461,4.079111339983711,4.411154303973099
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823069742550961,1.3666925517440416,2.1296539036824456,4.670194191553306,5.757637965038922,4.0445499622289764,4.714846863890767
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150042775853625,2.551113917016771,5.537346463872026,6.660721259115121,4.7725682002466785,5.406893461198571
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009703322887901,4.739309271195745,5.646644808717603,4.173733597179301,4.662938059791972
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56858137854812,6.401258698274113,4.915695186614974,5.269169475751524
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.216016610841065,1.344558047155888,1.8703675157010982
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250635510937583,2.2813269702255434
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770626088526999
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
